wall_time,step,value
1772596369.1821961,1,56.0
1772596744.835409,2,127.0
1772597112.2164316,3,207.0
1772597562.5537443,4,295.0
1772598054.28828,5,376.0
1772598548.2644567,6,455.0
1772599024.9643161,7,539.0
1772599497.864149,8,613.0
1772600053.3153303,9,673.0
1772600578.7582188,10,734.0
1772601069.6163046,11,816.0
1772601492.8817239,12,886.0
1772601983.6956298,13,945.0
1772602474.4441977,14,996.0
1772602942.9934986,15,1061.0
1772603484.7192826,16,1118.0
1772603945.2730231,17,1178.0
1772604462.0500646,18,1282.0
1772604940.6002824,19,1360.0
1772605416.1073747,20,1431.0
1772605917.6052918,21,1516.0
1772606578.8499355,1,81.0
1772606970.3150523,2,171.0
1772607404.5883408,3,260.0
1772607917.6248202,4,333.0
1772608439.4475381,5,407.0
1772608923.9996603,6,473.0
1772609479.4513993,7,533.0
1772609896.0814004,8,586.0
1772610384.6444283,9,629.0
1772610872.433899,10,678.0
1772611435.667826,11,748.0
1772611914.262363,12,847.0
1772612462.5777192,13,941.0
1772612898.7790308,14,1016.0
1772613384.6440039,15,1123.0
1772613930.4989161,16,1205.0
1772614483.2196853,17,1286.0
1772614982.852534,18,1397.0
1772615624.3238616,1,79.0
1772615942.1929572,2,174.0
1772616341.6590056,3,297.0
1772616680.5626419,4,403.0
1772617034.3315644,5,484.0
1772617387.7457526,6,561.0
1772617784.3882983,7,662.0
1772618174.7559462,8,756.0
1772618544.454798,9,832.0
1772618944.2370293,10,915.0
1772619333.5110564,11,994.0
1772619751.4724395,12,1109.0
1772620129.5732608,13,1203.0
1772620603.8564055,14,1290.0
1772621003.9312615,15,1390.0
1772621435.033528,16,1482.0
1772621908.122986,17,1557.0
1772622320.2056851,18,1636.0
1772622739.2600262,19,1731.0
1772623250.402078,20,1816.0
1772623700.8600059,21,1903.0
1772624152.6511583,22,1970.0
1772624555.059439,23,2053.0
1772625040.7807617,24,2125.0
1772625543.5218904,25,2191.0
1772625996.0231295,26,2287.0
1772626451.9779422,27,2369.0
1772626911.2499692,28,2462.0
1772627422.1535857,29,2549.0
1772627983.0068223,30,2658.0
1772628550.5893152,31,2763.0
1772629068.626384,32,2838.0
1772629558.5573936,33,2920.0
1772630065.8844206,34,3000.0
1772635103.1096396,1,64.0
1772635454.4763463,2,165.0
1772635828.431597,3,251.0
1772636255.0208597,4,338.0
1772636654.6381283,5,440.0
1772637063.8479998,6,534.0
1772637451.8477592,7,622.0
1772637833.429233,8,773.0
1772638283.4631557,9,886.0
1772638726.43672,10,1020.0
1772639165.2738583,11,1143.0
1772639594.3303826,12,1263.0
1772640059.5704963,13,1371.0
1772640572.8003018,14,1482.0
1772641056.297617,15,1602.0
1772641529.8841422,16,1715.0
1772641994.3313859,17,1827.0
1772642434.80264,18,1939.0
1772642864.4854136,19,2008.0
1772643348.1691475,20,2106.0
1772643793.365627,21,2187.0
1772644214.4743245,22,2271.0
1772644617.3866816,23,2371.0
1772645081.8334916,24,2452.0
1772645563.5893874,25,2529.0
1772645970.1398902,26,2602.0
1772646438.2864094,27,2668.0
1772646858.9712842,28,2745.0
1772647252.4597342,29,2830.0
1772647671.7816355,30,2892.0
1772648075.0487611,31,2965.0
1772648473.2857203,32,3041.0
1772648941.9320276,33,3110.0
1772649419.6562977,34,3180.0
1772649818.597046,35,3243.0
1772650273.7012713,36,3330.0
1772650682.1123698,37,3400.0
1772651115.0118263,38,3457.0
1772651521.1159613,39,3516.0
1772651904.459137,40,3575.0
1772652335.2596498,41,3643.0
1772652799.980081,42,3709.0
1772653197.9429245,43,3767.0
1772653543.684483,44,3814.0
1772653919.004616,45,3867.0
1772654272.4347792,46,3936.0
1772654628.2197728,47,3993.0
1772654981.865396,48,4038.0
1772655322.4915843,49,4090.0
1772655662.9074998,50,4143.0
1772656011.8639116,51,4189.0
1772656379.5333009,52,4221.0
1772656758.857576,53,4268.0
1772657103.6846876,54,4313.0
1772657450.7888958,55,4337.0
1772657821.0433068,56,4365.0
1772658171.012596,57,4386.0
1772658511.5807495,58,4410.0
1772658911.4104474,59,4435.0
1772659271.9128225,60,4460.0
1772659662.8849592,61,4469.0
1772660012.6524959,62,4495.0
1772660357.0943632,63,4519.0
1772660724.51327,64,4534.0
1772661101.1473715,65,4548.0
1772661471.5938134,66,4557.0
1772661823.9640603,67,4570.0
1772662199.5883954,68,4583.0
1772662553.32426,69,4590.0
1772662912.8060572,70,4599.0
1772663265.5137415,71,4615.0
1772663653.074845,72,4623.0
1772664044.0601623,73,4631.0
1772664405.3649058,74,4640.0
1772664789.188428,75,4649.0
1772665140.5862958,76,4656.0
1772665514.7575886,77,4663.0
1772665878.0757873,78,4668.0
1772666254.4863667,79,4682.0
1772666657.4897063,80,4690.0
1772667061.619044,81,4701.0
1772667451.3879774,82,4712.0
1772667803.749632,83,4717.0
1772668203.387505,84,4724.0
1772668616.3289788,85,4731.0
1772668986.5465357,86,4746.0
1772669439.6450305,87,4749.0
1772669796.3887753,88,4758.0
1772670222.474994,89,4767.0
1772670603.904116,90,4769.0
1772670998.3650436,91,4776.0
1772671402.0974648,92,4785.0
1772671777.6286752,93,4794.0
1772672163.6530473,94,4804.0
1772672510.8347,95,4814.0
1772672921.81148,96,4820.0
1772673298.2498558,97,4826.0
1772673738.065609,98,4834.0
1772674145.955904,99,4837.0
1772674930.1100006,1,79.0
1772675321.8223474,2,172.0
1772675682.271163,3,312.0
1772676068.2554595,4,446.0
1772676522.4629123,5,582.0
1772679521.9930067,1,26.0
1772680141.9976509,2,42.0
1772680668.612631,3,57.0
1772681239.1597214,4,84.0
1772681797.102877,5,111.0
1772682802.175318,1,50.0
1772683288.6933894,2,73.0
1772683746.0791752,3,94.0
1772684187.4323268,4,123.0
1772684713.663213,5,141.0
1772685177.5561895,6,159.0
1772685495.5114725,7,174.0
1772685885.0863755,8,191.0
1772686265.4478457,9,215.0
1772686623.9252906,10,242.0
1772687007.5501678,11,261.0
1772687420.629092,12,275.0
1772687791.2412765,13,291.0
1772688247.3755538,14,309.0
1772688639.7541358,15,330.0
1772689003.3896074,16,348.0
1772689413.462246,17,366.0
1772689761.6409836,18,387.0
1772690157.271165,19,406.0
1772690600.8624983,20,424.0
1772691078.5141983,21,440.0
1772691523.3575099,22,450.0
1772691907.4862814,23,465.0
1772692369.0673392,24,482.0
1772692706.9663508,25,491.0
1772693072.3524518,26,515.0
1772693434.437642,27,531.0
1772693807.0384705,28,550.0
1772694188.2960455,29,567.0
1772694568.5521445,30,587.0
1772694990.3152504,31,603.0
1772695377.656633,32,614.0
1772696198.8325617,1,20.0
1772696598.0214067,2,36.0
1772697084.6904914,3,48.0
1772697538.625594,4,58.0
1772697903.354959,5,67.0
1772698307.5800045,6,79.0
1772698714.079578,7,85.0
1772699187.059219,8,95.0
1772699563.9696434,9,106.0
1772699971.443828,10,119.0
1772700358.0116487,11,127.0
1772700744.4756377,12,143.0
1772701121.1660445,13,160.0
1772701512.5707653,14,170.0
1772701882.2204587,15,181.0
1772702276.6629813,16,194.0
1772702644.6256437,17,208.0
1772703014.8418694,18,218.0
1772703412.766265,19,229.0
1772703878.7758322,20,241.0
1772704261.679959,21,251.0
1772704692.4975276,22,261.0
1772705147.3147635,23,270.0
1772705487.2884307,24,283.0
1772705849.814325,25,290.0
1772706301.9519203,26,300.0
1772706685.7677157,27,308.0
1772707013.476019,28,318.0
1772707352.608133,29,323.0
1772707728.495797,30,327.0
1772708069.8271148,31,337.0
1772708437.102519,32,345.0
1772708813.3203518,33,347.0
1772709287.8309798,34,355.0
1772709687.8879702,35,362.0
1772710101.2236288,36,366.0
1772710446.7556179,37,373.0
1772710778.7842665,38,382.0
1772711157.6240819,39,388.0
1772711512.1283166,40,391.0
1772711863.342092,41,395.0
1772712291.364497,42,400.0
1772712669.764459,43,405.0
1772713026.9914184,44,409.0
1772713461.790255,45,417.0
1772713833.886018,46,425.0
1772714267.225557,47,431.0
1772714720.878079,48,435.0
1772715178.477161,49,443.0
1772715540.7593365,50,447.0
1772715874.5731413,51,452.0
1772716270.0045478,52,457.0
1772716649.6794996,53,460.0
1772717088.5276446,54,464.0
1772717493.4873698,55,474.0
1772717903.4317303,56,478.0
1772718316.7439015,57,484.0
1772718703.6929867,58,488.0
1772719072.1944902,59,499.0
1772719426.9803417,60,501.0
1772719819.7966673,61,507.0
1772720252.6425042,62,518.0
1772720592.9033408,63,528.0
1772720977.63325,64,535.0
1772721383.4173038,65,544.0
1772721762.9305027,66,555.0
1772722164.0160909,67,563.0
1772722540.2544122,68,569.0
1772722866.709664,69,577.0
1772723246.4135814,70,583.0
1772723608.6932356,71,588.0
1772723994.7245758,72,593.0
1772724337.5091994,73,599.0
1772724709.1232412,74,600.0
1772725076.08426,75,601.0
1772725471.9795532,76,604.0
1772725829.101378,77,606.0
1772726164.2663786,78,609.0
1772726513.53491,79,618.0
1772726914.5903845,80,624.0
1772727297.5352466,81,627.0
1772727673.610173,82,631.0
1772728049.80443,83,632.0
1772728408.8369503,84,636.0
1772728780.6332223,85,641.0
