wall_time,step,value
1772729042.239532,2,0.0
1772729043.8522868,3,1.0
1772729045.8926256,4,1.0
1772729052.5726793,5,0.0
1772729066.1604686,6,1.0
1772729069.3976712,7,1.0
1772729074.4535155,8,1.0
1772729083.9588835,9,0.0
1772729089.5335815,10,0.0
1772729092.7971761,11,0.0
1772729097.8038588,12,0.0
1772729100.9387906,13,0.0
1772729119.3339753,14,0.0
1772729125.0415328,15,0.0
1772729129.9395943,16,0.0
1772729134.1946385,17,0.0
1772729142.058798,18,0.0
1772729146.6471543,19,0.0
1772729152.6060698,20,0.0
1772729161.435515,21,1.0
1772729172.1880884,22,0.0
1772729177.6866152,23,0.0
1772729201.2115507,24,1.0
1772729204.6753209,25,1.0
1772729213.6637506,26,1.0
1772729226.2113402,27,0.0
1772729229.6839201,28,0.0
1772729242.0954049,29,1.0
1772729264.8024962,30,1.0
1772729267.5168235,31,1.0
1772729271.292766,32,1.0
1772729272.7474897,33,1.0
1772729278.2603555,34,0.0
1772729303.271967,35,0.0
1772729314.759113,36,0.0
1772729318.8528981,37,0.0
1772729324.1315262,38,1.0
1772729328.165669,39,0.0
1772729331.1402836,40,1.0
1772729339.2437751,41,0.0
1772729350.833242,42,1.0
1772729416.2246418,43,0.0
1772729425.9592505,44,0.0
1772729434.4573205,45,0.0
1772729444.0636857,46,0.0
1772729454.8959,47,0.0
1772729474.090107,48,1.0
1772729488.9675074,49,1.0
1772729490.119913,50,1.0
1772729493.0880191,51,0.0
1772729516.1440408,52,0.0
1772729522.6258612,53,1.0
1772729527.2548125,54,0.0
1772729535.6174543,55,0.0
1772729541.0888662,56,0.0
1772729544.453755,57,1.0
1772729552.1299891,58,1.0
1772729557.8369133,59,0.0
1772729570.4675133,60,1.0
1772729571.2996478,61,1.0
1772729581.8310997,62,0.0
1772729591.5191636,63,0.0
1772729618.7140837,64,0.0
1772729628.8874724,65,0.0
1772729663.2423358,66,0.0
1772729672.4702203,67,0.0
1772729682.2067535,68,0.0
1772729690.2012026,69,0.0
1772729693.2031944,70,1.0
1772729703.5034115,71,0.0
1772729707.034805,72,0.0
1772729782.239909,73,0.0
1772729790.2794366,74,0.0
1772729803.5975053,75,0.0
1772729812.610203,76,1.0
1772729829.0574327,77,0.0
1772729832.943559,78,1.0
1772729839.1138039,79,1.0
1772729863.426431,80,1.0
1772729873.2306514,81,1.0
1772729879.794446,82,1.0
1772729891.4147487,83,1.0
1772729894.2867684,84,1.0
1772729900.4568841,85,1.0
1772729907.0107071,86,0.0
1772729921.9283595,87,0.0
1772729925.497859,88,1.0
1772729955.1456528,89,0.0
1772729963.7943006,90,0.0
1772729969.4394884,91,0.0
1772729975.7593622,92,0.0
1772729996.0973153,93,0.0
1772730011.9375699,94,1.0
1772730027.1229482,95,0.0
1772730044.8319876,96,0.0
