wall_time,step,value
1772765397.071547,2,92.0
1772765401.173676,3,65.0
1772765404.5958643,4,57.0
1772765416.1721497,5,203.0
1772765419.0210655,6,38.0
1772766148.4980526,2,102.0
1772766186.8767002,2,116.0
1772766192.03722,3,84.0
1772766195.9138107,4,64.0
1772766200.5514023,5,77.0
1772766203.7510908,6,51.0
1772766206.8425896,7,51.0
1772766207.1288366,8,1.0
1772766210.061603,9,51.0
1772766210.2990787,10,1.0
1772766216.8380466,11,117.0
1772766224.5677364,12,133.0
1772766238.743287,13,243.0
1772766246.0214925,14,117.0
1772766248.156426,15,30.0
1772766255.6090434,16,130.0
1772766257.3373907,17,22.0
1772766260.7603805,18,58.0
1772766270.3516314,19,167.0
1772766275.1598904,20,77.0
1772766281.124912,21,102.0
1772766288.336821,22,122.0
1772766294.6729755,23,104.0
1772766310.0313733,24,267.0
1772766319.4810588,25,155.0
1772766326.918588,26,121.0
1772766335.4013016,27,142.0
1772766352.7397244,28,299.0
1772766382.090588,2,148.0
1772766383.0323203,3,5.0
1772766386.823994,4,64.0
1772766390.0447931,5,51.0
1772766393.8226368,6,63.0
1772766399.2945106,7,94.0
1772766403.880791,8,76.0
1772766411.8890283,9,134.0
1772766415.520802,10,56.0
1772766423.754789,11,142.0
1772766427.742338,12,62.0
1772766438.0042396,13,176.0
1772766451.623615,14,227.0
1772766459.2423038,15,123.0
1772766460.4903152,16,15.0
1772766486.0145295,17,450.0
1772766497.8279512,18,185.0
1772766507.1253903,19,149.0
1772766517.5342937,20,172.0
1772766536.081161,21,317.0
1772766538.587432,22,24.0
1772766547.0242045,23,147.0
1772766551.5283272,24,72.0
1772766559.2666562,25,130.0
1772766564.5879936,26,82.0
1772766578.0494435,27,229.0
1772766578.8650148,28,2.0
1772766591.224794,29,218.0
1772766596.4830062,30,77.0
1772766599.845342,31,51.0
1772766600.6808436,32,10.0
1772766600.8314002,33,1.0
1772766609.200353,34,147.0
1772766616.8474724,35,125.0
1772766623.1358922,36,102.0
1772766645.2342858,37,384.0
1772766660.0402327,38,232.0
1772766668.0294821,39,129.0
1772766672.3374827,40,69.0
1772766673.716725,41,20.0
1772766679.8262339,42,104.0
1772766937.0404785,43,3.0
1772766942.9669466,44,102.0
1772766946.3073206,45,51.0
1772766950.2992995,46,66.0
1772766954.8333688,47,74.0
1772766960.8254235,48,99.0
1772766967.4426448,49,111.0
1772766971.6030984,50,67.0
1772766977.0174003,51,90.0
1772766980.3813508,52,51.0
1772766989.6634264,53,155.0
1772766992.702061,54,45.0
1772767013.9075522,55,368.0
1772767029.0234091,56,242.0
1772767035.3532975,57,99.0
1772767038.8570046,58,54.0
1772767042.0920324,59,51.0
1772767047.9535072,60,95.0
1772767049.489321,61,19.0
1772767054.2568004,62,82.0
1772767060.6075795,63,107.0
1772767074.0174298,64,227.0
1772767084.6006541,65,171.0
1772767091.6324506,66,114.0
1772767092.7912931,67,14.0
1772767093.352458,68,8.0
1772767093.6658602,69,4.0
1772767095.3716376,70,28.0
1772767096.0107067,71,8.0
1772767096.1690998,72,1.0
1772767099.2660377,73,53.0
1772767104.3376012,74,85.0
1772767119.59187,75,265.0
1772767127.345424,76,125.0
1772767138.5410562,77,186.0
1772767142.1466901,78,51.0
1772767158.8204534,79,287.0
1772767163.5370553,80,62.0
1772767165.6892893,81,32.0
1772767170.9857936,82,89.0
1772767176.8076165,83,97.0
1772767180.897383,84,66.0
1772767190.5707104,85,165.0
1772767194.1464596,86,51.0
1772767197.2986057,87,51.0
1772767204.1633806,88,116.0
1772767216.4978912,89,212.0
1772767228.7016625,90,201.0
1772767236.6807237,91,130.0
1772767240.3053665,92,54.0
1772767315.128453,93,71.0
1772767327.3134127,94,209.0
1772767348.3299088,95,351.0
1772767353.0594962,96,58.0
1772767354.4617617,97,20.0
1772767361.6861079,98,121.0
1772767366.6791337,99,81.0
1772767373.5807145,100,116.0
1772767382.6309376,101,153.0
1772767386.2561917,102,56.0
1772767392.3948505,103,105.0
1772767409.926875,104,304.0
1772767416.3579276,105,99.0
1772767427.8323934,106,199.0
1772767440.5122948,107,213.0
1772767443.763818,108,45.0
1772767449.7124784,109,101.0
1772767456.027733,110,106.0
1772767468.1517663,111,207.0
1772767471.6694355,112,51.0
1772767474.7673662,113,51.0
1772767481.0757911,114,109.0
1772767481.8003805,115,7.0
1772767493.2796729,116,201.0
1772767494.8385503,117,17.0
1772767510.6948082,118,279.0
1772767535.5196908,119,426.0
1772767540.3718107,120,64.0
1772767544.8168821,121,75.0
1772767559.106451,122,244.0
1772767559.99168,123,1.0
1772767568.8488176,124,155.0
1772767572.768731,125,61.0
1772767573.1863134,126,3.0
1772767593.6232166,127,361.0
1772767603.5200071,128,158.0
1772767610.5294523,129,115.0
1772767784.6029031,130,51.0
1772767799.1627154,131,253.0
1772767807.1438265,132,127.0
1772767816.2545054,133,153.0
1772767827.9435127,134,198.0
1772767847.2922041,135,334.0
1772767868.928635,136,365.0
1772767878.2337012,137,145.0
1772767881.5748038,138,51.0
1772767896.0162296,139,253.0
1772767900.98512,140,76.0
1772767916.6402204,141,272.0
1772767920.418592,142,51.0
1772767922.4704213,143,33.0
1772767927.6332653,144,89.0
1772767933.2425833,145,94.0
1772767963.6263196,146,531.0
1772767974.096572,147,158.0
1772767976.530698,148,33.0
1772767981.2464967,149,81.0
1772767987.4971478,150,106.0
1772767993.3226724,151,97.0
1772767996.5531251,152,51.0
1772768006.3585544,153,169.0
1772768014.4245987,154,133.0
1772768020.6833558,155,104.0
1772768028.9198666,156,139.0
1772768031.826709,157,44.0
1772768034.943162,158,51.0
1772768039.9471412,159,84.0
1772768043.1371403,160,50.0
1772768046.2797856,161,52.0
1772768054.5433345,162,143.0
1772768069.990484,163,264.0
1772768073.1917472,164,44.0
1772768073.9855518,165,11.0
1772768074.4729028,166,7.0
1772768079.195192,167,81.0
1772768162.1555026,168,95.0
1772768163.9112768,169,25.0
1772768168.152687,170,74.0
1772768175.6647835,171,128.0
1772768187.2536328,172,197.0
1772768195.2934172,173,131.0
1772768198.5847383,174,51.0
1772768208.59922,175,174.0
1772768213.8354816,176,81.0
1772768220.073747,177,104.0
1772768229.2161536,178,156.0
1772768229.73718,179,1.0
1772768232.6696799,180,51.0
1772768242.2557464,181,164.0
1772768242.9317007,182,2.0
1772768246.211517,183,57.0
1772768265.5049045,184,336.0
1772768271.6150513,185,88.0
1772768274.8480918,186,51.0
1772768307.394565,187,572.0
1772768311.6556654,188,48.0
1772768320.762461,189,158.0
1772768328.4177878,190,126.0
1772768335.8315425,191,124.0
1772768349.9602916,192,242.0
1772768371.3319333,193,366.0
1772768376.9445558,194,83.0
1772768379.760552,195,45.0
1772768389.8548398,196,175.0
1772768407.5437024,197,304.0
1772768431.7475307,198,414.0
1772768435.913465,199,51.0
1772768446.7598972,200,188.0
1772768457.8316846,201,187.0
1772768662.0000863,202,62.0
1772768665.1283336,203,51.0
1772768674.1930299,204,156.0
1772768678.5665407,205,70.0
1772768683.0824032,206,75.0
1772768687.4809785,207,73.0
1772768704.326707,208,292.0
1772768705.3440225,209,1.0
1772768712.5147932,210,125.0
1772768723.1581109,211,180.0
1772768726.727411,212,53.0
1772768735.4470954,213,151.0
1772768739.9286647,214,71.0
1772768745.6972628,215,96.0
1772768748.93666,216,51.0
1772768752.1773062,217,53.0
1772768756.5640883,218,72.0
1772768758.97631,219,38.0
1772768776.1060584,220,296.0
1772768780.1769228,221,54.0
1772768783.254949,222,51.0
1772768795.7841923,223,216.0
1772768799.8927045,224,59.0
1772768805.6838982,225,97.0
1772768815.8239822,226,170.0
1772768822.9117265,227,116.0
1772768828.2577367,228,89.0
1772768839.0339217,229,184.0
1772768844.6480694,230,88.0
1772768866.8203044,231,384.0
1772768867.9996421,232,1.0
1772768872.922304,233,86.0
1772768879.4762015,234,109.0
1772768897.009116,235,301.0
1772768906.034563,236,141.0
1772768913.4096463,237,121.0
1772768929.6481535,238,282.0
1772768937.0555894,239,116.0
1772768943.8303523,240,115.0
1772768960.008559,241,282.0
1772769138.1589878,242,222.0
1772769143.5098524,243,85.0
1772769152.4625938,244,154.0
1772769164.0154827,245,198.0
1772769172.5660255,246,143.0
1772769179.8624587,247,122.0
1772769183.4069545,248,57.0
1772769195.9681067,249,219.0
1772769203.2267702,250,115.0
1772769205.5127976,251,33.0
1772769209.9153519,252,74.0
1772769215.686628,253,98.0
1772769223.6052315,254,136.0
1772769245.6947517,255,388.0
1772769268.5292568,256,388.0
1772769278.76946,257,163.0
1772769279.3350837,258,2.0
1772769297.5456958,259,314.0
1772769305.9203007,260,131.0
1772769310.8570833,261,80.0
1772769321.4185293,262,183.0
1772769327.665977,263,97.0
1772769330.930528,264,51.0
1772769339.3137493,265,142.0
1772769344.3301373,266,81.0
1772769351.1006348,267,114.0
1772769357.6181417,268,106.0
1772769379.6574774,269,384.0
1772769386.2632236,270,98.0
1772769391.5253382,271,89.0
1772769394.64626,272,51.0
1772769414.5950842,273,350.0
1772769415.816991,274,4.0
1772769439.3934302,275,420.0
1772769581.8761663,276,106.0
1772769585.3183649,277,55.0
1772769594.3746626,278,157.0
1772769595.557941,279,13.0
1772769597.4108062,280,31.0
1772769608.984495,281,204.0
1772769615.9855454,282,114.0
1772769624.318455,283,142.0
1772769624.7826786,284,1.0
1772769624.902729,285,1.0
1772769636.6315615,286,206.0
1772769642.4106998,287,92.0
1772769648.1841414,288,96.0
1772769653.6322083,289,89.0
1772769662.027852,290,142.0
1772769673.8715208,291,203.0
1772769677.5134788,292,53.0
1772769689.3960557,293,200.0
1772769699.4342837,294,164.0
1772769714.7045014,295,263.0
1772769729.5575526,296,251.0
1772769738.9393017,297,155.0
1772769755.2791982,298,282.0
1772769784.0008948,299,495.0
1772769797.225335,300,208.0
1772769800.9928586,301,51.0
1772769807.6724722,302,112.0
1772769834.608191,303,472.0
1772769848.2565837,304,209.0
1772769849.0406911,305,1.0
1772769869.7895715,306,361.0
1772770080.9541993,307,92.0
1772770082.8673975,308,28.0
1772770092.2166462,309,163.0
1772770099.975414,310,130.0
1772770103.7346675,311,60.0
1772770128.3175042,312,438.0
1772770132.207505,313,49.0
1772770132.4629555,314,1.0
1772770146.5168927,315,251.0
1772770152.3107338,316,91.0
1772770162.6160097,317,178.0
1772770166.1276476,318,51.0
1772770171.572307,319,94.0
1772770177.5324745,320,101.0
1772770184.3751442,321,116.0
1772770184.927397,322,3.0
1772770192.6341658,323,137.0
1772770206.5148468,324,242.0
1772770210.0046444,325,51.0
1772770220.1452057,326,178.0
1772770223.9356606,327,51.0
1772770226.4391222,328,41.0
1772770229.150526,329,45.0
1772770257.5605388,330,498.0
1772770260.1591763,331,17.0
1772770267.4725661,332,126.0
1772770268.0086076,333,1.0
1772770273.896455,334,103.0
1772770277.278922,335,51.0
1772770294.632645,336,296.0
1772770296.3150258,337,12.0
1772770297.291018,338,15.0
1772770300.3787022,339,51.0
1772770314.4505434,340,240.0
1772770332.584856,341,303.0
1772770344.1478133,342,175.0
1772770345.4200017,343,10.0
1772770348.4634144,344,51.0
1772770355.90133,345,127.0
1772770366.43546,346,179.0
1772770628.3715205,347,88.0
1772770629.1072574,348,1.0
1772770630.9833908,349,29.0
1772770648.523711,350,273.0
1772770656.8226676,351,102.0
1772770663.0273554,352,88.0
1772770670.5799112,353,110.0
1772770676.9480276,354,85.0
1772770695.4666843,355,287.0
1772770701.0747514,356,51.0
1772770716.4081388,357,236.0
1772770725.7469525,358,122.0
1772770728.8634934,359,33.0
1772770743.8253064,360,232.0
1772770748.6833546,361,51.0
1772770752.3059616,362,51.0
1772770756.1806383,363,54.0
1772770759.9864044,364,51.0
1772770790.0208194,365,473.0
1772770794.8988128,366,19.0
1772770809.149102,367,231.0
1772770815.0272007,368,67.0
1772770816.1804287,369,9.0
1772770837.747668,370,340.0
1772770850.7950034,371,170.0
1772770858.5397685,372,102.0
1772770861.9696465,373,41.0
1772770869.2145214,374,113.0
1772770884.5307987,375,229.0
1772770897.7714102,376,179.0
1772770902.993524,377,62.0
1772770913.5858657,378,160.0
1772770918.1318834,379,51.0
1772770926.8669436,380,132.0
1772770935.508132,381,123.0
1772770950.5845823,382,223.0
1772770954.3543444,383,35.0
1772770962.6110058,384,125.0
1772770972.1472092,385,134.0
1772771233.609612,386,263.0
1772771257.361733,387,347.0
1772771260.0491014,388,4.0
1772771261.7128153,389,25.0
1772771273.268981,390,181.0
1772771289.938627,391,238.0
1772771302.7740326,392,178.0
1772771309.3931475,393,82.0
1772771314.2913225,394,67.0
1772771320.1458392,395,87.0
1772771325.3006425,396,73.0
1772771330.2838342,397,68.0
1772771342.0024738,398,177.0
1772771343.4808044,399,2.0
1772771350.516684,400,113.0
1772771354.161805,401,44.0
1772771359.6985135,402,80.0
1772771363.025654,403,41.0
1772771379.348541,404,254.0
1772771386.8687534,405,90.0
1772771395.2842722,406,120.0
1772771399.5314782,407,51.0
1772771406.322026,408,103.0
1772771422.7077088,409,245.0
1772771434.771211,410,158.0
1772771449.5557158,411,220.0
1772771461.04282,412,151.0
1772771465.7172306,413,57.0
1772771466.3787553,414,2.0
1772771469.7486928,415,51.0
1772771474.2910693,416,66.0
1772771496.7227216,417,347.0
1772771528.7854924,418,471.0
1772771547.6986573,419,248.0
1772771567.086546,420,282.0
1772771788.2351007,421,81.0
1772771798.247752,422,153.0
1772771815.6987784,423,260.0
1772771820.6278338,424,44.0
1772771824.2134805,425,51.0
1772771830.635342,426,96.0
1772771837.8765948,427,107.0
1772771852.2536168,428,212.0
1772771874.0019882,429,322.0
1772771876.8359306,430,1.0
1772771878.3851786,431,23.0
1772771889.106595,432,167.0
1772771903.0503554,433,203.0
1772771914.1557555,434,151.0
1772771925.048931,435,159.0
1772771945.4268131,436,298.0
1772771951.9853086,437,71.0
1772771965.1723115,438,197.0
1772771970.000788,439,51.0
1772771977.6075215,440,118.0
1772772013.0483057,441,553.0
1772772023.664528,442,99.0
1772772045.1705282,443,328.0
1772772050.4842236,444,41.0
1772772064.526986,445,217.0
1772772079.2174768,446,209.0
1772772108.0372367,447,435.0
1772772112.9785862,448,26.0
1772772119.2195358,449,92.0
1772772121.7798824,450,29.0
1772772126.7706938,451,74.0
1772772143.7013302,452,260.0
1772772266.8388762,453,246.0
1772772280.880466,454,195.0
1772772287.4797912,455,84.0
1772772290.7567449,456,41.0
1772772296.114747,457,78.0
1772772306.5712888,458,160.0
1772772318.324544,459,171.0
1772772322.930347,460,51.0
1772772334.3912632,461,174.0
1772772345.771819,462,162.0
1772772372.6449146,463,410.0
1772772379.9871306,464,74.0
1772772394.1956298,465,216.0
1772772398.796441,466,51.0
1772772414.89834,467,248.0
1772772416.8659172,468,1.0
1772772424.3688338,469,120.0
1772772433.589011,470,135.0
1772772448.4914517,471,218.0
1772772453.3619142,472,55.0
