wall_time,step,value
1772792839.2660778,1,11.0
1772793225.2902505,2,17.0
1772793704.4543128,3,17.0
1772794114.0089252,4,16.0
1772794481.08866,5,8.0
1772794861.7834315,6,13.0
1772795327.692619,7,19.0
1772795716.892783,8,21.0
1772796038.4325402,9,14.0
1772796432.2071579,10,17.0
1772796819.559756,11,13.0
1772797136.7628882,12,11.0
1772797579.7716012,13,18.0
1772797947.1642172,14,9.0
1772798409.954774,15,12.0
1772798812.394677,16,6.0
1772799223.8828094,17,4.0
1772799604.1783216,18,10.0
1772800053.3808281,19,14.0
1772800558.4564035,20,13.0
1772800999.2327912,21,11.0
1772801398.368047,22,14.0
1772801855.4761453,23,7.0
1772802281.7198741,24,14.0
1772802717.8733253,25,16.0
1772803147.794609,26,9.0
1772803568.0470214,27,12.0
1772803974.1519105,28,14.0
1772804453.2944388,29,12.0
1772804797.8316684,30,8.0
1772805155.7225068,31,8.0
1772805666.5545666,32,12.0
1772806081.9069955,33,9.0
1772806571.5257583,34,12.0
1772806981.5065289,35,8.0
1772807346.1431289,36,15.0
1772807740.4890163,37,16.0
1772808132.6232107,38,12.0
1772808488.3206193,39,12.0
1772808933.797368,40,11.0
1772809353.073234,41,5.0
1772809790.3053656,42,15.0
1772810139.0540092,43,16.0
1772810542.744027,44,4.0
1772810878.1575735,45,12.0
1772811222.8406773,46,13.0
1772811648.623256,47,10.0
1772812001.3764553,48,9.0
1772812410.234622,49,9.0
1772812776.369914,50,11.0
1772813116.5124884,51,7.0
1772813537.0341358,52,8.0
1772813975.6970892,53,15.0
1772814363.3618546,54,9.0
1772814743.3479042,55,5.0
1772815096.4195526,56,8.0
1772815501.4554505,57,9.0
1772815883.8955927,58,14.0
1772816275.7682755,59,7.0
1772816750.1515007,60,7.0
1772817153.1761382,61,4.0
1772817486.3103101,62,8.0
1772817882.5041351,63,12.0
1772818258.7331517,64,8.0
1772818595.1505857,65,11.0
1772818947.120518,66,7.0
1772819363.64987,67,10.0
1772819735.0948865,68,5.0
1772820096.7180479,69,6.0
1772820505.7620304,70,4.0
1772820920.193752,71,10.0
1772821348.0963442,72,10.0
1772821755.4673696,73,9.0
