wall_time,step,value
1772792292.8963661,2,91.0
1772792301.2740092,3,231.0
1772792306.1299963,4,306.0
1772792309.3123555,5,357.0
1772792313.1362247,6,422.0
1772792320.482223,7,549.0
1772792321.9758177,8,568.0
1772792322.3925266,9,573.0
1772792329.3075306,10,691.0
1772792338.0299807,11,835.0
1772792341.3177605,12,886.0
1772792351.793996,13,1068.0
1772792356.517174,14,1140.0
1772792360.4846315,15,1204.0
1772792364.4216728,16,1267.0
1772792369.3499355,17,1348.0
1772792372.738213,18,1403.0
1772792378.783916,19,1504.0
1772792389.987705,20,1696.0
1772792403.621901,21,1924.0
1772792408.6321037,22,2001.0
1772792419.5539763,23,2187.0
1772792429.1601925,24,2344.0
1772792444.4950051,25,2609.0
1772792454.3391166,26,2765.0
1772792460.3898928,27,2859.0
1772792463.6858737,28,2910.0
1772792466.7708182,29,2961.0
1772792473.1256037,30,3070.0
1772792477.601236,31,3143.0
1772792479.7495375,32,3176.0
1772792486.6606038,33,3293.0
1772792493.916224,34,3413.0
1772792531.4242196,35,4064.0
1772792536.22637,36,4120.0
1772792541.22243,37,4204.0
1772792548.4718769,38,4325.0
1772792555.201367,39,4435.0
1772792579.3832095,40,4853.0
1772792587.043469,41,4966.0
1772792606.6597936,42,5301.0
1772792842.2834554,43,5352.0
1772792848.2574296,44,5452.0
1772792850.271682,45,5480.0
1772792860.872485,46,5665.0
1772792867.12959,47,5765.0
1772792879.7153683,48,5981.0
1772792886.0553756,49,6083.0
1772792895.0453122,50,6236.0
1772792900.8596222,51,6325.0
1772792907.2833638,52,6430.0
1772792922.5190978,53,6692.0
1772792930.9856367,54,6825.0
1772792934.0544734,55,6868.0
1772792939.63831,56,6961.0
1772792940.5146043,57,6971.0
1772792959.24366,58,7294.0
1772792971.1047492,59,7479.0
1772792979.6267977,60,7620.0
1772792991.714071,61,7823.0
1772792992.57181,62,7824.0
1772793007.0951493,63,8079.0
1772793012.612638,64,8164.0
1772793016.0660894,65,8220.0
1772793023.8988647,66,8350.0
1772793024.4753973,67,8351.0
1772793039.939401,68,8620.0
1772793047.8339434,69,8744.0
1772793052.398026,70,8815.0
1772793060.6476064,71,8954.0
1772793071.141617,72,9132.0
1772793074.2542663,73,9176.0
1772793083.7123902,74,9338.0
1772793090.2901773,75,9443.0
1772793093.5956824,76,9494.0
1772793108.180536,77,9746.0
1772793109.5218332,78,9753.0
1772793109.6668336,79,9754.0
1772793120.480059,80,9938.0
1772793122.2805967,81,9960.0
1772793130.0796645,82,10091.0
1772793228.3343606,83,10143.0
1772793237.2948043,84,10295.0
1772793253.563893,85,10573.0
1772793257.497255,86,10624.0
1772793260.6982782,87,10675.0
1772793267.4194987,88,10785.0
1772793270.3687048,89,10828.0
1772793275.9364717,90,10924.0
1772793277.6007702,91,10948.0
1772793287.6401799,92,11122.0
1772793288.818543,93,11131.0
1772793296.2653623,94,11258.0
1772793306.065893,95,11423.0
1772793314.2914371,96,11560.0
1772793331.4981737,97,11854.0
1772793338.0252306,98,11955.0
1772793342.4643753,99,12028.0
1772793344.1127057,100,12053.0
1772793344.297746,101,12054.0
1772793367.4407284,102,12460.0
1772793378.982454,103,12642.0
1772793382.7326388,104,12695.0
1772793384.5944686,105,12722.0
1772793394.5014825,106,12889.0
1772793398.1677103,107,12945.0
1772793411.128657,108,13169.0
1772793430.2739618,109,13491.0
1772793431.8297217,110,13498.0
1772793440.4652574,111,13647.0
1772793461.8811357,112,14010.0
1772793472.4054239,113,14174.0
1772793484.3351622,114,14371.0
1772793486.6093462,115,14400.0
1772793514.2008512,116,14882.0
1772793520.7470338,117,14969.0
1772793522.1178668,118,14987.0
1772793525.1216934,119,15038.0
1772793706.45159,120,15071.0
1772793708.6528008,121,15106.0
1772793710.2924464,122,15131.0
1772793724.984644,123,15386.0
1772793734.5860536,124,15542.0
1772793738.865116,125,15607.0
1772793777.4825773,126,16279.0
1772793782.4099133,127,16331.0
1772793791.2581363,128,16481.0
1772793802.085485,129,16663.0
1772793805.7803607,130,16714.0
1772793810.1917965,131,16787.0
1772793814.0661466,132,16851.0
1772793817.1840758,133,16902.0
1772793823.0316825,134,17002.0
1772793842.0408597,135,17329.0
1772793843.665118,136,17341.0
1772793858.764941,137,17606.0
1772793864.1077633,138,17680.0
1772793867.4489462,139,17731.0
1772793878.719842,140,17924.0
1772793882.639175,141,17984.0
1772793887.4985268,142,18064.0
1772793899.2054539,143,18261.0
1772793903.7369995,144,18331.0
1772793906.9129467,145,18382.0
1772793910.0684378,146,18433.0
1772793914.1946566,147,18500.0
1772793921.1228878,148,18616.0
1772793924.6039028,149,18667.0
1772793933.6974812,150,18823.0
1772793934.2802913,151,18824.0
1772793939.872395,152,18922.0
1772793943.1696417,153,18973.0
1772793950.9365647,154,19104.0
1772793959.1166255,155,19236.0
1772793960.6810358,156,19254.0
1772793979.5777676,157,19587.0
1772793984.6267061,158,19652.0
1772793988.5438688,159,19715.0
1772793991.752007,160,19768.0
1772793994.468168,161,19811.0
1772793994.885692,162,19815.0
1772794004.8697548,163,19991.0
1772794020.9378562,164,20260.0
1772794127.0338676,165,20484.0
1772794139.9129574,166,20694.0
1772794140.6169329,167,20695.0
1772794146.2826483,168,20795.0
1772794146.6835356,169,20796.0
1772794149.6743703,170,20847.0
1772794157.359259,171,20978.0
1772794192.1730962,172,21574.0
1772794200.0802102,173,21674.0
1772794203.459888,174,21727.0
1772794214.3835046,175,21913.0
1772794250.8889072,176,22544.0
1772794260.239258,177,22666.0
1772794264.7913606,178,22738.0
1772794284.9764895,179,23084.0
1772794289.751377,180,23146.0
1772794304.666827,181,23401.0
1772794310.1521416,182,23478.0
1772794314.9623408,183,23555.0
1772794324.6778684,184,23717.0
1772794366.6745443,185,24446.0
1772794375.4167364,186,24550.0
1772794401.1448104,187,24996.0
1772794407.577943,188,25077.0
1772794486.7858164,189,25173.0
1772794495.885113,190,25323.0
1772794501.6324818,191,25413.0
1772794502.3477323,192,25420.0
1772794512.6321023,193,25599.0
1772794514.7527103,194,25626.0
1772794529.5526094,195,25882.0
1772794533.1906254,196,25929.0
1772794544.7407916,197,26126.0
1772794557.6011438,198,26337.0
1772794569.8186743,199,26541.0
1772794573.9875557,200,26603.0
1772794608.5492284,201,27201.0
1772794619.3996515,202,27351.0
1772794627.3473096,203,27483.0
1772794658.6159906,204,28027.0
1772794665.954146,205,28130.0
1772794668.338549,206,28164.0
1772794691.6586666,207,28572.0
1772794696.9458714,208,28643.0
1772794707.5637913,209,28821.0
1772794730.0727615,210,29206.0
1772794734.176658,211,29252.0
1772794736.2424836,212,29284.0
1772794740.2422204,213,29351.0
1772794744.4018786,214,29418.0
1772794766.2351396,215,29796.0
1772794770.7217705,216,29847.0
1772794774.1148841,217,29903.0
1772794774.8489199,218,29912.0
1772794780.52462,219,30011.0
1772794877.9249368,220,30294.0
1772794882.0034542,221,30345.0
1772794890.8405807,222,30496.0
1772794893.7993152,223,30540.0
1772794910.5865996,224,30831.0
1772794911.737192,225,30832.0
1772794915.375796,226,30894.0
1772794918.555137,227,30945.0
1772794924.4329212,228,31045.0
1772794924.8341062,229,31046.0
1772794941.9431634,230,31340.0
1772794946.2758572,231,31391.0
1772794949.4405138,232,31442.0
1772794951.9966252,233,31484.0
1772794952.2703242,234,31485.0
1772794955.3510308,235,31538.0
1772794957.3667297,236,31570.0
1772794962.9444885,237,31665.0
1772794966.1845086,238,31716.0
1772794971.1627898,239,31798.0
1772794979.5055192,240,31937.0
1772794980.0009816,241,31938.0
1772794983.443289,242,31996.0
1772795029.4991431,243,32800.0
1772795036.856489,244,32873.0
1772795047.3441432,245,33052.0
1772795050.8163433,246,33103.0
1772795054.3325799,247,33162.0
1772795078.9679053,248,33586.0
1772795083.0411012,249,33635.0
1772795090.4192677,250,33758.0
1772795095.0410085,251,33829.0
1772795100.1281536,252,33912.0
1772795100.4715054,253,33913.0
1772795109.280962,254,34067.0
1772795110.5935042,255,34081.0
1772795115.3698432,256,34161.0
1772795115.8486567,257,34163.0
1772795121.7235355,258,34263.0
1772795125.540618,259,34321.0
1772795132.2619143,260,34431.0
1772795148.9334767,261,34716.0
1772795161.431713,262,34914.0
1772795164.9853284,263,34965.0
1772795181.8389397,264,35259.0
1772795328.1478124,265,35265.0
1772795340.3282475,266,35477.0
1772795346.4545128,267,35574.0
1772795354.6562986,268,35714.0
1772795355.56607,269,35721.0
1772795370.4390903,270,35979.0
1772795371.3050773,271,35980.0
1772795383.5133212,272,36195.0
1772795407.3601575,273,36599.0
1772795411.9497666,274,36660.0
1772795416.7118149,275,36738.0
1772795424.2879794,276,36864.0
1772795433.135814,277,37012.0
1772795437.9702857,278,37088.0
1772795443.0941772,279,37170.0
1772795449.2109199,280,37271.0
1772795469.957136,281,37628.0
1772795471.8166034,282,37643.0
1772795492.9034808,283,38013.0
1772795496.8506415,284,38064.0
1772795498.118269,285,38083.0
1772795501.115134,286,38134.0
1772795506.4525607,287,38223.0
1772795510.314345,288,38282.0
1772795517.6350152,289,38403.0
1772795521.3229983,290,38457.0
1772795546.2717412,291,38893.0
1772795554.6510954,292,39011.0
1772795557.273704,293,39048.0
1772795568.0334833,294,39235.0
1772795592.4106686,295,39647.0
1772795595.9820824,296,39687.0
1772795609.4799736,297,39921.0
1772795614.6577487,298,39999.0
1772795638.8391075,299,40416.0
1772795721.11242,300,40488.0
1772795727.5877156,301,40594.0
1772795740.4893842,302,40811.0
1772795747.6407435,303,40925.0
1772795748.724345,304,40935.0
1772795749.466813,305,40946.0
1772795761.1293437,306,41148.0
1772795766.2394774,307,41227.0
1772795770.6194286,308,41300.0
1772795774.1907737,309,41356.0
1772795778.4830608,310,41425.0
1772795790.8994913,311,41635.0
1772795799.6636033,312,41778.0
1772795809.4997325,313,41937.0
1772795823.1122384,314,42163.0
1772795856.647061,315,42742.0
1772795859.3706536,316,42761.0
1772795872.5508423,317,42991.0
1772795881.9442544,318,43141.0
1772795885.3182454,319,43192.0
1772795892.3969839,320,43315.0
1772795905.9148512,321,43542.0
1772795909.6390855,322,43593.0
1772795921.7179425,323,43803.0
1772795934.8680563,324,44021.0
1772795942.1548784,325,44133.0
1772795956.571647,326,44379.0
1772795975.751824,327,44700.0
1772795987.9214222,328,44896.0
1772795996.2645683,329,45028.0
1772796052.9102147,330,45279.0
1772796061.7829587,331,45419.0
1772796073.1553726,332,45613.0
1772796076.3721514,333,45659.0
1772796083.8726735,334,45784.0
1772796087.2902,335,45835.0
1772796091.3134494,336,45902.0
1772796101.251761,337,46072.0
1772796104.1762764,338,46114.0
1772796105.3285465,339,46131.0
1772796108.439037,340,46182.0
1772796111.160631,341,46224.0
1772796115.8219175,342,46300.0
1772796126.3190439,343,46478.0
1772796159.9791794,344,47054.0
1772796166.8990514,345,47142.0
1772796172.7726986,346,47238.0
1772796174.6508482,347,47263.0
1772796189.3046951,348,47520.0
1772796198.3145728,349,47665.0
1772796198.9478688,350,47666.0
1772796208.2573063,351,47826.0
1772796223.5602276,352,48086.0
1772796239.5200315,353,48345.0
1772796246.6963108,354,48458.0
1772796257.8936992,355,48648.0
1772796259.301447,356,48659.0
1772796260.1073687,357,48671.0
1772796277.5314014,358,48973.0
1772796283.499585,359,49056.0
1772796287.6349866,360,49122.0
1772796292.3573372,361,49198.0
1772796293.2172384,362,49207.0
1772796311.7538254,363,49531.0
1772796315.6223722,364,49582.0
1772796325.978146,365,49758.0
1772796336.8642848,366,49933.0
1772796338.3908925,367,49951.0
1772796341.528165,368,50005.0
1772796436.8574128,369,50086.0
1772796440.3208954,370,50141.0
1772796446.6033754,371,50245.0
1772796451.2877328,372,50319.0
1772796469.7711954,373,50641.0
1772796483.9907033,374,50865.0
1772796500.7064693,375,51148.0
1772796511.9224045,376,51326.0
1772796522.1915922,377,51496.0
1772796527.9529693,378,51587.0
1772796533.0956523,379,51668.0
1772796536.551677,380,51720.0
1772796539.7515867,381,51771.0
1772796549.208206,382,51934.0
1772796568.219151,383,52255.0
1772796599.8652334,384,52783.0
1772796608.3052487,385,52899.0
1772796608.8239703,386,52900.0
1772796614.133874,387,52992.0
1772796629.498092,388,53253.0
1772796642.5747106,389,53465.0
1772796646.1193147,390,53514.0
1772796648.0015352,391,53542.0
1772796651.0903423,392,53593.0
1772796657.4131398,393,53697.0
1772796705.8779979,394,54539.0
1772796729.8245494,395,54904.0
1772796736.1932065,396,54994.0
1772796757.9463449,397,55369.0
1772796831.1871498,398,55567.0
1772796843.233883,399,55764.0
1772796847.3962898,400,55826.0
1772796854.6245747,401,55948.0
1772796865.2279947,402,56125.0
1772796901.6315022,403,56751.0
1772796906.6297266,404,56807.0
1772796909.998246,405,56860.0
1772796916.5616832,406,56968.0
1772796922.3776321,407,57061.0
1772796942.6595113,408,57411.0
1772796948.794861,409,57495.0
1772796953.2997682,410,57565.0
