wall_time,step,value
1772729412.4627466,1,17.0
1772729754.5363097,2,26.0
1772730118.2625904,3,37.0
1772730517.3345025,4,44.0
1772730878.9795997,5,54.0
1772731215.3284795,6,64.0
1772731546.3261487,7,73.0
1772731928.2193203,8,82.0
1772732337.0170987,9,89.0
1772732682.3213005,10,101.0
1772733054.2729433,11,110.0
1772733459.5195863,12,121.0
1772733874.2499042,13,130.0
1772734279.761839,14,136.0
1772734655.69552,15,140.0
1772735090.2477,16,147.0
1772735474.7844145,17,151.0
1772735834.1492934,18,165.0
1772736203.896026,19,170.0
1772736622.8402076,20,178.0
1772737024.118175,21,186.0
1772737504.9877653,22,193.0
1772737890.272933,23,197.0
1772738295.9946647,24,204.0
1772738654.5829697,25,218.0
1772739073.0809784,26,229.0
1772739467.3133116,27,232.0
1772739904.4417486,28,237.0
1772740248.1434238,29,246.0
1772740654.3945367,30,249.0
1772741076.4182217,31,257.0
1772741428.2261188,32,267.0
1772741861.5529447,33,273.0
1772742249.1200423,34,281.0
1772742686.6638625,35,288.0
1772743127.8027983,36,295.0
1772743512.5543535,37,302.0
1772743983.6987193,38,312.0
1772744336.786713,39,319.0
1772744799.850251,40,321.0
1772745203.307254,41,324.0
1772745598.7681706,42,329.0
1772745999.9998908,43,333.0
1772746403.7152672,44,336.0
1772746794.120776,45,343.0
1772747254.968815,46,352.0
1772747617.8417196,47,359.0
1772748074.487173,48,363.0
1772748454.5355551,49,364.0
1772748825.3886843,50,373.0
1772749229.3074377,51,378.0
1772749589.5278811,52,381.0
1772749948.9516556,53,384.0
1772750400.5680625,54,394.0
1772750784.8584669,55,397.0
1772751149.6139448,56,408.0
1772751556.8438034,57,413.0
1772751959.766626,58,420.0
1772752324.6192634,59,426.0
1772752747.4382298,60,435.0
1772753160.0276904,61,439.0
1772753531.6175747,62,445.0
1772753930.2665322,63,450.0
1772754269.3594508,64,458.0
1772754655.7368364,65,462.0
1772755027.7342532,66,465.0
1772755471.2100272,67,467.0
1772755943.3217,68,470.0
1772756437.7918937,69,474.0
1772756793.0397167,70,479.0
1772757191.608251,71,487.0
1772757557.7619023,72,493.0
1772757965.7363043,73,499.0
1772758360.291347,74,504.0
1772758783.5047727,75,505.0
1772759160.8345256,76,509.0
1772759560.008987,77,514.0
1772759917.6654556,78,522.0
1772760267.6523902,79,525.0
1772760689.4809372,80,534.0
1772761092.6088865,81,541.0
1772761526.9458647,82,544.0
1772761871.46041,83,546.0
1772762307.0408335,84,550.0
1772762734.7895617,85,555.0
1772763111.7371638,86,558.0
1772763521.6400058,87,562.0
1772763927.5958424,88,568.0
1772764315.2274656,89,575.0
1772764657.8557124,90,577.0
1772765077.146735,91,581.0
