wall_time,step,value
1771986542.2415342,1,21.0
1771987027.6949282,2,34.0
1771987497.7649803,3,32.0
1771988049.636749,4,22.0
1771988533.8951526,5,29.0
1771989034.022989,6,22.0
1771989645.6741734,7,23.0
1771990116.876422,8,27.0
1771990601.7307625,9,26.0
1771991121.291802,10,30.0
1771991648.5372036,11,23.0
1771992259.7909005,12,17.0
1771992790.3692052,13,22.0
1771993367.131272,14,23.0
1771994008.4862773,15,35.0
1771994520.1358595,16,18.0
1771995018.956558,17,18.0
1771995522.0289452,18,19.0
1771996016.1705859,19,23.0
1771996557.38588,20,17.0
1771997005.7997117,21,14.0
1771997491.908348,22,29.0
1771997923.268039,23,16.0
1771998334.7243538,24,35.0
1771998804.292797,25,30.0
1771999221.0080934,26,21.0
1771999643.7441242,27,24.0
1772000137.6389837,28,34.0
1772000602.883877,29,19.0
1772000981.2876616,30,28.0
1772001413.8303483,31,22.0
1772001856.453211,32,12.0
1772002249.028563,33,22.0
1772002708.2619295,34,22.0
1772003090.7558885,35,19.0
1772003546.717341,36,20.0
1772003964.5496194,37,29.0
1772004411.624001,38,33.0
1772004808.9649484,39,22.0
1772005204.0603209,40,28.0
1772005610.3715727,41,20.0
1772005979.5474138,42,12.0
1772006378.1162465,43,22.0
1772006780.5793772,44,21.0
1772007180.9637647,45,17.0
1772007538.180317,46,25.0
1772007934.7868242,47,20.0
1772008442.0545614,48,23.0
1772008850.0007226,49,25.0
1772009272.0914652,50,24.0
1772009758.3728516,51,12.0
1772010224.51848,52,16.0
1772010614.1712766,53,26.0
1772011045.3386683,54,15.0
1772011473.3169336,55,17.0
1772011887.845505,56,13.0
1772012347.3450196,57,8.0
1772012835.449817,58,12.0
1772013256.2637537,59,11.0
1772013672.0193238,60,16.0
1772014058.111465,61,10.0
1772014516.1986675,62,9.0
1772014918.650656,63,10.0
1772015352.9504182,64,10.0
1772015761.497611,65,13.0
1772016148.3467565,66,15.0
1772016535.8703957,67,10.0
1772016933.1888494,68,12.0
1772017284.7634692,69,24.0
1772017641.8926313,70,22.0
1772018055.7802012,71,14.0
1772018448.0424187,72,9.0
1772018811.4821658,73,16.0
1772019171.7063332,74,10.0
1772019524.5873086,75,21.0
1772019879.344705,76,15.0
1772020317.0294204,77,13.0
1772020707.0559454,78,11.0
1772021077.648557,79,14.0
1772021438.0406559,80,12.0
1772021841.465711,81,6.0
1772022226.7125146,82,21.0
1772022670.7137744,83,17.0
1772023040.54662,84,13.0
1772023393.2844498,85,10.0
1772023769.5137534,86,18.0
1772024146.369925,87,11.0
1772024498.2354085,88,16.0
1772024915.3863506,89,15.0
1772025288.5563817,90,15.0
1772025701.7336912,91,12.0
1772026037.1878037,92,8.0
1772026437.2512922,93,21.0
1772026886.5719945,94,17.0
