wall_time,step,value
1771985957.7331326,2,-155.96737670898438
1771985965.1589453,3,-58.73701858520508
1771985968.910572,4,-26.516246795654297
1771985979.5841498,5,-182.3385467529297
1771985984.598257,6,-145.87074279785156
1771985984.9307337,7,-100.0
1771985993.2185488,8,-178.7613067626953
1771986003.6006017,9,-96.98822021484375
1771986007.351566,10,-21.871177673339844
1771986018.776496,11,-94.2178726196289
1771986062.27726,12,-352.70831298828125
1771986088.6437354,13,-175.3269805908203
1771986093.7959552,14,-137.45314025878906
1771986097.9675965,15,-22.859811782836914
1771986117.0809042,16,-246.6134033203125
1771986126.8244276,17,-64.42211151123047
1771986132.0817926,18,-24.58455467224121
1771986141.3535626,19,-178.31764221191406
1771986151.5281982,20,-195.14466857910156
1771986170.2245493,21,-241.15480041503906
1771986180.8683958,22,-64.62033081054688
1771986181.83159,23,-100.0
1771986182.372009,24,-105.30484008789062
1771986189.475148,25,-153.24472045898438
1771986194.6789708,26,-141.46270751953125
1771986202.1188712,27,-156.14002990722656
1771986207.3962862,28,-26.765621185302734
1771986210.6476903,29,-20.95686912536621
1771986213.296927,30,-116.20569610595703
1771986216.610614,31,-132.73231506347656
1771986227.9615917,32,-173.67201232910156
1771986231.052866,33,-123.84883117675781
1771986236.4327083,34,-138.5010986328125
1771986249.5387843,35,-83.93549346923828
1771986259.6741147,36,-60.82495880126953
1771986275.761833,37,-111.8125991821289
1771986554.5610166,38,-93.69612121582031
1771986558.463315,39,-128.34922790527344
1771986559.0736995,40,-102.0597915649414
1771986567.0167916,41,-59.54682922363281
1771986589.8266625,42,-184.92210388183594
1771986593.186621,43,-120.05309295654297
1771986598.6893454,44,-138.72621154785156
1771986599.6589487,45,-106.91143035888672
1771986600.0023537,46,-101.89248657226562
1771986601.8499272,47,-110.64358520507812
1771986609.5060465,48,-62.9649543762207
1771986613.066466,49,-120.09664154052734
1771986620.3868363,50,-168.5648651123047
1771986620.9308903,51,-100.46968078613281
1771986625.8894794,52,-49.677528381347656
1771986642.8751233,53,-222.26307678222656
1771986644.5147915,54,-106.28626251220703
1771986648.0702727,55,-26.80638885498047
1771986650.177778,56,-113.85789489746094
1771986657.2544448,57,-145.4922332763672
1771986658.3722856,58,-105.47174835205078
1771986671.4274855,59,-104.75064849853516
1771986673.349369,60,-105.14959716796875
1771986676.5792348,61,-31.336400985717773
1771986686.0001023,62,-200.85130310058594
1771986690.3766725,63,-132.41444396972656
1771986691.7059824,64,-108.50262451171875
1771986702.6406147,65,-180.54151916503906
1771986703.8243122,66,-103.97283172607422
1771986710.658145,67,-168.6032257080078
1771986715.0556984,68,-139.5734405517578
1771986720.6765676,69,-155.30252075195312
1771986722.3550346,70,-114.47434997558594
1771986727.0763235,71,-36.50620651245117
1771986735.4312494,72,-155.87554931640625
1771986743.5273876,73,-57.92324447631836
1771986748.219283,74,-39.761680603027344
1771986756.234006,75,-54.89439010620117
1771986760.1310227,76,-126.76986694335938
1771986763.3957176,77,-29.048328399658203
1771986763.7197528,78,-100.0
1771986771.9436123,79,-162.32823181152344
1771986778.0741205,80,-146.77769470214844
1771986807.0017686,81,-308.6484375
1771986811.527095,82,-126.13578796386719
1771986818.917084,83,-172.79843139648438
1771986829.0717866,84,-72.90771484375
