wall_time,step,value
1771985957.733173,2,113.0
1771985965.1589868,3,229.0
1771985968.9106126,4,287.0
1771985979.5841901,5,471.0
1771985984.598295,6,550.0
1771985984.9307737,7,551.0
1771985993.2185905,8,694.0
1771986003.6006444,9,865.0
1771986007.3516088,10,920.0
1771986018.7765508,11,1115.0
1771986062.277309,12,1850.0
1771986088.6437767,13,2246.0
1771986093.7960014,14,2307.0
1771986097.9676392,15,2371.0
1771986117.080947,16,2683.0
1771986126.8244727,17,2824.0
1771986132.0818362,18,2900.0
1771986141.3536103,19,3056.0
1771986151.52824,20,3209.0
1771986170.2245944,21,3504.0
1771986180.868447,22,3665.0
1771986181.831635,23,3666.0
1771986182.3720577,24,3674.0
1771986189.475193,25,3792.0
1771986194.6790183,26,3873.0
1771986202.118915,27,3995.0
1771986207.3963304,28,4078.0
1771986210.647732,29,4129.0
1771986213.2969697,30,4171.0
1771986216.6106603,31,4225.0
1771986227.9616358,32,4416.0
1771986231.0529125,33,4458.0
1771986236.4327524,34,4548.0
1771986249.5388284,35,4766.0
1771986259.6741612,36,4922.0
1771986275.7618756,37,5184.0
1771986554.5610642,38,5394.0
1771986558.4633622,39,5450.0
1771986559.0737445,40,5456.0
1771986567.0168378,41,5591.0
1771986589.8267064,42,5977.0
1771986593.1866705,43,6013.0
1771986598.689394,44,6103.0
1771986599.6589925,45,6114.0
1771986600.0024,46,6118.0
1771986601.849971,47,6148.0
1771986609.5060928,48,6277.0
1771986613.0665138,49,6332.0
1771986620.3868835,50,6454.0
1771986620.9309354,51,6456.0
1771986625.8895342,52,6540.0
1771986642.8751705,53,6824.0
1771986644.5148377,54,6834.0
1771986648.0703213,55,6891.0
1771986650.1778243,56,6921.0
1771986657.2544935,57,7036.0
1771986658.372332,58,7046.0
1771986671.4275436,59,7262.0
1771986673.349419,60,7278.0
1771986676.5792801,61,7329.0
1771986686.0001452,62,7488.0
1771986690.3767188,63,7555.0
1771986691.7060275,64,7573.0
1771986702.64066,65,7757.0
1771986703.8243587,66,7766.0
1771986710.6581914,67,7882.0
1771986715.055745,68,7949.0
1771986720.6766162,69,8037.0
1771986722.3550823,70,8059.0
1771986727.0763736,71,8134.0
1771986735.4313004,72,8269.0
1771986743.5274353,73,8395.0
1771986748.2193296,74,8468.0
1771986756.2340631,75,8597.0
1771986760.1310654,76,8655.0
1771986763.3957663,77,8706.0
1771986763.7197978,78,8707.0
1771986771.9436588,79,8846.0
1771986778.0741763,80,8942.0
1771986807.0018137,81,9427.0
1771986811.52717,82,9475.0
1771986818.9171267,83,9599.0
