wall_time,step,value
1773035855.281879,1,0.09953836351633072
1773035855.4038386,2,0.07194191217422485
1773035865.838833,3,0.1024356484413147
1773035880.359171,4,-0.20648768544197083
1773035891.8962054,5,-0.16749508678913116
1773035959.595855,6,0.24844802916049957
1773036054.082003,7,2.4059808254241943
1773036073.4859033,8,0.5637881755828857
1773036090.360973,9,0.7097322940826416
1773036092.6502075,10,-0.21155330538749695
1773036162.6039875,11,1.2323088645935059
1773036437.7019284,12,0.004967041313648224
1773036467.436344,13,-1.0307235717773438
1773036664.1684098,14,-0.6874809861183167
1773036717.9774003,15,-0.6385597586631775
1773036999.520497,16,-10.208747863769531
1773037066.8257039,17,-3.161235809326172
1773037081.9510493,18,-10.852181434631348
1773037085.0475779,19,-14.455824851989746
1773037205.575938,20,-5.050975322723389
1773037248.4122121,21,-10.012189865112305
1773037261.1126435,22,-11.138772964477539
1773037496.2732742,23,-4.680566310882568
1773037729.4667835,24,-10.067646026611328
1773037730.746408,25,-13.0563325881958
1773037733.1444502,26,-8.686308860778809
1773037751.48524,27,-6.326862812042236
1773037831.1639645,28,-7.403582572937012
1773038114.170665,29,-8.935528755187988
1773038140.569102,30,-11.620283126831055
1773038248.269292,31,-3.238588333129883
1773038352.9515648,32,-8.681529998779297
1773038650.8677194,33,-10.608702659606934
1773038651.1596227,34,-37.0036506652832
1773038876.291834,35,-6.561084270477295
1773038896.805586,36,-19.300052642822266
1773038903.2773623,37,-28.818096160888672
1773038913.8212051,38,-25.02642059326172
1773039221.1124427,39,-12.819347381591797
1773039278.0037973,40,-20.73450469970703
1773039389.5980723,41,-20.503307342529297
1773039394.7188406,42,-39.38591766357422
1773039579.3648005,43,-20.30898666381836
1773039905.456084,44,-25.032669067382812
1773039961.5546048,45,-31.776765823364258
1773040023.8553417,46,-22.460390090942383
1773040341.0102715,47,-20.42074203491211
1773040456.4552817,48,-20.852638244628906
1773040456.5783339,49,-57.255531311035156
1773040476.5364506,50,-21.470443725585938
1773040476.6559415,51,-63.66754150390625
1773040495.6766129,52,-41.79414749145508
1773040553.937468,53,-25.954320907592773
1773040810.1604824,54,-66.7820816040039
1773040919.5949552,55,-23.545238494873047
1773040982.4092624,56,-37.20068359375
1773040983.3493567,57,-60.87681579589844
1773040983.4692414,58,-79.35347747802734
1773041070.3948786,59,-22.613056182861328
1773041362.1376445,60,-33.35613250732422
1773041690.0375435,61,-32.984371185302734
