wall_time,step,value
1773036415.3680232,1,10.0
1773036999.1768634,2,4.0
1773037723.1752799,3,7.0
1773038098.1120903,4,5.0
1773038633.758431,5,3.0
1773039146.391167,6,6.0
1773039826.3464813,7,5.0
1773040304.7488594,8,3.0
1773040809.9091234,9,7.0
1773041643.2087703,10,6.0
1773041942.6414142,11,1.0
1773042549.855797,12,9.0
1773043573.1694064,1,13.0
1773043922.2129085,2,18.0
1773044282.8034945,3,13.0
1773044654.2775922,4,12.0
1773045151.5178263,5,13.0
1773045685.716986,6,9.0
1773046106.6015608,7,15.0
1773046497.3678968,8,9.0
1773046893.4218993,9,8.0
1773047393.8716996,10,13.0
1773047747.1342826,11,8.0
1773048225.892472,12,6.0
1773048634.5076137,13,9.0
1773049049.9090214,14,8.0
1773049451.128766,15,8.0
1773049824.5481656,16,10.0
1773050187.0652237,17,6.0
1773050578.6123178,18,10.0
1773050950.6045609,19,6.0
1773051361.3579683,20,6.0
1773051743.2942545,21,8.0
1773052099.129111,22,13.0
1773052479.3443768,23,12.0
1773052787.6781635,24,6.0
1773053142.5708416,25,6.0
1773053461.130922,26,8.0
1773053789.7416084,27,11.0
1773054135.0450304,28,12.0
1773054508.842142,29,6.0
1773054895.5759308,30,9.0
1773055311.1800601,31,6.0
1773055700.5626962,32,2.0
1773056077.9958282,33,10.0
1773056506.8370101,34,8.0
1773056946.1691597,35,12.0
1773057326.3979728,36,9.0
1773057659.6379733,37,5.0
1773058105.6298008,38,11.0
1773058425.2296894,39,11.0
1773058869.2814488,40,7.0
1773059611.0803556,41,9.0
1773059811.2925782,42,3.0
1773060277.4191027,43,8.0
1773060683.6136336,44,3.0
1773061198.702235,45,12.0
1773061721.0777986,46,10.0
1773062227.2769344,47,7.0
1773062633.1898057,48,4.0
1773063136.9305,49,6.0
1773063666.7231658,50,5.0
1773064092.5878265,51,3.0
1773064567.183223,52,6.0
1773065013.4596786,53,10.0
1773065455.1431272,54,8.0
1773066004.7623048,55,9.0
1773066327.8418088,56,3.0
1773066754.3994043,57,4.0
1773067203.5744028,58,7.0
1773067645.909986,59,5.0
1773067885.0144238,60,0.0
1773068297.5811853,61,5.0
1773068869.093295,62,2.0
1773068991.519619,63,0.0
1773069372.772288,64,5.0
1773069773.7077923,65,5.0
1773070144.6310124,66,13.0
1773070506.3059056,67,5.0
1773070872.0981786,68,9.0
1773071249.3756108,69,6.0
1773071806.349512,70,6.0
1773072013.16528,71,3.0
