wall_time,step,value
1773036415.368041,1,5.0
1773036999.176881,2,5.0
1773037723.175295,3,5.0
1773038098.1121044,4,5.0
1773038633.758445,5,5.0
1773039146.3911812,6,5.0
1773039826.3464994,7,5.0
1773040304.7488747,8,5.0
1773040809.9091423,9,5.0
1773041643.2087843,10,5.0
1773041942.6414285,11,5.0
1773042549.8558102,12,5.0
1773043573.169422,1,5.0
1773043922.2129228,2,5.0
1773044282.8035088,3,5.0
1773044654.2776062,4,5.0
1773045151.5178394,5,5.0
1773045685.7170002,6,5.0
1773046106.6015751,7,5.0
1773046497.367916,8,5.0
1773046893.4219146,9,5.0
1773047393.8717175,10,5.0
1773047747.1342967,11,5.0
1773048225.8924875,12,5.0
1773048634.5076315,13,5.0
1773049049.9090369,14,5.0
1773049451.1287813,15,5.0
1773049824.5481799,16,5.0
1773050187.0652368,17,5.0
1773050578.6123333,18,5.0
1773050950.604575,19,5.0
1773051361.3579803,20,5.0
1773051743.2942688,21,5.0
1773052099.1291277,22,5.0
1773052479.34439,23,5.0
1773052787.6781812,24,5.0
1773053142.5708547,25,5.0
1773053461.1309364,26,5.0
1773053789.7416215,27,5.0
1773054135.0450482,28,5.0
1773054508.8421566,29,5.0
1773054895.575944,30,5.0
1773055311.1800745,31,5.0
1773055700.5627105,32,5.0
1773056077.9958422,33,5.0
1773056506.8370245,34,5.0
1773056946.169179,35,5.0
1773057326.397987,36,5.0
1773057659.6379888,37,5.0
1773058105.629815,38,5.0
1773058425.2297037,39,5.0
1773058869.281462,40,5.0
1773059611.0803697,41,5.0
1773059811.2925963,42,5.0
1773060277.4191203,43,5.0
1773060683.6136465,44,5.0
1773061198.7022529,45,5.0
1773061721.077814,46,5.0
1773062227.2769535,47,5.0
1773062633.1898212,48,5.0
1773063136.9305131,49,5.0
1773063666.7231798,50,5.0
1773064092.5878408,51,5.0
1773064567.1832373,52,5.0
1773065013.4596963,53,5.0
1773065455.1431403,54,5.0
1773066004.7623224,55,5.0
1773066327.8418233,56,5.0
1773066754.3994184,57,5.0
1773067203.574416,58,5.0
1773067645.9099991,59,5.0
1773067885.0144415,60,5.0
1773068297.5811996,61,5.0
1773068869.0933118,62,5.0
1773068991.519638,63,5.0
1773069372.7723036,64,5.0
1773069773.7078068,65,5.0
1773070144.6310313,66,5.0
1773070506.3059213,67,5.0
1773070872.0981941,68,5.0
1773071249.3756382,69,5.0
1773071806.3495266,70,5.0
1773072013.165293,71,5.0
