wall_time,step,value
1773035854.824557,2,1.0
1773035855.4003038,3,1.0
1773035865.3798192,4,1.0
1773035879.799639,5,1.0
1773035891.3588846,6,0.0
1773035956.7825992,7,1.0
1773036050.3599713,8,1.0
1773036072.7108948,9,1.0
1773036089.6411602,10,1.0
1773036092.5466099,11,1.0
1773036159.8401313,12,1.0
1773036436.7376716,13,1.0
1773036466.143,14,1.0
1773036656.0855248,15,1.0
1773036715.7251143,16,1.0
1773036999.5093615,17,1.0
1773037063.8382258,18,1.0
1773037081.3051808,19,1.0
1773037084.910403,20,1.0
1773037200.6329324,21,1.0
1773037246.6050248,22,0.0
1773037260.5423746,23,1.0
1773037487.8102112,24,1.0
1773037729.2073872,25,1.0
1773037730.695607,26,1.0
1773037733.046336,27,1.0
1773037750.6779642,28,1.0
1773037827.6611197,29,1.0
1773038113.5022013,30,1.0
1773038139.390905,31,1.0
1773038243.7743409,32,0.0
1773038348.5102053,33,1.0
1773038650.124423,34,1.0
1773038651.149312,35,1.0
1773038868.144049,36,1.0
1773038895.9343324,37,1.0
1773038902.9913018,38,1.0
1773038913.3796031,39,1.0
1773039217.864359,40,1.0
1773039275.4539225,41,1.0
1773039384.5878701,42,1.0
1773039394.477118,43,1.0
1773039571.7346764,44,1.0
1773039901.9098716,45,1.0
1773039959.1590364,46,1.0
1773040021.0884125,47,1.0
1773040339.4862096,48,1.0
1773040451.3674352,49,1.0
1773040456.5744278,50,1.0
1773040475.6236253,51,1.0
1773040476.6515732,52,1.0
1773040494.8259833,53,1.0
1773040551.4552932,54,1.0
1773040810.1516664,55,1.0
1773040914.6222537,56,1.0
1773040979.7280407,57,1.0
1773040983.3110006,58,1.0
1773040983.46543,59,1.0
1773041066.7221165,60,1.0
1773041351.3332388,61,0.0
1773041687.9777293,62,1.0
1773041976.063414,63,1.0
1773041981.464169,64,1.0
1773042002.1516013,65,1.0
1773042049.2713244,66,1.0
1773042100.4884288,67,1.0
1773042110.3257258,68,1.0
1773042173.6794136,69,1.0
1773042197.5174086,70,1.0
1773042316.908353,71,1.0
1773042559.7885392,72,1.0
1773042640.255461,73,1.0
1773042871.1989014,74,1.0
1773043121.727471,2,1.0
1773043141.967499,2,1.0
1773043169.9128685,2,1.0
1773043246.2461402,3,1.0
1773043260.8658998,4,0.0
1773043273.1348255,5,1.0
1773043274.2509449,6,1.0
1773043279.7751946,7,1.0
1773043286.6136894,8,1.0
1773043289.7378848,9,1.0
1773043292.492981,10,1.0
1773043369.7800398,11,1.0
1773043381.6298301,12,1.0
1773043436.4675167,13,1.0
1773043440.7791796,14,1.0
1773043457.3444955,15,1.0
1773043609.8277965,16,1.0
1773043620.8689802,17,1.0
1773043629.6764278,18,1.0
1773043639.3212986,19,1.0
1773043663.9181054,20,1.0
1773043687.146132,21,1.0
1773043699.57616,22,1.0
1773043705.0671299,23,1.0
1773043715.9975839,24,1.0
1773043736.307595,25,1.0
1773043744.4168842,26,0.0
1773043766.2468412,27,1.0
1773043776.7340379,28,1.0
1773043777.2366076,29,1.0
1773043788.54981,30,1.0
1773043813.9765193,31,1.0
1773043822.4326382,32,1.0
1773043824.6951685,33,1.0
1773043858.3781445,34,1.0
1773043923.5956302,35,1.0
1773043944.6087132,36,1.0
1773043948.6390135,37,1.0
1773043953.9180155,38,1.0
1773043958.509667,39,1.0
1773043958.7977695,40,1.0
