wall_time,step,value
1773035854.8245642,2,84.0
1773035855.400311,3,85.0
1773035865.3798265,4,263.0
1773035879.7996473,5,514.0
1773035891.3588932,6,710.0
1773035956.7826076,7,1872.0
1773036050.3599796,8,3496.0
1773036072.7109034,9,3828.0
1773036089.6411686,10,4115.0
1773036092.5466168,11,4153.0
1773036159.8401396,12,5351.0
1773036436.73768,13,5730.0
1773036466.1430092,14,6236.0
1773036656.085533,15,9607.0
1773036715.725123,16,10527.0
1773036999.5093699,17,10531.0
1773037063.8382344,18,11680.0
1773037081.305189,19,11936.0
1773037084.9104116,20,11988.0
1773037200.6329408,21,14051.0
1773037246.605033,22,14783.0
1773037260.5423832,23,14999.0
1773037487.810223,24,19050.0
1773037729.2073956,25,19156.0
1773037730.6956155,26,19177.0
1773037733.0463443,27,19217.0
1773037750.6779728,28,19529.0
1773037827.6611283,29,20890.0
1773038113.5022094,30,21163.0
1773038139.390913,31,21613.0
1773038243.774349,32,23458.0
1773038348.5102124,33,25241.0
1773038650.1244314,34,25531.0
1773038651.1493204,35,25535.0
1773038868.1440573,36,29410.0
1773038895.934342,37,29759.0
1773038902.9913101,38,29868.0
1773038913.3796115,39,30048.0
1773039217.864366,40,31324.0
1773039275.4539309,41,32290.0
1773039384.587877,42,34192.0
1773039394.4771261,43,34278.0
1773039571.7346847,44,37432.0
1773039901.9098802,45,38777.0
1773039959.1590445,46,39734.0
1773040021.0884209,47,40802.0
1773040339.486218,48,41419.0
1773040451.3674438,49,43385.0
1773040456.574435,50,43386.0
1773040475.623635,51,43725.0
1773040476.6515815,52,43726.0
1773040494.8259916,53,44049.0
1773040551.4553013,54,45043.0
1773040810.151675,55,45046.0
1773040914.6222632,56,46908.0
1773040979.7280488,57,47981.0
1773040983.3110087,58,47996.0
1773040983.4654384,59,47997.0
1773041066.7221246,60,49480.0
1773041351.333247,61,54508.0
1773041687.9777389,62,55305.0
1773041976.0634222,63,55899.0
1773041981.4641771,64,55965.0
1773042002.1516109,65,56329.0
1773042049.271334,66,57149.0
1773042100.4884372,67,58020.0
1773042110.3257327,68,58152.0
1773042173.679422,69,59278.0
1773042197.517417,70,59648.0
1773042316.9083612,71,61759.0
1773042559.7885473,72,61935.0
1773042640.255468,73,63362.0
1773042871.1989098,74,67418.0
1773043121.7274792,2,91.0
1773043141.9675074,2,101.0
1773043169.912877,2,80.0
1773043246.2461486,3,1455.0
1773043260.865907,4,1662.0
1773043273.134835,5,1876.0
1773043274.250953,6,1887.0
1773043279.7752028,7,1986.0
1773043286.6136987,8,2105.0
1773043289.7378929,9,2155.0
1773043292.4929895,10,2202.0
1773043369.780048,11,3595.0
1773043381.6298382,12,3751.0
1773043436.4675248,13,4736.0
1773043440.779189,14,4775.0
1773043457.344504,15,5073.0
1773043609.8278046,16,5738.0
1773043620.8689885,17,5912.0
1773043629.676436,18,6064.0
1773043639.321307,19,6233.0
1773043663.9181135,20,6672.0
1773043687.1461415,21,7074.0
