wall_time,step,value
1773073094.3280807,1,37.0
1773073505.739346,2,45.0
1773073793.651928,3,52.0
1773074164.714505,4,61.0
1773074523.1140199,5,65.0
1773074821.5884304,6,81.0
1773075145.387789,7,91.0
1773075543.5630424,8,103.0
1773075950.231311,9,113.0
1773076362.8999434,10,121.0
1773076674.15661,11,124.0
1773077083.543891,12,135.0
1773077525.5399623,13,141.0
1773077929.1711853,14,151.0
1773078287.0274353,15,163.0
1773078685.945819,16,167.0
1773079092.4922464,17,175.0
1773079485.2481933,18,185.0
1773079920.4893186,19,191.0
1773080276.3126383,20,202.0
1773080710.259322,21,212.0
1773081117.3538218,22,225.0
1773081499.9723167,23,233.0
1773081821.3639095,24,241.0
1773082299.2194245,25,248.0
1773082647.681911,26,260.0
1773083028.9312246,27,263.0
1773083519.3058372,28,270.0
1773084059.0652688,29,278.0
1773084322.3129718,30,284.0
1773084806.817628,31,289.0
1773085187.1143358,32,294.0
1773085620.0482564,33,301.0
1773086161.939036,34,305.0
1773086712.9405587,35,306.0
1773087187.5766134,36,313.0
1773087690.6050303,37,318.0
1773088190.7312922,38,323.0
1773088894.5565364,39,329.0
1773089421.3987796,40,330.0
1773089588.4305272,41,332.0
1773090144.8199959,42,341.0
1773090567.1461558,43,346.0
1773091049.7398293,44,352.0
1773091474.5157795,45,359.0
1773092019.6412416,46,363.0
1773092514.795321,47,367.0
1773093044.9290662,48,375.0
1773093507.3479912,49,380.0
1773093968.706494,50,387.0
1773094446.8798227,51,393.0
1773095216.8191106,52,396.0
1773095476.8584833,53,398.0
1773095957.9070141,54,402.0
1773096365.944292,55,406.0
1773096798.5611892,56,413.0
1773097237.5592017,57,415.0
1773097694.4224753,58,416.0
1773098437.1747875,59,422.0
1773098613.7800844,60,636.0
1773099046.3144686,61,652.0
1773099490.282094,62,655.0
1773099884.0205977,63,659.0
1773100341.8799796,64,664.0
1773100693.645609,65,668.0
1773101131.7953472,66,673.0
1773101655.182976,67,677.0
1773102039.4358037,68,682.0
1773102409.3314383,69,691.0
1773102855.8414807,70,701.0
1773103211.7232041,71,706.0
1773103602.5241635,72,713.0
1773104102.5600963,73,720.0
1773104447.3528657,74,723.0
1773104759.2525008,75,733.0
1773105161.2910836,76,738.0
1773105591.8012624,77,746.0
1773106011.5396075,78,748.0
1773106447.0310962,79,754.0
1773106818.6903343,80,764.0
1773107198.549997,81,770.0
1773107602.0978303,82,776.0
1773107996.3722045,83,781.0
1773108617.408458,84,786.0
1773109218.3778217,85,787.0
1773109391.6675756,86,789.0
1773109781.526112,87,795.0
