row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,False,0,1,0,56,78.97937030345201,-3.0,-4.0,-2.8191724504468576,,,,,,7.001144393776528,2.2810497026516274,7.111689402262474e-14
,3,movebase,rule_based,False,0,1,0,54,88.26263546198606,-3.0,-4.0,-1.7024308975405988,,,,,,4.565738075554172,2.253776719130157,6.63454536720154e-14
,4,movebase,rule_based,False,0,1,0,89,88.14662607014179,-3.0,-4.0,1.1466293594672086,,,,,,11.029210572138757,4.2503284771949215,5.668252317976132e-14
,5,movebase,rule_based,False,0,1,0,72,90.69808022677898,-3.0,-4.0,-0.946047939178823,,,,,,5.924719280615525,2.2467011199555578,3.360801126848989e-14
,6,movebase,rule_based,False,0,1,0,57,92.65719720721245,-3.0,-4.0,0.5787124053815543,,,,,,9.392226677751417,3.7198621651327786,3.2042501319199577e-14
,7,movebase,rule_based,False,0,1,0,66,93.11056659370661,-3.0,-4.0,-0.6698556438885381,,,,,,7.1621421769933935,2.4474541799483935,4.598257579279533e-14
,8,movebase,rule_based,False,0,1,0,53,84.13006269931793,-3.0,-4.0,-2.3627732881080608,,,,,,5.4858811675874115,2.3118266065370183,5.0786113812493925e-14
,9,movebase,rule_based,False,0,1,0,78,72.63960406184196,-3.0,-4.0,1.5736574719636254,,,,,,9.082232995817703,4.377849459788698,4.8542109919592884e-14
,10,movebase,rule_based,False,0,1,0,97,64.18287611752748,-3.0,-4.0,-3.0191640385479173,,,,,,7.00597836086071,2.8100916048040565,5.397043908796854e-14
,11,movebase,rule_based,False,0,1,0,51,94.0488983169198,-3.0,-4.0,-1.0911329307120345,,,,,,6.038725047226379,2.223676848250396,4.516399691577124e-14
,12,movebase,rule_based,False,0,1,0,63,93.51162727177143,-3.0,-4.0,-0.7825277417422997,,,,,,6.35013471428665,2.279061605031143,6.60279818683044e-14
,13,movebase,rule_based,False,1,0,0,40,-105.55821390450001,-3.0,-4.0,-2.6016373691812307,,,,,,6.8201707892577605,2.1674364445694825,8.919077125783085e-14
,15,movebase,rule_based,False,1,0,0,33,-106.80444686859846,-3.0,-4.0,1.531000984343805,,,,,,13.687376031941591,4.281039312394185,3.5591103672165254e-14
,16,movebase,rule_based,False,0,1,0,72,81.79214607924223,-3.0,-4.0,0.6013794780921325,,,,,,8.717603016931704,3.7667109971968564,2.423250500436313e-14
summary,all,movebase,rule_based,False,,,,,,,,,,57.842644974057166,0.8571428571428571,0.14285714285714285,0.0,7.733091664338551,2.9583475173275198,5.1377355770955455e-14
