step,ego_x,ego_y,adv_x,adv_y
0,-4.294835246487896,-4.873534141952719,-2.7000169544395067,-1.500073194214984
1,-4.274808724038925,-4.890490979484166,-2.7000171502679744,-1.5000742532203082
2,-4.25691783725023,-4.907748419978021,-2.7000173206300424,-1.5000751747816607
3,-4.2368575949641585,-4.925519713611151,-2.7000174895654823,-1.5000760926509187
4,-4.217989242516408,-4.943334587738211,-2.7000176501365947,-1.5000769563861291
5,-4.214340885564009,-4.949020814139774,-2.700017788115703,-1.5000776809208738
6,-4.211324522090999,-4.9453617705086135,-2.700017916489629,-1.5000783497700698
7,-4.208793112138465,-4.940142934439268,-2.700018043613228,-1.5000790168580918
8,-4.207152376797587,-4.932132013325396,-2.700018169646301,-1.5000796823881897
9,-4.205223034524874,-4.920725468662628,-2.7000182947148157,-1.5000803465446186
10,-4.202304799036202,-4.907672935627463,-2.7000184189301315,-1.5000810094900559
11,-4.198274846235798,-4.895875054126311,-2.7000185423907554,-1.5000816713681322
12,-4.194903570103535,-4.876374602261982,-2.7000186551449112,-1.5000822815661548
13,-4.196134858599956,-4.874385198327501,-2.700018752219144,-1.5000828113845839
14,-4.196188501714794,-4.8742364773023805,-2.700018848778376,-1.5000833340982447
15,-4.196188650645687,-4.874228898411995,-2.700018944912995,-1.5000838556386307
16,-4.1963142596838425,-4.874099156420076,-2.70001913606356,-1.5000848956644734
17,-4.190490076152215,-4.852391081063995,-2.70001923115802,-1.5000854143528495
18,-4.172806291933628,-4.837553669515848,-2.7000193259773786,-1.5000859322766675
19,-4.164988299913953,-4.826906675736874,-2.700019420551203,-1.5000864495136856
20,-4.154595922941933,-4.813170761268194,-2.7000195149059043,-1.5000869661338516
21,-4.1419556272413285,-4.796065277064121,-2.7000196090650728,-1.50008748220009
22,-4.132842001030334,-4.779811991804296,-2.700019703049782,-1.500087997769008
23,-4.123583210231883,-4.761545486640029,-2.700019796878858,-1.5000885128915296
24,-4.11046765828577,-4.73741957120418,-2.700019890569116,-1.5000890276134662
