row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,False,0,1,0,70,75.73944530636072,-3.0,-4.0,-2.8191724504468576,,,,,,7.408618265552983,2.281214505982549,6.673127260370188e-14
,3,movebase,rule_based,False,0,1,0,60,87.1956717595458,-3.0,-4.0,-1.7024308975405988,,,,,,4.56216121919876,2.2426209797631262,4.9883426333208775e-14
,4,movebase,rule_based,False,0,1,0,103,86.94418434798717,-3.0,-4.0,1.1466293594672086,,,,,,10.25103943312035,4.237069575278185,5.3588720990653e-14
,5,movebase,rule_based,False,1,0,0,20,-104.1709033921361,-3.0,-4.0,-0.946047939178823,,,,,,6.637306491332208,1.7629385060846827,1.4062089130335721e-13
,7,movebase,rule_based,False,0,1,0,87,90.93292885273695,-3.0,-4.0,-0.6698556438885381,,,,,,6.569126177971242,2.4405264455304647,5.375720811509789e-14
,8,movebase,rule_based,False,0,1,0,53,84.5933387875557,-3.0,-4.0,-2.3627732881080608,,,,,,5.564408413994282,2.3090750189466704,3.3417921281290513e-14
,9,movebase,rule_based,False,0,1,0,96,65.54647246003151,-3.0,-4.0,1.5736574719636254,,,,,,9.2182827208036,4.3773115132401115,5.3912631645339484e-14
,10,movebase,rule_based,False,1,0,0,24,-102.30000003427267,-3.0,-4.0,-3.0191640385479173,,,,,,9.864390682279629,2.8129954142035745,7.163618769068272e-14
,11,movebase,rule_based,False,0,1,0,61,92.73034573346376,-3.0,-4.0,-1.0911329307120345,,,,,,6.232135430624674,2.243469696995462,4.995735292695319e-14
,12,movebase,rule_based,False,0,1,0,76,92.19923014938831,-3.0,-4.0,-0.7825277417422997,,,,,,6.185009121388897,2.2840015605890533,4.103436363132895e-14
,13,movebase,rule_based,False,0,1,0,101,71.18817111104727,-3.0,-4.0,-2.6016373691812307,,,,,,6.561797542115574,2.2680299005337523,4.124272629895839e-14
,14,movebase,rule_based,False,0,1,0,88,88.97249458730221,-3.0,-4.0,-0.990591679510149,,,,,,5.345012501999156,2.4093684793375525,3.6003748556691724e-14
,15,movebase,rule_based,False,1,0,0,44,-109.00795152783394,-3.0,-4.0,1.531000984343805,,,,,,13.930286372509231,4.331743852379977,5.0080989556631423e-14
,16,movebase,rule_based,False,0,1,0,91,77.44179435819387,-3.0,-4.0,0.6013794780921325,,,,,,9.04917457219014,3.7760431441542623,4.186582834359108e-14
summary,all,movebase,rule_based,False,,,,,,,,,,42.71465874995504,0.7857142857142857,0.21428571428571427,0.0,7.669910638934337,2.8411720423585303,5.598094780553473e-14
