step,ego_x,ego_y,adv_x,adv_y
0,-3.7316951169853083,-5.608727624170583,-2.7000051858251912,-1.5000219929226295
1,-3.73236665658697,-5.6094727074277815,-2.7000053613358506,-1.5000230824458183
2,-3.732333235550064,-5.609413055955954,-2.7000055396405522,-1.500024171931757
3,-3.73233536154799,-5.609420748853642,-2.700005718416693,-1.500025261636261
4,-3.732335258700007,-5.609420570779625,-2.7000058975806343,-1.5000263515319403
5,-3.732335283204189,-5.609420615448815,-2.700006256863189,-1.5000285317989697
6,-3.7180869054775245,-5.583416343725333,-2.700006436895549,-1.5000296221306326
7,-3.7038676718415626,-5.556950040478534,-2.7000066171410593,-1.5000307125730235
8,-3.6944491029841515,-5.539074334832155,-2.700006797570256,-1.5000318031132425
9,-3.684992054201165,-5.521598253560496,-2.7000068791697913,-1.5000327212361488
10,-3.6709760867832433,-5.495739755777812,-2.700006999860461,-1.5000335460088756
11,-3.6567970193531583,-5.469324985890927,-2.7000071222422286,-1.5000343694086098
12,-3.6474783064867804,-5.451742065124368,-2.700007244728638,-1.5000351918290398
13,-3.637850800540201,-5.434085083192362,-2.700007367294233,-1.5000360133691828
14,-3.6237308795861516,-5.407740594981456,-2.700007489926098,-1.5000368341167278
15,-3.60981548700984,-5.381819845899453,-2.7000076126133528,-1.5000376541508242
16,-3.600538157379036,-5.364187587399936,-2.7000077353468077,-1.5000384735429226
17,-3.5909630109381148,-5.34663255820168,-2.7000078581187057,-1.5000392923575192
18,-3.576905376038888,-5.3203698148650105,-2.700007977884904,-1.5000400107952667
19,-3.563342704281589,-5.29505429887406,-2.7000080761020944,-1.5000406528990837
20,-3.554123132753402,-5.277490802334485,-2.700008174109296,-1.5000412948060529
21,-3.55435898587066,-5.2771434866755325,-2.7000082720606216,-1.5000419364923125
22,-3.5543550851518044,-5.277141273390246,-2.7000083699628235,-1.5000425779759567
23,-3.554356661987526,-5.277144677574299,-2.700008467821536,-1.5000432192739988
24,-3.5543593141983547,-5.277149446681628,-2.700008573499886,-1.5000438152048854
25,-3.5543621946085615,-5.277154501982196,-2.7000086661721165,-1.5000444054967736
26,-3.5543651143410897,-5.277159602780267,-2.700008755267521,-1.5000449965629354
27,-3.554370943031656,-5.27716977455741,-2.70000885332308,-1.5000455756517763
28,-3.5411600890276818,-5.252531079823238,-2.70000903497167,-1.5000467559778201
29,-3.5274134063196856,-5.226586641148318,-2.700009132934751,-1.5000473346416667
30,-3.5183657226634453,-5.209048514613672,-2.700009225485646,-1.5000479240007638
31,-3.509157514060086,-5.191979028529437,-2.70000931453591,-1.5000485142207438
32,-3.495395007556295,-5.165358853347006,-2.700009412435607,-1.5000490925808496
33,-3.4818260012268505,-5.139904731785336,-2.7000095049666486,-1.5000496816598916
34,-3.472520395910001,-5.122597686724766,-2.7000095940038147,-1.5000502716299193
35,-3.462743499458456,-5.104393020133134,-2.7000096918605254,-1.5000508497757645
36,-3.4486130485263446,-5.077901127058362,-2.7000097843782975,-1.500051438658523
37,-3.4351780029685925,-5.052728651946003,-2.700009873406913,-1.500052028454402
38,-3.4257648117718964,-5.035223966992155,-2.700009971234971,-1.5000526064519775
39,-3.4160008553941585,-5.016858486894622,-2.7000100637444384,-1.5000531952000604
40,-3.401849810682376,-4.990200392903066,-2.7000101527680433,-1.5000537848775228
41,-3.3987757531934806,-4.989835646251062,-2.7000102505775354,-1.5000543627754759
42,-3.398878393550261,-4.990083594975133,-2.7000103430824285,-1.5000549514341812
43,-3.3988812244504243,-4.990086441331484,-2.700010432103756,-1.5000555410341938
44,-3.398882412989224,-4.99008889264071,-2.7000105299018053,-1.500056118868365
45,-3.3988937938694352,-4.9902280367472915,-2.7000106224049247,-1.5000567074709905
46,-3.398893792302728,-4.990230057920611,-2.700010711426072,-1.5000572970236583
47,-3.39892619713891,-4.990390559735328,-2.7000108092177126,-1.5000578748204476
48,-3.3989891658102467,-4.990836549273634,-2.7000109907437158,-1.5000590529189128
