step,ego_x,ego_y,adv_x,adv_y
0,-3.096696768151842,-5.808810019226886,-1.6070229347368512,-3.2592579873103307
1,-3.0923783692356808,-5.789085259670605,-1.6070179146837666,-3.259266541615775
2,-3.0881863218094407,-5.769115727968092,-1.6070158366502392,-3.2592662217127697
3,-3.0778044105239557,-5.7432282628799864,-1.6070138211736034,-3.2592659033679485
4,-3.066921950783813,-5.717484586271777,-1.6070118586576279,-3.2592655914088597
5,-3.057948617744739,-5.696822492181104,-1.6069790115741172,-3.259258279914351
6,-3.0517669237178113,-5.674619588980929,-1.6069760201189274,-3.2592578569364687
7,-3.043858709683562,-5.652792575045833,-1.6321272961916875,-3.263643199028306
8,-3.0356541039760256,-5.628872147967268,-1.6627395478361233,-3.26836855950842
9,-3.0250494994956836,-5.607211449034972,-1.6819487783669762,-3.2707049904467014
10,-3.0163944614613696,-5.582329508454525,-1.6991749577229343,-3.2740812951575387
11,-3.0093690217120757,-5.555163879294404,-1.7266507801134154,-3.278284216932312
12,-3.000082613818194,-5.534837291131393,-1.756907940308059,-3.281722608312853
13,-2.9856896063413094,-5.516716327855118,-1.7758441512280583,-3.28385334045489
14,-2.985411386826977,-5.516198258074412,-1.7884653801763788,-3.287437306671904
15,-2.9854262321847305,-5.516226191963522,-1.8000485239319317,-3.2900270827282023
16,-2.9854430713982447,-5.516238935465345,-1.8081522805198365,-3.292252690033838
17,-2.98545755537704,-5.516252291185755,-1.8090336001071914,-3.293836585252188
18,-2.985482414450836,-5.5162856693097515,-1.79617708460201,-3.302981012174554
19,-2.97190151274169,-5.498026651235852,-1.8002376633393946,-3.3080469797798875
20,-2.960241863941084,-5.48159041184262,-1.8140693125335658,-3.306139174412945
21,-2.946510489682506,-5.46730275606353,-1.8357726061011854,-3.3160974252236013
22,-2.9388691074976494,-5.452841420190474,-1.8503755500776962,-3.3201583756587234
23,-2.9304030838035735,-5.431176493104419,-1.8535052189843941,-3.3217228347076597
24,-2.919675603577497,-5.414835937210166,-1.8526427308638176,-3.3277212600141364
25,-2.9091319282625374,-5.405262454251537,-1.8543495929326639,-3.3310570804109116
26,-2.9001959727260465,-5.398776417494453,-1.8597477976756942,-3.3301560362817275
27,-2.892922227941034,-5.394923289318839,-1.862833024203891,-3.3276879131003256
28,-2.8890483762726755,-5.3935635616300335,-1.86695706517819,-3.3331971095867226
29,-2.8844381574714504,-5.391157829863135,-1.8739014416554838,-3.343128426596768
30,-2.881908542926225,-5.387824186462574,-1.891539253726468,-3.3518897250635873
31,-2.883867574919813,-5.387215424256532,-1.916407439371693,-3.361262975478284
32,-2.8830934521817864,-5.383399252650776,-1.9241590946385876,-3.369871996880376
33,-2.8817103693885504,-5.379782785338621,-1.9257595205417308,-3.380385703721338
34,-2.888513125944534,-5.37285620310403,-1.9353906444359932,-3.3985734424593743
35,-2.892762553947482,-5.371023843276667,-1.9464538324823832,-3.4176617373916764
