row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,0,1,0,82,69.28055990487337,-3.0,-4.0,-2.8191724504468576,,,,,,4.359817307213565,2.1047443920452493,0.00010865839569517238
,3,movebase,movebase,True,0,1,0,83,80.33051370084286,-3.0,-4.0,-1.7024308975405988,,,,,,6.159343837338207,2.6698185414608004,6.147682247670291e-06
,4,movebase,movebase,True,0,1,0,117,83.75926456600428,-3.0,-4.0,1.1466293594672086,,,,,,6.921290289984041,2.510140595463076,5.163443634818568e-10
,5,movebase,movebase,True,0,1,0,124,78.4092903137207,-3.0,-4.0,-0.946047939178823,,,,,,2.139376109387629,3.1235709702486023,8.338646028810616e-05
,6,movebase,movebase,True,1,0,0,198,-181.97935461997986,-3.0,-4.0,0.5787124053815543,,,,,,1.2910675673224603,3.4409003293024174,7.798715248443305e-05
,7,movebase,movebase,True,0,1,0,100,82.20282100886106,-3.0,-4.0,-0.6698556438885381,,,,,,2.0337090139136325,2.2531049781518067,9.685022084731192e-05
,8,movebase,movebase,True,0,1,0,131,61.96457979083061,-3.0,-4.0,-2.3627732881080608,,,,,,4.208234181982837,2.6046772072844124,7.204738351548393e-05
,9,movebase,movebase,True,1,0,0,157,-159.55840969085693,-3.0,-4.0,1.5736574719636254,,,,,,1.5984731320481582,2.8328140072289543,7.418105499936182e-05
,10,movebase,movebase,True,0,0,0,400,-90.97375235706568,-3.0,-4.0,-3.0191640385479173,,,,,,9.233443619444023,3.264056251869125,2.1332307953887734e-05
,11,movebase,movebase,True,0,1,0,83,90.55469408631325,-3.0,-4.0,-1.0911329307120345,,,,,,6.2138378474226394,2.456111467959921,1.7713177573848453e-05
,12,movebase,movebase,True,0,1,0,93,90.01405683159828,-3.0,-4.0,-0.7825277417422997,,,,,,4.515241642881766,2.228948625089079,3.1348893960009776e-05
,13,movebase,movebase,True,0,1,0,118,66.62173447012901,-3.0,-4.0,-2.6016373691812307,,,,,,5.287435049547587,2.4578206500200657,2.746746641073226e-11
,14,movebase,movebase,True,0,1,0,111,82.92678161710501,-3.0,-4.0,-0.990591679510149,,,,,,3.4699529474099964,2.608453654220533,9.961699686920471e-05
,15,movebase,movebase,True,1,0,0,90,-121.58742348104715,-3.0,-4.0,1.531000984343805,,,,,,1.3603340910969317,2.926467729966492,7.771673234345317e-05
,16,movebase,movebase,True,1,0,0,265,-217.96698263287544,-3.0,-4.0,0.6013794780921325,,,,,,1.7449098485415,1.9544289459921524,4.368222674487644e-05
summary,all,movebase,movebase,True,,,,,,,,,,0.9332249005635579,0.6666666666666666,0.26666666666666666,0.0,4.035764432368998,2.6290705564201793,5.404461528897665e-05
