step,ego_x,ego_y,adv_x,adv_y
0,-4.138974962706522,-2.8094454070693495,-4.309914433629265,-5.031829638152523
1,-4.120438620396346,-2.813767542919983,-4.291100908552139,-5.018311194199708
2,-4.097845242014716,-2.826844962104041,-4.2790091701709825,-5.005723279587304
3,-4.075601676713491,-2.833437744199502,-4.266774816286737,-4.990803109979412
4,-4.070343850510314,-2.8361510820043487,-4.256210635507162,-4.974227018023375
5,-4.068871271619994,-2.8364604605054513,-4.242139483015709,-4.9703783709206455
6,-4.067831589170506,-2.8365202998154198,-4.228485761343592,-4.968793277264244
7,-4.06684078059637,-2.8366001527639892,-4.217118818014803,-4.969098898440893
8,-4.0659083530456765,-2.836706578415989,-4.197636575117042,-4.969351294397124
9,-4.065006196045892,-2.8368380175545704,-4.179600653589622,-4.969071764331812
10,-4.06423220667997,-2.8369980898079223,-4.167797993611336,-4.967275738881226
11,-4.064047085513111,-2.837098296597609,-4.1666793882831135,-4.958642709271453
12,-4.0640593066938475,-2.8371055218759733,-4.142735558203193,-4.9480670677848275
13,-4.044544002251386,-2.8378700588661028,-4.1175561772782485,-4.942550516688394
14,-4.023690660966081,-2.851271672751002,-4.1056368862262955,-4.941322257454667
15,-4.002901996973443,-2.8613874596193583,-4.1025620147274875,-4.948580714114732
16,-3.983606630136027,-2.8682728369230497,-4.098354922911742,-4.956249906704836
17,-3.962564779287516,-2.8759025108493166,-4.0931929413263966,-4.961294536002258
18,-3.94036836765542,-2.886060130850865,-4.076105172057182,-4.95427501714114
19,-3.9202743884076834,-2.896591477190275,-4.055256164443056,-4.942198970255522
20,-3.9015778621422554,-2.9095495130062243,-4.053614654468748,-4.93494614897319
21,-3.8834726136017466,-2.930985738553001,-4.057200003842795,-4.927956187461473
22,-3.8624746639216148,-2.945882904731679,-4.055926963732092,-4.917869475041074
23,-3.842616085510251,-2.961641104299277,-4.0392891286189885,-4.89851843572064
24,-3.8246175852977897,-2.982298173562631,-4.025669553417957,-4.8785525369150236
25,-3.8236791861710766,-2.984024097966861,-4.017443222613741,-4.867434866008664
26,-3.8231173660713034,-2.9844533513610374,-4.013390229272527,-4.869277372922678
27,-3.8228226580910696,-2.984694397975862,-4.013997046164444,-4.868919554557662
28,-3.8227881225149893,-2.9847299500198323,-4.014074599263925,-4.868830482069371
29,-3.822785404594815,-2.984731573815552,-4.0141080120106905,-4.868850815372596
30,-3.8227830400346177,-2.984733138226827,-4.014193680807468,-4.8687841332965895
31,-3.822780871189714,-2.984734578141083,-4.014192304238957,-4.868784768349281
32,-3.822776866146319,-2.9847363269079086,-4.01419026391114,-4.868785834239214
33,-3.8022726318769036,-3.004242286913927,-4.014189235826985,-4.868786316771106
34,-3.7801098007569514,-3.021258614544255,-4.014188233654175,-4.868786843567822
35,-3.7583596431989332,-3.0400492293081722,-4.014187279253304,-4.868787430050496
36,-3.7360426977280965,-3.0573734510340964,-4.014278150658708,-4.868727947531992
37,-3.7145369308812093,-3.0746653389615504,-4.014266296198074,-4.868730950762256
38,-3.6930041033646326,-3.0939474431314307,-4.014238722535828,-4.868738452203391
39,-3.6712890679028876,-3.1119023136747685,-4.014308046365062,-4.868674597171767
40,-3.6503855817860957,-3.129587896375961,-4.014262568473397,-4.868689389443727
41,-3.6290530196484614,-3.1492753105878295,-4.014261461444318,-4.868690462687008
42,-3.60836229341089,-3.1694423375484524,-4.014260041605471,-4.868691153547703
43,-3.5893416664629476,-3.1891531498640866,-4.014258715845414,-4.868691836808431
44,-3.58899805161994,-3.1892900801156743,-4.014257486686844,-4.868692459497504
45,-3.588994961912766,-3.1892912670226115,-4.014256366693314,-4.868693073915259
46,-3.588992891950594,-3.189288147530356,-4.01425525795719,-4.868693612720496
47,-3.588993157792286,-3.189287984897098,-4.014254177259622,-4.868694134596378
48,-3.588993297575921,-3.1892878625374705,-4.014253120859481,-4.8686946427860045
49,-3.588993356084696,-3.1892878093047803,-4.014252084649377,-4.868695139504959
50,-3.588993319366487,-3.189287819341741,-4.014251084404144,-4.8686956260509495
51,-3.588993137131405,-3.189287966395665,-4.014249356192989,-4.868696562928775
52,-3.5672601922499583,-3.2089072853608247,-4.01424857840316,-4.868696958954266
