row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,2,movebase,rule_based,True,1,0,0,267,-133.4124505445361,-3.0,-4.0,3.0217842571604767,,,,,,1.56813789655368,2.1006790786844323,8.585196971562338e-05
,3,movebase,rule_based,True,1,0,0,41,-112.83248554170132,-3.0,-4.0,-1.7024308975405988,,,,,,0.7616892637880748,2.4701217549965486,0.0002665805553387194
,4,movebase,rule_based,True,1,0,0,132,-125.92764126509428,-3.0,-4.0,1.1466293594672086,,,,,,0.567507845760532,3.1896058028757337,8.354073309279337e-05
,5,movebase,rule_based,True,1,0,0,69,-111.73726397752762,-3.0,-4.0,-0.946047939178823,,,,,,1.471066196615898,3.167662333686254,0.00023040006342585402
,6,movebase,rule_based,True,0,1,0,95,85.84723833948374,-3.0,-4.0,0.5787124053815543,,,,,,4.85919633848118,2.7578998423434102,0.00021674578402929996
,7,movebase,rule_based,True,0,1,0,88,90.91250645369291,-3.0,-4.0,-0.6698556438885381,,,,,,2.9251727297851478,2.3101866381556606,1.8880257190360726e-05
,8,movebase,rule_based,True,0,1,0,75,76.85035607218742,-3.0,-4.0,-2.3627732881080608,,,,,,1.6084059725935436,2.078330304449316,0.0001948582661979553
,9,movebase,rule_based,True,0,1,0,107,60.4401750266552,-3.0,-4.0,1.5736574719636254,,,,,,2.4278254695143415,4.226451267276012,0.000253261346613861
,10,movebase,rule_based,True,0,1,0,138,49.77312133461237,-3.0,-4.0,-3.0191640385479173,,,,,,3.7918991527133024,3.5495894442292175,0.00013906276941900368
,11,movebase,rule_based,True,1,0,0,31,-105.15597575157881,-3.0,-4.0,-1.0911329307120345,,,,,,0.6511472456460229,1.9782178092165468,0.0001715654352649669
,12,movebase,rule_based,True,0,1,0,84,91.33821748197079,-3.0,-4.0,-0.7825277417422997,,,,,,4.398844689427937,2.0997619408185693,7.491638001929653e-05
,13,movebase,rule_based,True,1,0,0,32,-105.33191829919815,-3.0,-4.0,-2.6016373691812307,,,,,,2.3900978480216777,2.695494317041421,0.0003735546907230923
,14,movebase,rule_based,True,0,1,0,92,88.3305917903781,-3.0,-4.0,-0.990591679510149,,,,,,3.764624005047,2.3716127778768223,9.83191367730216e-06
,15,movebase,rule_based,True,1,0,0,86,-123.24030114710331,-3.0,-4.0,1.531000984343805,,,,,,0.997261244572031,2.644986616322114,0.00023432575528207334
,16,movebase,rule_based,True,0,1,0,95,78.84929336607456,-3.0,-4.0,0.6013794780921325,,,,,,3.106793696896421,2.3400250115844643,6.81922690248467e-05
summary,all,movebase,rule_based,True,,,,,,,,,,-13.019769110778968,0.5333333333333333,0.4666666666666667,0.0,2.352644639694453,2.6653749959704345,0.00016143787926766994
