step,ego_x,ego_y,adv_x,adv_y
0,-1.9611073849191298,-2.9731246950563768,-4.028075572198406,-3.190148581225179
1,-1.9832347388843172,-2.992934605400542,-4.037318230086635,-3.240614342740217
2,-2.005378004798354,-3.0127885457149874,-4.051614167030525,-3.2851343602074827
3,-2.0057073190246295,-3.013664403042898,-4.059277837699319,-3.335052549164103
4,-2.0057063974507634,-3.013660198668461,-4.063749358681643,-3.383432627248612
5,-2.005702912745764,-3.0136570895095263,-4.069509204703303,-3.4330491874236144
6,-2.0056995080396325,-3.0136540545740935,-4.064758502947845,-3.4835190301904824
7,-2.0056961762375853,-3.013651081775158,-4.064974963168972,-3.5338058227846822
8,-2.005692906323287,-3.01364816185879,-4.0563230590298645,-3.5841314104575406
9,-2.0056896883876765,-3.013645286907366,-4.048095905606214,-3.633141893968689
10,-2.005686515143303,-3.013642450414576,-4.034473548291869,-3.68126952698174
11,-2.0056833801096636,-3.013639646748086,-4.0236073138421125,-3.7274265162173252
12,-2.005680277715199,-3.0136368711139276,-4.014032519336099,-3.7751183022798838
13,-2.0056671180729246,-3.013620881266102,-3.996908663515768,-3.819854299811129
14,-2.0056642399935116,-3.013617735216077,-3.9780953452099737,-3.867113529944775
15,-2.0056576016763925,-3.013611809691014,-3.9287922677970304,-3.9574031679267008
16,-2.0269934984872533,-3.033338458535447,-3.900826394993637,-3.998948389373998
17,-2.0491246533800167,-3.0534944512742923,-3.8691313850687594,-4.039145240660164
18,-2.0711746561978712,-3.0737049522208304,-3.841522166906872,-4.078388235711721
19,-2.0933068156778147,-3.0937318425133653,-3.810743613728715,-4.1180870854429354
20,-2.1150343700836656,-3.1138369071840897,-3.7760650322615263,-4.151926786155238
21,-2.1357432146624764,-3.1342917505502466,-3.7411932948278017,-4.188333463639181
22,-2.156642067877175,-3.153725964266574,-3.6968762990721222,-4.213903104478518
23,-2.1782951394027084,-3.17426504853402,-3.656295342955937,-4.24455801679945
24,-2.198926597128489,-3.194125100322172,-3.6118757794382805,-4.270386237207998
25,-2.2203131228627044,-3.2146476096041643,-3.567869872255989,-4.2958015946403965
26,-2.242239954070761,-3.23531515955669,-3.522544819306268,-4.315792005724475
27,-2.2638340680242575,-3.255779292341856,-3.479480560117989,-4.336830013008167
28,-2.2853911526464277,-3.276185473474629,-3.4347265947708325,-4.357329741854509
29,-2.307091180873269,-3.296751842899186,-3.391641612677498,-4.376819730644273
30,-2.328655032834134,-3.317400894146721,-3.3423046984141527,-4.388769320167296
31,-2.349815435612492,-3.33755816250845,-3.291994362999429,-4.39419109607061
32,-2.371397029463569,-3.3581525931651224,-3.2410854708004635,-4.400126769068631
33,-2.3732603783864508,-3.359846005647433,-3.191436950686012,-4.40182191756436
34,-2.3738757515375326,-3.3602007421691096,-3.142052250815252,-4.403265725164047
35,-2.374265287950465,-3.3604310288010724,-3.0929291433668693,-4.400703539014373
36,-2.374268128296991,-3.3604333245393745,-3.0432421164185532,-4.397319346986658
37,-2.374336815670227,-3.3604435181748795,-2.9961546288571146,-4.393984415574441
38,-2.3750305462956027,-3.360825979940803,-2.946478262587935,-4.388292139804585
39,-2.3758105752652825,-3.361135511836808,-2.9004937948976393,-4.377225066330542
40,-2.3767672337451753,-3.3615630360011,-2.851027375889134,-4.365646657426068
41,-2.378626777970429,-3.362357130719521,-2.7585697363958994,-4.325757345254244
42,-2.398979474811684,-3.383192875312656,-2.7150355569600073,-4.302475913458943
43,-2.4201782829222362,-3.403905583186512,-2.672065405108608,-4.278686185505481
44,-2.4417062821044193,-3.4244969400060907,-2.6297096514547427,-4.252728914948844
45,-2.4631512724972846,-3.4457838523695945,-2.6295627557276497,-4.241435505847052
46,-2.4844912132820567,-3.466818048747716,-2.6293533855836086,-4.241130454674622
47,-2.505733582556174,-3.487379650604418,-2.629328784060733,-4.241107734672548
48,-2.5270777645608122,-3.5085926253524313,-2.629299394296258,-4.240952898160736
49,-2.5481578694858165,-3.5299084565356043,-2.629295697188263,-4.240950254465685
50,-2.5690839061947117,-3.5503596498767576,-2.6292454237032508,-4.240793732472825
51,-2.5906461010715836,-3.571566518741808,-2.629222378920588,-4.240698328557941
52,-2.611423227778664,-3.59238900867189,-2.629145110484496,-4.240589094628567
53,-2.6324919024122875,-3.6131096924353057,-2.628745992043687,-4.24025165009426
54,-2.6539207223969306,-3.6343056823463447,-2.6282751539629596,-4.239791367962005
55,-2.674599822574383,-3.6557320160318834,-2.6282301158586523,-4.239710360348866
