row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,68,77.57007534056902,-3.0,-4.0,-2.8191724504468576,,,,,,2.3384089947159072,2.167960483367765,7.197989456278986e-05
,3,movebase,diffusion,True,0,1,0,50,88.00481308996677,-3.0,-4.0,-1.7024308975405988,,,,,,4.919776675581995,2.689222623685983,0.00010509478136068327
,4,movebase,diffusion,True,0,1,0,71,86.41120810061693,-3.0,-4.0,1.1466293594672086,,,,,,0.7457741761520427,2.4816621808162735,0.00011363378709145762
,5,movebase,diffusion,True,1,0,0,20,-103.961734816432,-3.0,-4.0,-0.946047939178823,,,,,,7.033405449290202,3.1128109582868593,0.00023382649640311265
,7,movebase,diffusion,True,0,1,0,68,92.43102181702852,-3.0,-4.0,-0.6698556438885381,,,,,,2.3238481162056286,2.288121581518693,0.0001303212456731791
,8,movebase,diffusion,True,0,1,0,48,86.08428453654051,-3.0,-4.0,-2.3627732881080608,,,,,,4.064596343597824,2.616219256015166,9.487144111989228e-05
,9,movebase,diffusion,True,1,0,0,64,-121.79421371221542,-3.0,-4.0,1.5736574719636254,,,,,,2.151974183030738,2.8240791200095385,8.465963201580081e-05
,10,movebase,diffusion,True,1,0,0,74,-124.73381997644901,-3.0,-4.0,-3.0191640385479173,,,,,,1.69688160898253,3.2910776099201984,0.00010883398582933751
,11,movebase,diffusion,True,0,1,0,46,94.60071600228548,-3.0,-4.0,-1.0911329307120345,,,,,,6.514334062565362,2.4656048071071837,9.612864592011958e-05
,12,movebase,diffusion,True,0,1,0,63,93.23669318854809,-3.0,-4.0,-0.7825277417422997,,,,,,3.141493076531184,2.23665984240711,9.472760039977172e-05
,13,movebase,diffusion,True,1,0,0,37,-105.2754553258419,-3.0,-4.0,-2.6016373691812307,,,,,,3.437856884293115,2.452241452399967,9.594762775351717e-05
,14,movebase,diffusion,True,1,0,0,52,-109.94108016043901,-3.0,-4.0,-0.990591679510149,,,,,,1.0654889753204624,2.5513100562065247,9.208399565947673e-05
,15,movebase,diffusion,True,1,0,0,75,-119.42570257931948,-3.0,-4.0,1.531000984343805,,,,,,1.6957919500175291,2.9398788649788616,9.690006963143226e-05
,16,movebase,diffusion,True,0,1,0,67,83.11740712076426,-3.0,-4.0,0.6013794780921325,,,,,,2.2576768817155743,1.9602049310539318,7.18624842930556e-05
summary,all,movebase,diffusion,True,,,,,,,,,,1.1660151875444822,0.5714285714285714,0.42857142857142855,0.0,3.0990933841428645,2.576932411983861,0.00010649083483668758
