step,ego_x,ego_y,adv_x,adv_y
0,-1.5350751574860209,-3.1128689195040398,-3.938371337977821,-2.6253695762201494
1,-1.5400169546815257,-3.1161164683621663,-3.936745715371982,-2.628641996634511
2,-1.5587975312904496,-3.128525921204765,-3.9343370901920536,-2.632416441557949
3,-1.5785521078501392,-3.1474915535519035,-3.9291893961466795,-2.63597823024716
4,-1.5957374382476184,-3.165537036511747,-3.920900454576399,-2.640217389988861
5,-1.6095241651629073,-3.178743494713555,-3.9107355635310004,-2.645342809393805
6,-1.624702734692019,-3.1956305780126657,-3.8817339288274115,-2.64995483105527
7,-1.64592642334599,-3.2123152195007276,-3.853175243061623,-2.654935350819733
8,-1.6635382578951134,-3.2309202611422454,-3.8241398250898717,-2.660145075706082
9,-1.6779705958952207,-3.2494142602726597,-3.7943225073347135,-2.663437321498211
10,-1.6974548221638752,-3.2675318086575715,-3.7681486953410666,-2.671347494431511
11,-1.7008118211758039,-3.2679867441953587,-3.7438487920843904,-2.6800418433124977
12,-1.7008129364138598,-3.267987225813153,-3.721338991260269,-2.686096724948995
13,-1.7008123814571263,-3.2679861060509396,-3.6972373721705183,-2.6943004690631422
14,-1.7008113456173526,-3.2679836585128,-3.650085443390617,-2.7097979805158743
15,-1.7122513357905103,-3.2826952093508077,-3.624219427975976,-2.718957019951386
16,-1.7311014104061284,-3.299637579740636,-3.597243087640991,-2.729372035411718
17,-1.7467690915590037,-3.319369280073694,-3.572429751263407,-2.740116251933774
18,-1.751627556412786,-3.3345978130411775,-3.5485902406226684,-2.7537757754457495
19,-1.7595933185362362,-3.351981402639436,-3.52316599777904,-2.766587201784604
20,-1.7656570289346485,-3.368616395645609,-3.4974639125874023,-2.779181850879602
21,-1.7747328426304572,-3.3794642963682087,-3.4735791126251447,-2.793106113074028
22,-1.7913768207748195,-3.390033952495824,-3.4505229846920904,-2.8111061389328373
23,-1.8123442836207644,-3.4009331176071953,-3.4254708801350113,-2.825370060847179
24,-1.8275972435981684,-3.4125309763783083,-3.401187671777577,-2.8397206215043984
25,-1.832052657279756,-3.4203041301848063,-3.377080348462422,-2.8551792178349698
26,-1.8395464048204693,-3.4227996052492524,-3.3510866818627325,-2.8698575366724377
27,-1.8610460547878582,-3.4324566082232604,-3.3251368136844786,-2.884690938148125
28,-1.87962050996299,-3.4408081911686685,-3.2993494284398137,-2.8995089891949557
29,-1.8902180037304581,-3.4361709545078494,-3.2735859977566646,-2.914233276929057
30,-1.8965436969236968,-3.4288708336167297,-3.24789019149201,-2.928912504074893
31,-1.896129072291713,-3.429046271172279,-3.222045240029287,-2.9438157935064093
32,-1.8961095137602553,-3.4290866202274644,-3.1963393696895683,-2.958563857793044
33,-1.8961101216008847,-3.429085654808768,-3.144833089325287,-2.988207853590421
34,-1.9007267118874804,-3.4239464084188165,-3.1191014645687862,-3.0029490158223284
35,-1.9039191814498089,-3.4190053337442636,-3.093469364914427,-3.017527256321484
36,-1.905842666653355,-3.416463753702703,-3.0680644705403965,-3.0326711849451207
