episode,rule_adv_x,rule_adv_y,rule_ego_x,rule_ego_y,planner_adv_x,planner_adv_y,planner_ego_x,planner_ego_y,unconditional_adv_x,unconditional_adv_y,unconditional_ego_x,unconditional_ego_y,ours_adv_x,ours_adv_y,ours_ego_x,ours_ego_y
1,-3.715292367650572,-5.583977543757014,-1.83636657769455,-3.6112561928386464,-3.715292367650572,-5.583977543757014,-1.83636657769455,-3.6112561928386464,-3.715292367650572,-5.583977543757014,-1.83636657769455,-3.6112561928386464,-3.715292367650572,-5.583977543757014,-1.83636657769455,-3.6112561928386464
2,-3.1854101819015277,-5.349107633596694,-1.9826665653665239,-2.8547801785823554,-3.1854101819015277,-5.349107633596694,-1.9826665653665239,-2.8547801785823554,-3.1854101819015277,-5.349107633596694,-1.9826665653665239,-2.8547801785823554,-3.1854101819015277,-5.349107633596694,-1.9826665653665239,-2.8547801785823554
3,-3.66542106767404,-4.96709426198201,-3.298207726714045,-2.259363953083213,-3.66542106767404,-4.96709426198201,-3.298207726714045,-2.259363953083213,-3.66542106767404,-4.96709426198201,-3.298207726714045,-2.259363953083213,-3.66542106767404,-4.96709426198201,-3.298207726714045,-2.259363953083213
4,-3.1609689103859244,-5.4868035165812765,-1.3112201015199554,-3.8749520094793755,-3.1609689103859244,-5.4868035165812765,-1.3112201015199554,-3.8749520094793755,,,,,-3.1609689103859244,-5.4868035165812765,-1.3112201015199554,-3.8749520094793755
5,-3.4269848804942264,-5.168071043636911,-3.5171483705798865,-3.0058339324610697,-3.4269848804942264,-5.168071043636911,-3.5171483705798865,-3.0058339324610697,-3.4269848804942264,-5.168071043636911,-3.5171483705798865,-3.0058339324610697,-3.4269848804942264,-5.168071043636911,-3.5171483705798865,-3.0058339324610697
6,-1.0264125873574397,-4.286609506281296,-3.814120040248529,-5.284630300836538,-1.0264125873574397,-4.286609506281296,-3.814120040248529,-5.284630300836538,-1.0264125873574397,-4.286609506281296,-3.814120040248529,-5.284630300836538,-1.0264125873574397,-4.286609506281296,-3.814120040248529,-5.284630300836538
7,-2.529746019557316,-2.7679261056130455,-3.6630046317482323,-4.950585248694956,-2.529746019557316,-2.7679261056130455,-3.6630046317482323,-4.950585248694956,-2.529746019557316,-2.7679261056130455,-3.6630046317482323,-4.950585248694956,-2.529746019557316,-2.7679261056130455,-3.6630046317482323,-4.950585248694956
8,-1.5309785990642562,-3.0260642118329377,-4.048536084968002,-2.385469981360731,-1.5309785990642562,-3.0260642118329377,-4.048536084968002,-2.385469981360731,-1.5309785990642562,-3.0260642118329377,-4.048536084968002,-2.385469981360731,-1.5309785990642562,-3.0260642118329377,-4.048536084968002,-2.385469981360731
9,-3.0950446743075246,-5.549130796439882,-3.1035822230765717,-2.7115693902676448,-3.0950446743075246,-5.549130796439882,-3.1035822230765717,-2.7115693902676448,-3.0950446743075246,-5.549130796439882,-3.1035822230765717,-2.7115693902676448,-3.0950446743075246,-5.549130796439882,-3.1035822230765717,-2.7115693902676448
10,-4.140823600013951,-2.8318868570109395,-1.805845565594328,-3.496719605580706,-4.140823600013951,-2.8318868570109395,-1.805845565594328,-3.496719605580706,-4.140823600013951,-2.8318868570109395,-1.805845565594328,-3.496719605580706,-4.140823600013951,-2.8318868570109395,-1.805845565594328,-3.496719605580706
11,-1.2507663103717863,-3.190208358926447,-4.289200796723541,-4.856465634152487,-1.2507663103717863,-3.190208358926447,-4.289200796723541,-4.856465634152487,-1.2507663103717863,-3.190208358926447,-4.289200796723541,-4.856465634152487,-1.2507663103717863,-3.190208358926447,-4.289200796723541,-4.856465634152487
12,-3.6763002263778155,-2.323916318447811,-2.947997996373089,-5.415840478249346,-3.6763002263778155,-2.323916318447811,-2.947997996373089,-5.415840478249346,-3.6763002263778155,-2.323916318447811,-2.947997996373089,-5.415840478249346,-3.6763002263778155,-2.323916318447811,-2.947997996373089,-5.415840478249346
