row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,True,0,1,0,86,72.17605478316545,-3.0,-4.0,-2.8191724504468576,,,,,,4.926835731754867,3.060932191941474,0.00013772424900120207
,2,movebase,rule_based,True,1,0,0,20,-107.2414610683918,-3.0,-4.0,-2.29712652554928,,,,,,5.671113372430187,3.0234681048872134,0.000335290787790614
,3,movebase,rule_based,True,0,1,0,105,88.86518950015306,-3.0,-4.0,-1.401122433133999,,,,,,5.213793775344577,2.7340032564347916,5.643907628155355e-05
,4,movebase,rule_based,True,1,0,0,21,-104.28603665530682,-3.0,-4.0,-3.067681186954557,,,,,,2.9894406177409927,2.477065891121925,0.00038606619269471946
,5,movebase,rule_based,True,0,1,0,195,75.58622994273901,-3.0,-4.0,-1.0911329307120345,,,,,,1.0820548284308409,2.2164047909044946,0.00013902741561359723
,6,movebase,rule_based,True,0,1,0,99,85.45315388590097,-3.0,-4.0,1.0059376107016442,,,,,,4.847648217617362,4.222764485161377,0.00029505831837571073
,7,movebase,rule_based,True,0,1,0,50,94.06542978435755,-3.0,-4.0,0.9617704115943849,,,,,,3.1227882479801936,2.4418615904805696,0.00027034785645697255
,8,movebase,rule_based,True,0,1,0,92,89.72706292569637,-3.0,-4.0,-0.9948167490837199,,,,,,5.436394242584553,2.589209022087711,1.338546550006291e-05
,9,movebase,rule_based,True,0,1,0,54,87.3664729744196,-3.0,-4.0,-1.4905747566439755,,,,,,0.8159187567019457,2.7666623346683794,0.00013696313104437867
,10,movebase,rule_based,True,1,0,0,218,-146.92004378139973,-3.0,-4.0,-2.74272987634964,,,,,,4.916966435407865,7.239206158777558,0.0002011466238264955
,12,movebase,rule_based,True,0,1,0,96,69.53857564926147,-3.0,-4.0,1.6075085410521592,,,,,,3.861649322836116,3.1913991274741575,5.6595758773215154e-05
summary,all,movebase,rule_based,True,,,,,,,,,,27.666420721872285,0.7272727272727273,0.2727272727272727,0.0,3.898600322620864,3.269361541267241,0.00018436771594168382
