step,ego_x,ego_y,adv_x,adv_y
0,-3.55631493346748,-3.0093076128865204,-3.4052064940203444,-5.161174774304002
1,-3.548873450761877,-3.0129709145887875,-3.366784797993569,-5.130403131272592
2,-3.548577365252967,-3.0128706534484566,-3.3292015503825083,-5.097444828639798
3,-3.548576561599165,-3.012867340626644,-3.2921193124547363,-5.064200362444157
4,-3.5485776342079385,-3.0128684636337906,-3.2578847155346233,-5.028844948516455
5,-3.548578626807969,-3.012869337247607,-3.2240943167897083,-4.992130741539561
6,-3.5485794829216855,-3.0128701051839806,-3.1912979792247795,-4.958356601084698
7,-3.548580220823791,-3.012870776548019,-3.158601473046611,-4.920832696738011
8,-3.5485808942719075,-3.0128713661482096,-3.133937565183,-4.879823101804565
9,-3.5485815038575823,-3.012871896369059,-3.105204988896336,-4.8380291643616244
10,-3.5485825690266104,-3.0128728137794956,-3.067157496908779,-4.7443171578102135
11,-3.547010776619959,-3.0227779264087125,-3.0513696648867716,-4.697275676739433
12,-3.54499008680876,-3.027855667979233,-3.035535316952855,-4.65012377030782
13,-3.540627833417178,-3.0288389296790523,-3.021980927746104,-4.602757151946421
14,-3.542804273574598,-3.033414655473106,-3.0084011742269254,-4.556942727640832
15,-3.5438105045367227,-3.038373793182998,-2.999849261394291,-4.50873059540417
16,-3.542550049226979,-3.0422837147959454,-2.999343483115907,-4.458090564351765
17,-3.5375972545110677,-3.0457208948961862,-3.0008761957888628,-4.407854492194929
18,-3.530218691290014,-3.049519195085344,-3.002802741894264,-4.358726378856301
19,-3.5209125812587736,-3.055604467256752,-3.006168999757579,-4.309850848810541
20,-3.5094238886744282,-3.0779235268230085,-3.014837017159212,-4.260236488225743
21,-3.4973728836370745,-3.0858959281622598,-3.023683988780181,-4.211592610047754
22,-3.4788037511970735,-3.09393341283028,-3.0329104203213038,-4.164489992487824
23,-3.476921211591006,-3.0944552564403973,-3.0443415396985163,-4.11641051242727
24,-3.476919393116994,-3.094457977259887,-3.053595606849316,-4.072148292606022
25,-3.47691576455686,-3.0944592191017186,-3.068870783649572,-4.024482123614165
26,-3.476912326993118,-3.0944603818306335,-3.0918704215324,-3.9814282582060017
27,-3.4769090537532983,-3.0944614846556964,-3.1123860850918272,-3.9356260851234817
28,-3.4769059198065,-3.094462536710913,-3.138081769339092,-3.894314998732851
29,-3.476902903917301,-3.0944635457264944,-3.163953525018533,-3.8515606760333037
30,-3.4768999880764007,-3.0944645182594086,-3.1946370915777202,-3.8127530238384546
31,-3.476894397772028,-3.0944663752784787,-3.2543480733517725,-3.737269912494862
32,-3.456816034245106,-3.1098971247195553,-3.2841329363671767,-3.7010711467831348
33,-3.4385278505475845,-3.1237965708309314,-3.324896753695042,-3.671309733088421
34,-3.42326706794063,-3.138691452477213,-3.3650195365740565,-3.641801498043094
35,-3.405155226358034,-3.1512362957501496,-3.4037186984943344,-3.6122783356453407
36,-3.39214218062281,-3.1718040318063343,-3.448114125982434,-3.58797260712289
37,-3.3755044473821485,-3.186405109723508,-3.4910558796005016,-3.5642096246447994
38,-3.354754746492104,-3.2032286403861727,-3.5359346321311502,-3.5437344933539845
39,-3.338477341530436,-3.2168535345351557,-3.5804412196017585,-3.5216680061936563
40,-3.3244674231530746,-3.233563344408986,-3.6242291814886003,-3.4984971382075614
41,-3.3077479698279566,-3.251299272890378,-3.666829269099828,-3.473879735121476
42,-3.291341618800054,-3.271359080428779,-3.7100924713635863,-3.4475088545999903
43,-3.278800851456307,-3.2939796605097307,-3.750461450257338,-3.4199290128317377
44,-3.2676964384230796,-3.316843833480225,-3.789044871486707,-3.388454387197702
