row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,False,0,1,0,58,80.69005938619375,-3.0,-4.0,-2.8191724504468576,,,,,,6.8584787331954065,2.2846671071549793,4.523217503659693e-14
,3,movebase,rule_based,False,0,1,0,62,93.16120613366365,-3.0,-4.0,-1.401122433133999,,,,,,3.245756204886636,2.2678144322534592,4.568821634355111e-14
,5,movebase,rule_based,False,0,1,0,48,94.52066732943058,-3.0,-4.0,-1.0911329307120345,,,,,,6.371524190988805,2.238098195406146,1.5378895392512003e-14
,6,movebase,rule_based,False,0,1,0,54,91.78063623607159,-3.0,-4.0,1.0059376107016442,,,,,,9.184969856353693,3.9247241470803855,4.126100739624333e-14
,7,movebase,rule_based,False,0,1,0,33,96.15658628195524,-3.0,-4.0,0.9617704115943849,,,,,,9.24983173414859,3.5472042836278947,1.0390026727425937e-13
,8,movebase,rule_based,False,0,1,0,58,93.86929977685213,-3.0,-4.0,-0.9948167490837199,,,,,,5.332986004002619,2.280063106674817,3.007683316416031e-14
,9,movebase,rule_based,False,0,1,0,39,93.4548159390688,-3.0,-4.0,-1.4905747566439755,,,,,,4.647483129083924,2.2449868527130894,5.791095423009984e-14
,10,movebase,rule_based,False,1,0,0,13,-101.2000000178814,-3.0,-4.0,-2.74272987634964,,,,,,8.988893182265734,2.172649496509319,7.374292320453797e-15
,11,movebase,rule_based,False,0,1,0,57,90.05774272978306,-3.0,-4.0,0.5863890153630629,,,,,,9.308142426194307,3.7069695123592883,5.989056142371362e-14
,12,movebase,rule_based,False,1,0,0,21,-105.39558857679367,-3.0,-4.0,1.6075085410521592,,,,,,13.745190874639691,3.9487774380317884,1.346077814922458e-13
summary,all,movebase,rule_based,False,,,,,,,,,,52.70954252183437,0.8,0.2,0.0,7.693325633575941,2.8615954571811164,5.413209840738361e-14
