step,ego_x,ego_y,adv_x,adv_y
0,-1.7944209966314397,-3.4367777398239876,-2.7000084796828165,-1.5000401211896428
1,-1.8118052949707337,-3.446478154815767,-2.7000086594784927,-1.5000412210059642
2,-1.816047237936744,-3.457699549512271,-2.7000088399249904,-1.5000423203598476
3,-1.818867287062855,-3.464141779649311,-2.700009020672203,-1.5000434193413568
4,-1.8229965618286663,-3.473482307503564,-2.7000092016743986,-1.5000445179964097
5,-1.8259631598691906,-3.4822407953756898,-2.7000093828948137,-1.5000456163655473
6,-1.828209684805745,-3.4882712343950053,-2.7000095643020305,-1.5000467144848328
7,-1.8286628105257925,-3.490318605302009,-2.700009745869195,-1.5000478123863359
8,-1.82989636146847,-3.489041946691799,-2.7000099275733564,-1.500048910098568
9,-1.8322926900575152,-3.4872199034830187,-2.7000101047214233,-1.500050003088192
10,-1.833457043760551,-3.4852209601945554,-2.7000101707762867,-1.50005084029819
11,-1.8372268742327453,-3.484086636292009,-2.7000102937076376,-1.5000516690632033
12,-1.8479287956602912,-3.4858507067045363,-2.700010417003156,-1.500052496619965
