row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,90,68.15482260286808,-3.0,-4.0,-2.8191724504468576,,,,,,2.930617433324328,2.724371383728936,0.00010998065926331991
,2,movebase,diffusion,True,1,0,0,79,-123.07490594685078,-3.0,-4.0,-2.29712652554928,,,,,,0.7172331505967101,2.81010055046422,9.374989900528204e-05
,3,movebase,diffusion,True,1,0,0,74,-111.3696476444602,-3.0,-4.0,-1.401122433133999,,,,,,0.5404942673729932,2.72511204006769,0.00010185726444170285
,4,movebase,diffusion,True,1,0,0,14,-103.69183824211359,-3.0,-4.0,-3.067681186954557,,,,,,4.128648454639882,2.4587496469944927,0.00035863898580568566
,5,movebase,diffusion,True,1,0,0,64,-110.69094531983137,-3.0,-4.0,-1.0911329307120345,,,,,,0.6237463591849106,2.1546339095106584,0.00012615682289692396
,6,movebase,diffusion,True,0,0,0,400,-70.05057875812054,-3.0,-4.0,1.0059376107016442,,,,,,6.106244939290362,2.982389236078097,3.133036468779046e-05
,7,movebase,diffusion,True,0,1,0,55,92.42015183717012,-3.0,-4.0,0.9617704115943849,,,,,,1.3763463042157973,2.425142652831955,0.00010728095770627224
,8,movebase,diffusion,True,0,1,0,94,86.4926889538765,-3.0,-4.0,-0.9948167490837199,,,,,,1.530639634945368,2.5645222036675586,0.00010580272145266856
,9,movebase,diffusion,True,1,0,0,89,-123.49967670440674,-3.0,-4.0,-1.4905747566439755,,,,,,0.7348779808440409,2.800179318155581,0.00012838173133666408
,10,movebase,diffusion,True,1,0,0,66,-119.99768847227097,-3.0,-4.0,-2.74272987634964,,,,,,0.8722601356218148,2.4367847165594267,0.00010740366044050587
,11,movebase,diffusion,True,1,0,0,103,-124.4282833635807,-3.0,-4.0,0.5863890153630629,,,,,,0.17688919919812232,3.4722644421532873,8.204730582423046e-05
,12,movebase,diffusion,True,1,0,0,119,-138.00131210684776,-3.0,-4.0,1.6075085410521592,,,,,,1.038853837937103,3.1843676341103273,0.00011128984666335906
summary,all,movebase,diffusion,True,,,,,,,,,,-64.81143443038066,0.25,0.6666666666666666,0.0,1.7314043080976191,2.7282181445268527,0.00012199335162703379
