step,ego_x,ego_y,adv_x,adv_y
0,-3.078121903342059,-2.7441814202753867,-3.107484341705351,-5.544206788203259
1,-3.0766923608642767,-2.745504783171291,-3.1075633616695817,-5.5441554637871535
2,-3.076693980796494,-2.7455051613270873,-3.1236477589359253,-5.525338686633983
3,-3.0766931325987428,-2.7455059915500284,-3.1354738412587477,-5.511298562824671
4,-3.0766923009887663,-2.7455068045703683,-3.1459591606359636,-5.498110506552223
5,-3.076691428576542,-2.7455076195079893,-3.1496459346720624,-5.474711369404407
6,-3.0766905240488125,-2.7455085759121802,-3.1576413487183475,-5.455141467322746
7,-3.076689588616357,-2.7455095643665532,-3.1696687572624147,-5.43386980124604
8,-3.0766877356591253,-2.745511392055379,-3.192357482206765,-5.3898865562878475
9,-3.0766868321732423,-2.7455124003716143,-3.20212919528497,-5.36898009636858
10,-3.076685913650108,-2.7455133123887294,-3.2082053776377957,-5.346763693942368
11,-3.07668498331256,-2.7455143667217743,-3.205846415723293,-5.319470869347551
12,-3.076684041312635,-2.7455153179130134,-3.2128870737037007,-5.293663575615678
13,-3.0766830909018963,-2.745516402774452,-3.2186786610436777,-5.270836107262154
14,-3.0765484022441836,-2.7456193106772067,-3.2148261002664795,-5.243672962491813
15,-3.076077705844285,-2.746074170684028,-3.21959965122837,-5.218422095991737
16,-3.07549899680979,-2.7466754418904626,-3.2250773169421985,-5.188940769697537
17,-3.075169551627175,-2.747044579646947,-3.224911215946976,-5.1602740331214205
18,-3.075136396789303,-2.7470654393272347,-3.2288263181857175,-5.1330639538284775
19,-3.0751365634768204,-2.7470656313710884,-3.2324936255221237,-5.104064446938972
20,-3.0751356287607012,-2.747066504400634,-3.2348388704205697,-5.0742291133630815
21,-3.075134703650655,-2.7470674716555346,-3.237390900505185,-5.046263354494088
22,-3.075133787644932,-2.747068331753702,-3.2409952774413804,-5.016910434427093
23,-3.0751328911206217,-2.7470693212207893,-3.244513724224389,-4.986354523184584
24,-3.0751319772290175,-2.7470702312413993,-3.2476966891956884,-4.958046251522233
25,-3.075131050643347,-2.7470712717060004,-3.251042073167781,-4.92888948885636
26,-3.0751301094375725,-2.747072224301063,-3.253771165676499,-4.899078412436831
27,-3.0746897038608525,-2.7474884476377164,-3.259621037622627,-4.841129818313319
28,-3.074103218908037,-2.7481127778040415,-3.2612422100544833,-4.812043988442034
29,-3.0739501935829012,-2.7482935429544684,-3.263218010707018,-4.782710778694433
30,-3.073915876930508,-2.7483084153573385,-3.265289129402021,-4.754099617900516
31,-3.0733782043151034,-2.7488089109909466,-3.2665447282148805,-4.725494602717973
32,-3.0728570350784485,-2.7493676491717474,-3.2680012476580806,-4.695896387610079
33,-3.072810637859707,-2.749408548775407,-3.2700114945193697,-4.666159965068954
34,-3.0727828332207663,-2.7494280928393335,-3.272058229120122,-4.63665092967008
35,-3.072785318084276,-2.749429314105564,-3.2742386879694587,-4.606804731360767
36,-3.0727844308244254,-2.7494301914098815,-3.276231540072865,-4.577058283744917
37,-3.072783541056262,-2.74943108004773,-3.277965938067375,-4.547825027442053
38,-3.0727826324218683,-2.7494320650625275,-3.2801406242362887,-4.5182277191323585
39,-3.0727817067128105,-2.749433013197579,-3.28212574594064,-4.488121899262691
40,-3.0724957280875786,-2.749792237799919,-3.283805760415633,-4.458890523757166
41,-3.072278474244022,-2.749984470324823,-3.2857842472422756,-4.429441930292965
42,-3.072143510674913,-2.7500765513806624,-3.287699712264558,-4.399052290948215
43,-3.0720551705853785,-2.750009302040966,-3.289505330216876,-4.370188610192901
44,-3.0717374267786073,-2.750321061354948,-3.293299309688572,-4.310298709454318
45,-3.071443411193154,-2.750647464756946,-3.2946630292933072,-4.2813926476523285
46,-3.0711617815930183,-2.750954291008043,-3.295496330978768,-4.2524600060426465
47,-3.0708026275499343,-2.751375633422239,-3.2971040655580555,-4.222184721201247
48,-3.070646357435275,-2.751448433076811,-3.298191631053984,-4.192078638965747
49,-3.070566723961645,-2.7514784552397415,-3.2997623299887264,-4.162844699296725
50,-3.0705642811677847,-2.751483105206741,-3.3011924639435106,-4.132797053047718
51,-3.070562294428967,-2.751485650400143,-3.3024371453609733,-4.102928018175626
52,-3.0705205786413687,-2.7515206022291747,-3.3030183410955924,-4.074005996392229
53,-3.070030277387967,-2.7520704307318744,-3.304101210334964,-4.044357494365133
54,-3.0699220257044195,-2.7521471581548176,-3.3052562615124192,-4.013332166377408
55,-3.069890439027485,-2.7521697176924564,-3.3044079591634734,-3.9843627563033412
56,-3.069889117709225,-2.752171083945906,-3.3047198271241642,-3.9556324319093568
57,-3.0698878149773052,-2.752172619518351,-3.305367973860434,-3.925511493536078
58,-3.069886536071094,-2.7521739517923636,-3.3056541984031282,-3.8963978240517516
59,-3.069885246509155,-2.7521753065403374,-3.3062440985328756,-3.8664940895822033
60,-3.0698839555729887,-2.75217677232421,-3.3068124252529065,-3.8361755876132215
61,-3.069882627710454,-2.7521782441194294,-3.3074090220395806,-3.806244695682358
62,-3.0698813178853213,-2.7521796547278496,-3.3078511314764003,-3.7769319679258104
63,-3.069878693626992,-2.752182575136948,-3.3056946600518478,-3.716783197268099
64,-3.056584112391763,-2.7663899070982634,-3.3035542733729972,-3.690282495671183
65,-3.0473874091404767,-2.7879790215547806,-3.301365646665498,-3.6619941607141038
66,-3.0375700284935943,-2.8058055776018826,-3.2997571151522394,-3.6319363171776695
67,-3.037003233196822,-2.8288466021886722,-3.29828854095367,-3.6026485922522045
