row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,0,1,0,83,71.25912390649319,-3.0,-4.0,-2.8191724504468576,,,,,,4.989086343095784,2.7243524728826003,8.667985247656506e-05
,2,movebase,movebase,True,1,0,0,19,-106.72437581419945,-3.0,-4.0,-2.29712652554928,,,,,,6.183725294267182,2.7954837891396442,7.752709078766701e-05
,3,movebase,movebase,True,0,1,0,100,89.13881920278072,-3.0,-4.0,-1.401122433133999,,,,,,4.312223663337155,2.739094797218499,7.469170041719795e-05
,4,movebase,movebase,True,1,0,0,15,-105.39772322773933,-3.0,-4.0,-3.067681186954557,,,,,,8.71452371193934,2.6007784745096374,0.00012937235047390234
,5,movebase,movebase,True,0,1,0,72,91.95311226695776,-3.0,-4.0,-1.0911329307120345,,,,,,3.986219901543128,2.1531274070512354,7.592034527581619e-05
,6,movebase,movebase,True,1,0,0,98,-115.73124580085278,-3.0,-4.0,1.0059376107016442,,,,,,1.6773677227950545,2.992704366529331,0.00013497722663647707
,7,movebase,movebase,True,1,0,0,77,-111.17228458076715,-3.0,-4.0,0.9617704115943849,,,,,,2.3423059838346147,2.4416041492185885,8.322690793995693e-05
,8,movebase,movebase,True,0,0,0,400,-57.036920972168446,-3.0,-4.0,-0.9948167490837199,,,,,,2.837138046355622,2.569612394861159,6.747185721765931e-05
,9,movebase,movebase,True,0,1,0,63,89.15363651514053,-3.0,-4.0,-1.4905747566439755,,,,,,6.217995068346254,2.8531573284261964,3.85409178282888e-14
,10,movebase,movebase,True,0,1,0,84,71.97047605365515,-3.0,-4.0,-2.74272987634964,,,,,,4.896355084464958,2.4267208521171724,0.00010479790846898357
,11,movebase,movebase,True,0,1,0,107,78.67621203511953,-3.0,-4.0,0.5863890153630629,,,,,,0.9755619042149161,3.4768099196738107,0.0003543281466193325
,12,movebase,movebase,True,0,0,0,400,-112.70179667323828,-3.0,-4.0,1.6075085410521592,,,,,,3.049934222896571,3.2036242972287234,5.988020217554853e-05
summary,all,movebase,movebase,True,,,,,,,,,,-9.717747257401546,0.5,0.3333333333333333,0.0,4.181869745590881,2.7480891874047164,0.00010407279904397061
