step,ego_x,ego_y,adv_x,adv_y
0,-2.9079543415406466,-5.454640722250584,-3.686315986348673,-2.347263957777606
1,-2.90814357300872,-5.454904422810677,-3.686309746116577,-2.3472669171415474
2,-2.9081440824242066,-5.4549047194790266,-3.686310015748471,-2.3472674496213313
3,-2.908144079756788,-5.454904783313808,-3.6863101792998028,-2.347267804637405
4,-2.908144052093103,-5.45490488141389,-3.686310291176481,-2.347268080821934
5,-2.908143964994371,-5.454905003572396,-3.6863103525429994,-2.3472682798231066
6,-2.9081438269492446,-5.4549051607769155,-3.6863103980514933,-2.347268357863292
7,-2.9081437723346752,-5.454905307150766,-3.686310398679692,-2.347268369694106
8,-2.908143667615807,-5.454905448177745,-3.686310416880727,-2.3472684884118933
9,-2.908143538605565,-5.454905608104504,-3.6863104517580623,-2.347268567785557
10,-2.908143389122963,-5.454905784185845,-3.6863104680463503,-2.3472686059644925
11,-2.9081432222911126,-5.454905973958453,-3.6863104688588524,-2.3472686104347065
12,-2.908143040756217,-5.454906175333975,-3.6863104569443244,-2.3472685871898036
13,-2.9081428467608976,-5.454906386542612,-3.6863104345651014,-2.347268541156338
14,-2.9081424287014013,-5.4549068326887795,-3.6863103019037378,-2.3472681599087526
15,-2.9081422076128924,-5.454907065278173,-3.686310207900066,-2.347267945199383
16,-2.908141980096975,-5.454907302939944,-3.6863101116259704,-2.347267725321564
17,-2.9081417471339495,-5.454907544900553,-3.686310013345375,-2.3472675008819044
18,-2.9081415095545693,-5.454907790504484,-3.686309920683864,-2.3472673423081307
19,-2.9081412680628516,-5.4549080391962255,-3.6863098856580154,-2.347267260043727
20,-2.9081410232554017,-5.454908290505018,-3.6863098525407416,-2.3472671762680672
21,-2.9081407756378073,-5.454908544031925,-3.6863098157358833,-2.3472671116127106
22,-2.908140525638525,-5.454908799438877,-3.686309782728368,-2.3472670293729565
23,-2.9081402736206394,-5.454909056439384,-3.6863097506447673,-2.3472669471466774
24,-2.9081400198918392,-5.454909314790665,-3.686309714710788,-2.3472668856234673
25,-2.9081397647128715,-5.454909574286982,-3.686309682738853,-2.347266805706669
26,-2.908139508304699,-5.454909834753983,-3.686309651829812,-2.3472667252677697
27,-2.908139250854573,-5.454910096043918,-3.6863096217732783,-2.3472666826486446
28,-2.9081389925211742,-5.454910358031586,-3.68630959683783,-2.3472666164762543
29,-2.908138733438978,-5.454910620610877,-3.6863095851539107,-2.347266609354987
30,-2.908138473721935,-5.454910883691876,-3.6863095790333555,-2.3472665964297557
31,-2.9081382134666174,-5.4549111471983895,-3.686309572924185,-2.3472665834832314
32,-2.908137952754857,-5.454911411065842,-3.68630956070805,-2.3472665575914906
33,-2.9081374302288308,-5.454911939673038,-3.6863095546009594,-2.347266544646563
34,-2.9081371685231368,-5.454912204327111,-3.6863095484945236,-2.3472665317022727
35,-2.9081369065811256,-5.454912469168434,-3.6863095423887438,-2.3472665187586284
36,-2.908136644438563,-5.45491273416879,-3.6863095362836202,-2.3472665058156346
37,-2.9081363821257593,-5.454912999304261,-3.6863095301791557,-2.3472664928732985
38,-2.908136119668398,-5.454913264554581,-3.686309524075352,-2.3472664799316267
39,-2.9081358570882436,-5.454913529902575,-3.68630951797221,-2.347266466990626
40,-2.908135594403743,-5.454913795333692,-3.6863095118697333,-2.347266454050302
41,-2.9081353316305254,-5.454914060835593,-3.6863095057679214,-2.3472664411106625
42,-2.9081350687818373,-5.45491432639783,-3.686309499666778,-2.3472664281717104
43,-2.9081348058689045,-5.454914592011542,-3.6863094935663137,-2.3472664152334035
44,-2.9081345429012404,-5.454914857669226,-3.686309487466491,-2.347266402295726
45,-2.908134279886907,-5.454915123364522,-3.686309481367307,-2.3472663893586847
46,-2.908134016832735,-5.454915389092036,-3.6863094752687675,-2.3472663764222856
47,-2.9081337537445138,-5.454915654847202,-3.686309469170871,-2.3472663634865376
48,-2.9081334906271468,-5.454915920626147,-3.6863094630736204,-2.347266350551444
49,-2.908133227484797,-5.4549161864255895,-3.686309456977016,-2.3472663376170138
50,-2.9081329643209854,-5.454916452242752,-3.6863094508810597,-2.347266324683251
51,-2.9081327011386993,-5.454916718075277,-3.6863094447857536,-2.3472663117501624
52,-2.908132437940467,-5.454916983921168,-3.686309432597099,-2.3472662858860347
53,-2.9081319115044155,-5.4549175156465415,-3.6863094265037537,-2.347266272955008
54,-2.908131648269955,-5.454917781523375,-3.686309420411065,-2.3472662600246803
55,-2.908131385026358,-5.454918047408201,-3.6863094143190334,-2.3472662470950576
56,-2.908131121774729,-5.454918313300152,-3.686309408227662,-2.3472662341661463
57,-2.908130858516007,-5.454918579198485,-3.6863094021369527,-2.3472662212379523
58,-2.9081305952509844,-5.4549188451025765,-3.686309396046906,-2.3472662083104816
59,-2.908130331980335,-5.454919111011892,-3.686309389957524,-2.34726619538374
60,-2.908130068704629,-5.454919376925983,-3.686309383868807,-2.3472661824577363
61,-2.908129805424355,-5.4549196428444695,-3.6863093777807583,-2.347266169532473
62,-2.908129542139916,-5.454919908767025,-3.686309371693379,-2.3472661566079567
63,-2.9081292788516615,-5.454920174693377,-3.6863093656066677,-2.347266143684194
64,-2.908129015559888,-5.454920440623294,-3.6863093595206307,-2.34726613076119
65,-2.908128752264844,-5.454920706556578,-3.6863093534352656,-2.347266117838953
66,-2.9081284889667396,-5.454920972493064,-3.6863093473505764,-2.347266104917486
67,-2.9081282256657572,-5.454921238432609,-3.686309341266562,-2.3472660919967967
68,-2.908127962362047,-5.454921504375096,-3.6863093351832275,-2.3472660790768884
69,-2.9081276990557363,-5.454921770320419,-3.6863093291005713,-2.3472660661577702
70,-2.9081274357469384,-5.454922036268496,-3.6863093230185955,-2.347266053239445
71,-2.908127172435743,-5.454922302219251,-3.686309316937303,-2.34726604032192
72,-2.9081269091222275,-5.454922568172623,-3.6863093108566938,-2.3472660274052
73,-2.908126645806458,-5.454922834128565,-3.686309298697532,-2.347266001574201
74,-2.9081261191683905,-5.454923366047969,-3.6863092926189824,-2.3472659886599323
75,-2.9081258558461776,-5.454923632011365,-3.686309286541122,-2.3472659757464918
76,-2.9081255925218947,-5.454923897977184,-3.686309280463953,-2.3472659628338852
77,-2.908125329195572,-5.454924163945404,-3.6863092743874764,-2.347265949922118
78,-2.9081250658672295,-5.454924429916003,-3.686309268311692,-2.347265937011196
