row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,True,0,1,0,72,74.55950712412596,-3.0,-4.0,-2.8191724504468576,,,,,,4.594507301990756,3.115504812174478,0.0001797574686065793
,2,movebase,rule_based,True,0,1,0,80,76.26739569753408,-3.0,-4.0,-2.29712652554928,,,,,,5.155851427947653,2.8279331866261956,1.9413408928687115e-05
,3,movebase,rule_based,True,0,1,0,78,91.84913308918476,-3.0,-4.0,-1.401122433133999,,,,,,4.24201050272686,2.7365424436128483,3.6093737008108285e-05
,4,movebase,rule_based,True,1,0,0,17,-103.71566180884838,-3.0,-4.0,-3.067681186954557,,,,,,2.7388048837532213,2.468294247126043,0.0004142938844397611
,5,movebase,rule_based,True,0,0,0,400,-70.09814965724945,-3.0,-4.0,-1.0911329307120345,,,,,,1.9868309940904416,2.13858558488788,1.929417873488828e-05
,6,movebase,rule_based,True,0,1,0,344,42.93819921463728,-3.0,-4.0,1.0059376107016442,,,,,,1.862204652534317,3.5897592439529102,0.0001021295334388524
,7,movebase,rule_based,True,0,1,0,39,95.50286952406168,-3.0,-4.0,0.9617704115943849,,,,,,4.385597347537065,2.4037434933735127,0.00021457437259089895
,8,movebase,rule_based,True,0,1,0,63,93.48040624707937,-3.0,-4.0,-0.9948167490837199,,,,,,6.70337372355151,2.5657557137315505,1.848670672947901e-05
,9,movebase,rule_based,True,0,1,0,46,91.91785445064306,-3.0,-4.0,-1.4905747566439755,,,,,,5.410044407454444,2.8115413329178365,0.00014276995140279986
,10,movebase,rule_based,True,0,1,0,69,78.601586766541,-3.0,-4.0,-2.74272987634964,,,,,,3.862772279442231,4.062105997190147,0.0002611739871577544
,11,movebase,rule_based,True,0,1,0,80,83.78731590509415,-3.0,-4.0,0.5863890153630629,,,,,,5.9258008185983,3.552394117281411,0.00019929434538796005
,12,movebase,rule_based,True,0,1,0,71,78.94324517250061,-3.0,-4.0,1.6075085410521592,,,,,,4.373470712935385,3.255116951178429,9.285546111314968e-05
summary,all,movebase,rule_based,True,,,,,,,,,,52.83614181044201,0.8333333333333334,0.08333333333333333,0.0,4.270105754380182,2.960606427004437,0.00014167808629490987
