step,ego_x,ego_y,adv_x,adv_y
0,-3.547693480768146,-3.023233098649001,-3.4117506058596176,-5.157493588526429
1,-3.5294145474419447,-3.0415128934664866,-3.3707997695008003,-5.12954209009587
2,-3.5185508265663015,-3.0572523734207797,-3.332603710715815,-5.0995665245090835
3,-3.5163280299057327,-3.061041505474867,-3.2961036075841768,-5.06712003209302
4,-3.516312733476448,-3.0610293814100387,-3.2579480664207736,-5.038360902088229
5,-3.5163125076222173,-3.0610299575909234,-3.2210364253516794,-5.005507247390186
6,-3.5163138687871647,-3.0610307595562363,-3.190653929424633,-4.965404468959898
7,-3.516315099292229,-3.0610314734360604,-3.1589566346795666,-4.926461986689105
8,-3.516316191205471,-3.0610321045396565,-3.13272451787694,-4.883153113877439
9,-3.516318043307551,-3.0610331808862123,-3.1064839333577665,-4.840529926640927
10,-3.520797325532692,-3.0656507850938652,-3.0608822898040917,-4.7516258180146185
11,-3.516003782631806,-3.0644158561484764,-3.039271256602666,-4.706804809734793
12,-3.5071942035262627,-3.0615201079025245,-3.022029091194627,-4.662332455580327
13,-3.49730344445587,-3.058012808883969,-3.0042068948489034,-4.616068992162451
14,-3.4891317504250288,-3.058024451931496,-2.9969979858599465,-4.566423778634019
15,-3.4824474486898778,-3.0671504559154865,-2.9859142316328566,-4.516619229962835
16,-3.476325737085244,-3.0901447337690593,-2.984723274079211,-4.466814325328372
17,-3.4712182488261982,-3.1139561399549756,-2.980490493016413,-4.415138802350957
18,-3.465146770994607,-3.1352624944584395,-2.9792093724839748,-4.366110854724622
19,-3.456300605635945,-3.139392014473108,-2.9812854330224705,-4.316720559106875
20,-3.440498882987013,-3.14633130295653,-2.9831537097171514,-4.268554240303825
21,-3.4255518846075317,-3.158324155354033,-2.988161743861367,-4.2194551569012715
22,-3.4131756415115677,-3.1810995357226197,-2.9946213346431967,-4.171526449745228
23,-3.396163067882474,-3.196926841331707,-3.0018912831462705,-4.122006943001463
24,-3.379262375831888,-3.2049506606027247,-3.0173587074809247,-4.074024413824642
25,-3.3657111452345663,-3.225433520968227,-3.0285604046745056,-4.025006137929746
26,-3.3514753772255794,-3.2412016393885814,-3.0283266583621757,-4.019212652261958
27,-3.3509646632916055,-3.2410510066455838,-3.0283433444266032,-4.019215329099274
28,-3.3509635586174045,-3.24105172062102,-3.0283442859738994,-4.019213187946755
29,-3.350962474862866,-3.2410524264924003,-3.028349332342018,-4.019092291167356
30,-3.3509614104360903,-3.2410531179723328,-3.0283512598348397,-4.019089716048475
31,-3.350960362798737,-3.2410537969657116,-3.0283506511306326,-4.018975795095568
32,-3.3509593297369524,-3.241054465119461,-3.028356993825859,-4.0189685995456115
33,-3.350957299899925,-3.2410557744421014,-3.028361777893928,-4.018851710705063
34,-3.331775213294947,-3.2551907988595055,-3.028365194490108,-4.018738174638256
35,-3.3116880058343736,-3.2722590433115766,-3.0283671927913285,-4.018735574497455
36,-3.3007575545796333,-3.2927406632382117,-3.0283683301907502,-4.018625837012135
37,-3.2847760222697575,-3.310024813088785,-3.0283580138922765,-4.018530572354097
38,-3.27074903333073,-3.3301660778871205,-3.0283769724951424,-4.0185130449965
39,-3.260833072460242,-3.3556059990171043,-3.028384736537428,-4.0184621130011235
40,-3.2436131794389755,-3.376939405575053,-3.028386615197495,-4.018460120749382
41,-3.2274850595116535,-3.395231790885674,-3.028377499995285,-4.0184916538988364
42,-3.21634219252175,-3.4197968714538503,-3.0283795729630483,-4.0184443664748795
43,-3.201053168453292,-3.4418018640899097,-3.028381985813654,-4.018408637508734
44,-3.213661909780626,-3.419837468774289,-3.02839782465245,-4.0183899487895784
45,-3.226889384990629,-3.402424929017603,-3.0284045525666863,-4.018292257214106
46,-3.2405569693665557,-3.384293973867497,-3.028407992433433,-4.018289789107454
47,-3.2570229536082738,-3.362383539893296,-3.0283966541765595,-4.018321863490297
48,-3.233591537851819,-3.3782426219802777,-3.0283993240163087,-4.0183228567882425
49,-3.223039110162602,-3.403759159458919,-3.0284093639788496,-4.0182248917122
50,-3.2230529941646893,-3.4043565393224258,-3.0284096005141183,-4.018223380405776
51,-3.2230481940559317,-3.404355460190756,-3.028401305160337,-4.018254288253706
52,-3.2230483546446034,-3.4043552541724456,-3.0284022706926974,-4.018253192218191
53,-3.223048462455523,-3.404355073932702,-3.028393306838719,-4.01828318765597
54,-3.223048590110977,-3.4043548269098816,-3.028388535695783,-4.018152901471317
55,-3.2418828853970054,-3.381049416388756,-3.0284140448372234,-4.018137034888019
56,-3.259304641626978,-3.3573459810442605,-3.028423612037,-4.018075971826065
57,-3.23897892804741,-3.375890814655886,-3.0284273104738393,-4.018001404321428
58,-3.2263570819974374,-3.40103049752788,-3.0284196254571083,-4.017918116271799
59,-3.214164784750083,-3.4248517334865776,-3.02843926809262,-4.017923510237459
60,-3.2245943860323933,-3.4106472159376997,-3.028428616735533,-4.01795340038068
61,-3.236250145034899,-3.390694159172368,-3.028431165894037,-4.017951082059952
62,-3.2508666101445876,-3.3672661084676654,-3.0284176471767723,-4.017981871620272
63,-3.237629993030191,-3.3935704351753055,-3.028424041343297,-4.0179771865190705
64,-3.2252940006662154,-3.4193764326515437,-3.028416977795117,-4.018006804389178
65,-3.2122981033191316,-3.4447344915188842,-3.028406377357808,-4.018036007739535
66,-3.221874417142948,-3.429384945640365,-3.0283911734550744,-4.018060729505601
67,-3.230715582667319,-3.409694155644192,-3.028402618747721,-4.018061996481902
68,-3.242181547291287,-3.3859857479142796,-3.02839508331495,-4.0180908977062915
69,-3.256151651053333,-3.361056499554226,-3.028382298398769,-4.018120276885889
70,-3.2574695356921497,-3.3613989511537827,-3.0283881725709283,-4.018117739408563
71,-3.257476600263351,-3.361419557373477,-3.0283795130061906,-4.018145284247228
72,-3.257475911375094,-3.361419965769661,-3.0283736377205277,-4.018170915047576
73,-3.2574757013274356,-3.3614202623941085,-3.028366052452423,-4.01819636856914
74,-3.2574755066847465,-3.361420560510636,-3.028367811372465,-4.0181960698168995
75,-3.257475317617777,-3.3614208599103885,-3.02836010585561,-4.018221982688778
76,-3.257474952852618,-3.361421461804587,-3.0283610265480174,-4.018221627096535
77,-3.2479213229143986,-3.3896341375759755,-3.0283468489352923,-4.01827235204481
78,-3.2369336738262215,-3.4173582851360327,-3.0283479010155947,-4.018270161652934
79,-3.225977758798799,-3.444863356379756,-3.0283483229902477,-4.018267970270589
80,-3.2334616345794833,-3.4300451599972477,-3.028348707108551,-4.018265931835528
81,-3.2394923388754417,-3.4116824289999212,-3.0283490641549746,-4.018264024287728
82,-3.2489980229627,-3.3844820222248195,-3.0283493982435963,-4.018262228070071
83,-3.2596201323093994,-3.3586939194979033,-3.0283497128251375,-4.018260526543743
84,-3.2636328344063457,-3.3874115312695117,-3.0283500108309194,-4.018258905558766
85,-3.2564237636864846,-3.4163132430389043,-3.028350294751315,-4.018257353081959
86,-3.249300505012233,-3.445160276458238,-3.028350566702053,-4.018255858880341
87,-3.242144036528635,-3.4737014049806287,-3.028350828480568,-4.0182544142517855
88,-3.251680675748446,-3.4542046192594853,-3.028351081613893,-4.018253011795923
89,-3.2626093308131687,-3.4354419468568325,-3.0283513575460863,-4.018251652741472
90,-3.2672533572449582,-3.4115791049474353,-3.0283446763402853,-4.018277355247313
91,-3.2728933766193307,-3.383809700751203,-3.0283357578841916,-4.0182855261538295
92,-3.2672787283269056,-3.392555515440066,-3.028339097934926,-4.018300442854638
93,-3.262262094730844,-3.421346416790241,-3.028339558731177,-4.018298452582889
94,-3.257155200550049,-3.450090429058871,-3.028339912620606,-4.018296629480868
95,-3.2572393699190387,-3.450198258823849,-3.028340235244373,-4.018294952519964
96,-3.2572395231269438,-3.450198480317944,-3.0283405318938326,-4.0182933991932295
97,-3.257239511648393,-3.450198408761764,-3.0283408066694575,-4.018291950444815
98,-3.257239484042044,-3.45019842106569,-3.028341063024127,-4.018290590156082
99,-3.257239394952373,-3.450198648601869,-3.0283413038670335,-4.018289304693243
100,-3.2699764074040734,-3.4233935903626027,-3.028341748434784,-4.018286913896072
101,-3.275127874987655,-3.3973674165436356,-3.0283419559631994,-4.018285790558023
102,-3.266753037036394,-3.4254101808308137,-3.028342155698939,-4.018284705532406
103,-3.2627247837975317,-3.45354518098646,-3.0283423488754595,-4.0182836529170896
104,-3.25678973127964,-3.4813035958179923,-3.0283425401447706,-4.018282640544949
105,-3.260190982935008,-3.4603401491123065,-3.028342730685484,-4.01828182867596
106,-3.26330307048642,-3.4392330661088173,-3.0283428799104355,-4.018280799997774
107,-3.2695864498539127,-3.415529082586553,-3.028339213248085,-4.018224493771394
108,-3.273415489749614,-3.3893720310065816,-3.028346020704877,-4.018221758532732
109,-3.2643412071444073,-3.41744528101492,-3.0283459357920655,-4.0182214630236865
110,-3.260302718615426,-3.446407038872744,-3.0283459387905896,-4.018221009732307
111,-3.255540342031678,-3.473963032862351,-3.02834597869417,-4.018220404686628
112,-3.2591778691911752,-3.450871964589406,-3.0283455306722145,-4.018219561403533
113,-3.2641176095720725,-3.4305739389455736,-3.0283456710961874,-4.018218754978261
114,-3.2643227031599,-3.4308869958307238,-3.0283457523872856,-4.018218102049761
115,-3.264324716625863,-3.4308850718948936,-3.0283458500747535,-4.018217394471686
116,-3.26432532771378,-3.430887416571701,-3.028345961900901,-4.018216641802362
117,-3.2643251919507073,-3.430889648625916,-3.028346129093173,-4.018215820246276
118,-3.2642750020851716,-3.4310056411583028,-3.0283462373423946,-4.0182144714648445
119,-3.264241722985323,-3.4312056278493888,-3.028340151988191,-4.018239579138785
