row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,0,1,0,59,79.36895950883627,-3.0,-4.0,-2.8191724504468576,,,,,,3.996828140731158,2.7508228728565274,0.00015266618693573068
,2,movebase,diffusion,True,0,1,0,72,78.46493396908045,-3.0,-4.0,-2.29712652554928,,,,,,0.873853542926516,2.7959018782966862,0.00013219355662826617
,3,movebase,diffusion,True,0,1,0,70,88.07766680419445,-3.0,-4.0,-1.401122433133999,,,,,,2.372997633907629,2.7314488837734276,7.231814166526016e-05
,5,movebase,diffusion,True,1,0,0,45,-106.2122618034482,-3.0,-4.0,-1.0911329307120345,,,,,,1.649606042541805,2.1439622208412126,0.00012530372088955403
,6,movebase,diffusion,True,0,1,0,340,38.30088623613119,-3.0,-4.0,1.0059376107016442,,,,,,5.834343916343338,2.9941144191556632,1.1713261453255704e-05
,7,movebase,diffusion,True,0,1,0,32,96.39871457964182,-3.0,-4.0,0.9617704115943849,,,,,,3.3963800561851207,2.407874804696332,9.63969344352342e-05
,8,movebase,diffusion,True,0,1,0,63,93.37660064548254,-3.0,-4.0,-0.9948167490837199,,,,,,3.4524033469034787,2.57370562838153,9.105174793679357e-05
,9,movebase,diffusion,True,0,1,0,44,92.23607090860605,-3.0,-4.0,-1.4905747566439755,,,,,,4.244100068730585,2.7870561883623677,9.394057200187848e-05
,10,movebase,diffusion,True,1,0,0,61,-120.56028462201357,-3.0,-4.0,-2.74272987634964,,,,,,1.1636339036015435,2.4594652474943093,6.113981094598521e-05
,11,movebase,diffusion,True,0,1,0,61,90.63596760481596,-3.0,-4.0,0.5863890153630629,,,,,,5.039720992343335,3.447737839199043,0.00013567763076397668
,12,movebase,diffusion,True,0,1,0,61,80.09618324041367,-3.0,-4.0,1.6075085410521592,,,,,,2.469191238446328,3.2284621578532158,0.00016024850803251917
summary,all,movebase,diffusion,True,,,,,,,,,,46.38031246106733,0.8181818181818182,0.18181818181818182,0.0,3.13573262569644,2.7564138309918467,0.00010296818833531403
