step,ego_x,ego_y,adv_x,adv_y
0,-1.7699712811958066,-3.4684300582290573,-4.149740784034269,-2.8474095939992377
1,-1.7834795406267128,-3.4805457040195593,-4.146330096399563,-2.8492215231518516
2,-1.7966820184157375,-3.4908955176619894,-4.142137433369641,-2.8499282929299237
3,-1.8069161253892672,-3.5030561685967982,-4.137954538253015,-2.849224839574394
4,-1.806940786377008,-3.5035071513532485,-4.137035328134781,-2.847247539321895
5,-1.8068410393554668,-3.5036984545829593,-4.131708053750564,-2.8638747834291935
6,-1.811787848791064,-3.517051983261378,-4.127389923122915,-2.8756781333498016
7,-1.8140438213941865,-3.5348793149923834,-4.121686665116621,-2.888671517635516
8,-1.8185191676249532,-3.549464851500782,-4.117020654235373,-2.9003340554776242
9,-1.8225300879851072,-3.556600005550842,-4.10834454665581,-2.9173399102877338
10,-1.8295728001571545,-3.5590701202606314,-4.097703759047144,-2.9376581821023047
11,-1.8340528012990027,-3.5606832590871638,-4.084423891702245,-2.9539206813440724
12,-1.8391932649681824,-3.5597001152963528,-4.0697636364928185,-2.9706276033476984
13,-1.847914351478095,-3.5561321561118504,-4.051657826067933,-2.9892784506511103
14,-1.8677447553715927,-3.5561396610897744,-4.037251736890599,-3.0094949820442616
15,-1.8792164513696865,-3.5516270891752915,-4.019264301778646,-3.027765298613196
16,-1.8878063415174595,-3.5473972408099095,-3.9959311739782537,-3.0414205287419054
17,-1.8992289281232209,-3.541272090045638,-3.977504970448945,-3.0602685299194836
18,-1.9152259081544323,-3.5329405044809006,-3.9595313371746275,-3.0785493432520186
19,-1.9333221075709255,-3.5243963409551604,-3.939126802048884,-3.0977385672968953
20,-1.9539404028701735,-3.5152266676090913,-3.9188139645601625,-3.1162677360956867
21,-1.977855113020091,-3.518354247090434,-3.903620206427188,-3.127261349375367
22,-1.9786156711890233,-3.519644267145813,-3.885118271457651,-3.140403738336499
23,-1.978614285726167,-3.519644977395323,-3.844992715628722,-3.163497866034041
24,-2.004789523424987,-3.520584820439427,-3.819898085121066,-3.168824510077431
25,-2.0272792093638876,-3.515068106873425,-3.7934625627822687,-3.17810414287709
26,-2.0512454879577118,-3.510652914332513,-3.770696507024537,-3.1905619550844824
27,-2.079798813800611,-3.507186847496349,-3.7447022889266766,-3.2018795585054898
28,-2.103104022092304,-3.5035403677697805,-3.718530679888332,-3.2143007250710567
29,-2.1256284895642823,-3.499908844301795,-3.6922608360416853,-3.227405584006431
30,-2.152201194301221,-3.4990929906009196,-3.666207957970442,-3.238673730836476
31,-2.179547149392643,-3.4971604404537633,-3.6398329030121395,-3.248826952206232
32,-2.203932429488347,-3.501669183313118,-3.6140406528459152,-3.2606087832296944
33,-2.2299337241842414,-3.5119983122296614,-3.587314513420847,-3.2720821725551636
34,-2.2568145230715766,-3.5181800073307734,-3.5599481948872542,-3.2833143967832408
35,-2.2848183613098008,-3.5196148178877795,-3.537035760322035,-3.2924447741816665
36,-2.3123793069467444,-3.5247176633692248,-3.5136654740707955,-3.2999164836756822
37,-2.33953376028781,-3.5277277945709815,-3.4884311661754954,-3.306553744874465
38,-2.365633503997056,-3.531186987059039,-3.4626157742556853,-3.312342066053247
39,-2.3951476795572937,-3.535551753532149,-3.436814858498905,-3.316837937048563
40,-2.4216487982621504,-3.542812927451027,-3.4079329765389748,-3.322353116426947
41,-2.421872566456442,-3.543274759472483,-3.3795946829516956,-3.3275386113576078
42,-2.42187277513734,-3.5432750000716187,-3.3235503683092014,-3.333959376338314
43,-2.4218733612204284,-3.543275138024712,-3.2942990881742085,-3.338586431589714
44,-2.444003641142494,-3.5476024152212546,-3.265549205159628,-3.3428104794666473
45,-2.470115239922509,-3.5555577859036105,-3.2366100217907783,-3.3451264744883087
46,-2.498745163649061,-3.5635316711778016,-3.207079841938517,-3.3485861976310103
47,-2.52116591557678,-3.5685144803124977,-3.1778628300322853,-3.3520618309606944
48,-2.542478887193922,-3.583649478973138,-3.148522670966348,-3.355056409299892
49,-2.563214123167498,-3.601570470479815,-3.1189619606828445,-3.358768625048568
50,-2.5872057276667393,-3.611774775590616,-3.08898601994656,-3.362680983894527
51,-2.6091990047960216,-3.6273794128338976,-3.059486262169258,-3.366148642173764
52,-2.6286011090027124,-3.6479991413883557,-3.0296382513948124,-3.3698101101053277
53,-2.6520417144709376,-3.6619367599705077,-3.0026361492964706,-3.379262111509972
54,-2.6767312816142277,-3.676774273023114,-2.9755428645070365,-3.384703502374229
55,-2.6994147166870066,-3.6960571723918805,-2.9471080621146624,-3.390917550168721
56,-2.7224310541133283,-3.711062591100622,-2.918955635033153,-3.399125230287904
57,-2.745611310494994,-3.7269808802761597,-2.892149767960415,-3.4061466877393043
58,-2.76868595758305,-3.7460150762961417,-2.867148775841717,-3.4139153730797207
59,-2.7680363861669024,-3.7483347799149622,-2.842064955650228,-3.428125954915856
60,-2.768039693631603,-3.748336483284831,-2.8189152930761843,-3.437487970985883
