episode,rule_adv_x,rule_adv_y,rule_ego_x,rule_ego_y,planner_adv_x,planner_adv_y,planner_ego_x,planner_ego_y,unconditional_adv_x,unconditional_adv_y,unconditional_ego_x,unconditional_ego_y,ours_adv_x,ours_adv_y,ours_ego_x,ours_ego_y
1,-6.398135111770005,-3.5872826639191513,0.06057606996651099,-2.977530233543429,-6.398135111770005,-3.5872826639191513,0.06057606996651099,-2.977530233543429,-6.398135111770005,-3.5872826639191513,0.06057606996651099,-2.977530233543429,-6.398135111770005,-3.5872826639191513,0.06057606996651099,-2.977530233543429
2,-2.7872209587918664,-0.5144037571848097,0.33749620736443076,-5.625581262649751,-2.7872209587918664,-0.5144037571848097,0.33749620736443076,-5.625581262649751,-2.7872209587918664,-0.5144037571848097,0.33749620736443076,-5.625581262649751,-2.7872209587918664,-0.5144037571848097,0.33749620736443076,-5.625581262649751
3,-2.9889379433247365,-7.866293332797564,0.11478537470395045,-5.4451352230124135,-2.9889379433247365,-7.866293332797564,0.11478537470395045,-5.4451352230124135,-2.9889379433247365,-7.866293332797564,0.11478537470395045,-5.4451352230124135,-2.9889379433247365,-7.866293332797564,0.11478537470395045,-5.4451352230124135
4,-4.028296311037524,-0.6744599381272125,-0.018242871659738924,-5.249140735786143,-4.028296311037524,-0.6744599381272125,-0.018242871659738924,-5.249140735786143,-4.028296311037524,-0.6744599381272125,-0.018242871659738924,-5.249140735786143,-4.028296311037524,-0.6744599381272125,-0.018242871659738924,-5.249140735786143
5,-3.2647415045079873,-0.9281921818139218,0.14728664028665195,-2.1136144504078542,-3.2647415045079873,-0.9281921818139218,0.14728664028665195,-2.1136144504078542,-3.2647415045079873,-0.9281921818139218,0.14728664028665195,-2.1136144504078542,-3.2647415045079873,-0.9281921818139218,0.14728664028665195,-2.1136144504078542
6,-5.760145983854006,-2.461225877936006,-3.820041511256714,-7.396730433924893,-5.760145983854006,-2.461225877936006,-3.820041511256714,-7.396730433924893,-5.760145983854006,-2.461225877936006,-3.820041511256714,-7.396730433924893,-5.760145983854006,-2.461225877936006,-3.820041511256714,-7.396730433924893
7,-6.232251056167119,-4.908114271816415,-6.02085680282749,-2.4639628355210714,-6.232251056167119,-4.908114271816415,-6.02085680282749,-2.4639628355210714,-6.232251056167119,-4.908114271816415,-6.02085680282749,-2.4639628355210714,-6.232251056167119,-4.908114271816415,-6.02085680282749,-2.4639628355210714
8,-6.401969036785215,-5.289113848094395,0.326158237471732,-2.761766173407808,-6.401969036785215,-5.289113848094395,0.326158237471732,-2.761766173407808,-6.401969036785215,-5.289113848094395,0.326158237471732,-2.761766173407808,-6.401969036785215,-5.289113848094395,0.326158237471732,-2.761766173407808
9,0.33208795206372654,-3.724522237580466,-0.46382506133257717,-5.870139273267367,0.33208795206372654,-3.724522237580466,-0.46382506133257717,-5.870139273267367,0.33208795206372654,-3.724522237580466,-0.46382506133257717,-5.870139273267367,0.33208795206372654,-3.724522237580466,-0.46382506133257717,-5.870139273267367
10,-4.33514991990592,-0.5729735500377586,-4.209463393723711,-7.241982148771305,-4.33514991990592,-0.5729735500377586,-4.209463393723711,-7.241982148771305,-4.33514991990592,-0.5729735500377586,-4.209463393723711,-7.241982148771305,-4.33514991990592,-0.5729735500377586,-4.209463393723711,-7.241982148771305
11,-5.994640968448321,-3.7803159468054655,-0.9753301294421064,-7.250048535477138,-5.994640968448321,-3.7803159468054655,-0.9753301294421064,-7.250048535477138,-5.994640968448321,-3.7803159468054655,-0.9753301294421064,-7.250048535477138,-5.994640968448321,-3.7803159468054655,-0.9753301294421064,-7.250048535477138
12,-6.507096015144688,-5.529746128778379,-0.8960572970828897,-6.819054142815914,-6.507096015144688,-5.529746128778379,-0.8960572970828897,-6.819054142815914,-6.507096015144688,-5.529746128778379,-0.8960572970828897,-6.819054142815914,-6.507096015144688,-5.529746128778379,-0.8960572970828897,-6.819054142815914
