row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,True,1,0,0,93,-115.72796705365181,-3.0,-4.0,-2.8191724504468576,,,,,,0.9213841071567092,6.487425837587628,0.00022007911164833736
,2,movebase,rule_based,True,1,0,0,100,-123.26052430272102,-3.0,-4.0,2.6883455991107548,,,,,,0.9300064519945859,6.034037785116592,0.0002363656330538182
,3,movebase,rule_based,True,0,1,0,189,43.57018152624369,-3.0,-4.0,2.7071905839636132,,,,,,5.039712364093869,4.196564167664879,5.981476556199855e-06
,4,movebase,rule_based,True,0,1,0,165,49.615733437240124,-3.0,-4.0,2.7448764977571325,,,,,,8.494574787837298,6.02293077505495,3.8406008955242395e-05
,5,movebase,rule_based,True,0,1,0,178,55.010968431830406,-3.0,-4.0,-2.6016373691812307,,,,,,3.65970153789543,3.6163676661076813,3.7565505825962107e-05
,6,movebase,rule_based,True,0,1,0,151,72.93034291267395,-3.0,-4.0,1.3339083239620293,,,,,,11.273982759909947,5.343464749363943,8.039698430803111e-05
,7,movebase,rule_based,True,0,1,0,153,59.40272055566311,-3.0,-4.0,-0.47040644124251785,,,,,,3.237440775836808,2.704067563965787,4.738273309478299e-05
,8,movebase,rule_based,True,1,0,0,132,-127.3202456459403,-3.0,-4.0,-2.7852162597683767,,,,,,0.4901674552409646,7.183301848678443,0.00023278437306326953
,9,movebase,rule_based,True,1,0,0,105,-126.73951806128025,-3.0,-4.0,2.5062136618392503,,,,,,3.20190486529549,2.3824772355042816,4.2469641722538114e-05
,10,movebase,rule_based,True,0,1,0,163,64.67248252034187,-3.0,-4.0,1.2137249809662578,,,,,,0.9296713950919587,6.729319134699593,0.0002679512650311688
,11,movebase,rule_based,True,1,0,0,162,-152.31645157933235,-3.0,-4.0,2.1279316830189785,,,,,,10.875180401900632,7.269685935247631,0.00024071926322083814
,12,movebase,rule_based,True,1,0,0,145,-147.77008563280106,-3.0,-4.0,2.211944044911888,,,,,,11.158019043413507,6.396945303908128,0.00011639294348320787
summary,all,movebase,rule_based,True,,,,,,,,,,-37.32769690764447,0.5,0.5,0.0,5.017645495472266,5.363882333574963,0.0001305412449969497
