step,ego_x,ego_y,adv_x,adv_y
0,0.303288322503158,-2.764294170515449,-6.421544008279968,-5.289458634878342
1,0.30110583241540256,-2.7646578801148682,-6.471110965472602,-5.28763066577179
2,0.30072965500731225,-2.76466432312289,-6.5203381822982625,-5.292015946135618
3,0.300685599907098,-2.7646710711000066,-6.616078340594043,-5.296936516730168
4,0.27326406468603004,-2.771269468796026,-6.663753006769726,-5.300148685268752
5,0.24650311114942106,-2.7741179897631962,-6.712915730498274,-5.2913014770180204
6,0.21750003147835628,-2.7788011542464788,-6.762219268694051,-5.285076100789956
7,0.18885208842120715,-2.782862437252871,-6.810076536666113,-5.270893824006056
8,0.16233884832348858,-2.7867871350546354,-6.857602194110429,-5.255668303052325
9,0.1336575300501765,-2.793679277051973,-6.904732078556874,-5.240443500375591
10,0.10422819918722986,-2.798333774096225,-6.950863216531012,-5.222678571668186
11,0.07618248385776828,-2.802926720781079,-6.995297135307845,-5.206276159279351
12,0.04694717713684532,-2.8086601927128774,-7.04037583190867,-5.187019376925357
13,0.01757036865485488,-2.813916346047589,-7.081957571291198,-5.1654316975122825
14,-0.010960627077070835,-2.8193042385183653,-7.125319672708625,-5.141346421176632
15,-0.039180343794851476,-2.8263423314933385,-7.162285997765656,-5.110393043203645
16,-0.0683231040056663,-2.8323559170258323,-7.201112637288977,-5.079058711245096
17,-0.0977015976218406,-2.8384061495287525,-7.234892253766707,-5.042937023109491
18,-0.12557436746026307,-2.8456525492849387,-7.271420017807503,-5.008260180578262
19,-0.15419098604781983,-2.8538403283669673,-7.304154174258632,-4.972380182110651
20,-0.18361080861983936,-2.8603840753408445,-7.3357299925864226,-4.936539535441265
21,-0.2123143127892985,-2.867097196554346,-7.345598086030839,-4.88541541797347
22,-0.24143933640660994,-2.873715051514375,-7.3534590931659,-4.830697780648405
23,-0.270718227604803,-2.880264480137537,-7.361110957475587,-4.779940581698827
24,-0.27161245519355665,-2.8801262985726006,-7.368151691676061,-4.729758433076195
25,-0.2716115977629341,-2.880132461007354,-7.374182138533043,-4.679802991953033
26,-0.2716120963692882,-2.8801326410002397,-7.381191170818157,-4.632067992177084
27,-0.2716126658521803,-2.880132763923061,-7.387251520729592,-4.5840693321089265
28,-0.27161374538826993,-2.8801330500527946,-7.395212940676299,-4.48751578481034
29,-0.2990766705567821,-2.8863399527024325,-7.3958650116084,-4.439740864104188
30,-0.3284021028444148,-2.8930471001729225,-7.394627860173857,-4.3906449014136
31,-0.3576750557755689,-2.899651437625404,-7.38443530414952,-4.342815012916874
32,-0.3862789509039757,-2.9065103207083363,-7.3762745025602054,-4.2935719316031635
33,-0.41506168808320915,-2.9134980812924742,-7.364110863607212,-4.2464067904211795
34,-0.4438131588061218,-2.9203053048757974,-7.350297734499064,-4.198306526916922
35,-0.47232617394086984,-2.9274330591709328,-7.333422291872057,-4.152734739193311
36,-0.5004854866838162,-2.9350488693339587,-7.316413754631538,-4.108152045407683
37,-0.5291208634658396,-2.942159121276049,-7.298127480289112,-4.06324782336927
38,-0.5574562930273601,-2.9495813552152494,-7.2802666215235625,-4.020677245197406
39,-0.5866687196363357,-2.9570079202619066,-7.255734310987886,-3.978417983852414
40,-0.6155977561074757,-2.964423845751676,-7.227528100849276,-3.9386048735092625
41,-0.6444040141255352,-2.9717836547209786,-7.199272788909825,-3.8981360277936443
42,-0.67357538203127,-2.9793469338501932,-7.16707884475029,-3.8605259768245803
43,-0.7024397796783043,-2.9868095653844455,-7.134114369803944,-3.824664590561542
44,-0.7311209221472147,-2.9941893641453374,-7.096647727619215,-3.791854851525924
45,-0.7602260505546061,-3.001854579553114,-7.061098031807758,-3.759118422079412
46,-0.789105682007498,-3.0094710839937897,-7.02613016043934,-3.7279844776994677
47,-0.8175848434154911,-3.0168528098629968,-6.9881880973562565,-3.697257302195293
48,-0.8179358874986097,-3.0168110741194174,-6.9535816407792215,-3.6686181258272286
49,-0.8179366013576048,-3.0168108973459526,-6.912543582555248,-3.6404971698378232
50,-0.8179372532256388,-3.0168110976544305,-6.869768720911592,-3.6177997940158604
51,-0.8179379576884699,-3.016811311405798,-6.824944819999427,-3.596097845452702
52,-0.8179394949863411,-3.016811770698462,-6.733974497420418,-3.5605428871568288
53,-0.8468975569972444,-3.0247142817960664,-6.686745762771488,-3.5450363084434042
54,-0.8755588094050297,-3.0322087409626697,-6.641508102593452,-3.5289217207149925
55,-0.9038805014075009,-3.039588934932189,-6.595589557225184,-3.5127748178062363
56,-0.9328655193315639,-3.0473907281938675,-6.549270962988655,-3.497351640039205
57,-0.9613371526592529,-3.055668455467127,-6.503335627147259,-3.4824947905012995
58,-0.9900175132522547,-3.0632497098220948,-6.455900055932978,-3.468729299185937
59,-1.0189740995327343,-3.0710650774792763,-6.407403914687161,-3.4588105701737506
60,-1.0479959550060531,-3.0788957568587105,-6.358693896407042,-3.447543137907611
61,-1.0765718375660513,-3.0865952413115982,-6.310803844447314,-3.43662531029493
62,-1.1055545610500634,-3.0945319923103543,-6.261487961466597,-3.426361002718709
63,-1.1345728996963704,-3.102420197496299,-6.213461886318867,-3.4164399281075055
64,-1.163024348207531,-3.1101664893022547,-6.1639620624844875,-3.4066621606953764
65,-1.1919085657036177,-3.1182155860353427,-6.115923020869439,-3.397334289086615
66,-1.2209110418417268,-3.1262443003539087,-6.066842088169322,-3.387770728908536
67,-1.2491942383570618,-3.134132185373209,-6.01853387234508,-3.3788012081061725
68,-1.2777688740385487,-3.1422376754066694,-5.969692386912003,-3.369914481709395
69,-1.3067353758152507,-3.1504363633889154,-5.920777736398564,-3.361751913988934
70,-1.3349752522896885,-3.1585359395064057,-5.872283941893916,-3.3535070403052707
71,-1.3636401597330206,-3.1669148830594933,-5.823069541392518,-3.3457807078182986
72,-1.3639120963770237,-3.1669246322575764,-5.774013957964756,-3.3381995759192113
73,-1.3639076516585231,-3.1669237311750194,-5.724662746813137,-3.33084841434862
74,-1.3639039634264984,-3.166922979765195,-5.676294995863977,-3.32372791054669
75,-1.3639009250394094,-3.166922373939655,-5.626854104797989,-3.3165572552238336
76,-1.363896439744611,-3.1669215187989455,-5.529208877211256,-3.3027309453560263
77,-1.3925694556272505,-3.1758096002290963,-5.480301070281318,-3.2960645217204143
78,-1.4208190129870653,-3.18426189898744,-5.431071650154183,-3.289633648357493
79,-1.4489187600138065,-3.193187352003278,-5.381901829022485,-3.2833027196898286
80,-1.477684083854748,-3.2019157311784987,-5.333015142756421,-3.276749004149219
81,-1.505872299845857,-3.2106369586210537,-5.283703841369702,-3.270608829155774
82,-1.5339015207717892,-3.219370896757078,-5.235120496317679,-3.264139473846141
83,-1.5624644367220182,-3.2283562764749303,-5.185724582878126,-3.258136869593387
84,-1.5904746511981855,-3.237481715362284,-5.137063085932699,-3.251918002466807
85,-1.6172426785531213,-3.2469139701518523,-5.087649800559239,-3.246093742924247
86,-1.6454482523801537,-3.2569088000384427,-5.0389715453855715,-3.2401801951812046
87,-1.673977967087558,-3.2661900231717302,-4.989706122604784,-3.2346068602323617
88,-1.7019378266516136,-3.275435808810698,-4.940625471236027,-3.2290426126155847
89,-1.730483008954479,-3.2849693792316192,-4.890891205716822,-3.224787930166232
90,-1.7591055069702537,-3.2944724815589415,-4.841208945438739,-3.220043927266483
91,-1.78667837074422,-3.303724363594153,-4.791635148211932,-3.2157564678075103
92,-1.815221122512935,-3.3132948013027095,-4.741809749726318,-3.211991931309422
93,-1.8436895439852927,-3.322829537163181,-4.692296020364054,-3.2084432315830362
94,-1.87132978017144,-3.3322636392432297,-4.642171689529681,-3.2052909033782364
95,-1.872700382701973,-3.3321622109767937,-4.592800152514943,-3.202498853017199
96,-1.8727004930275928,-3.33216365407092,-4.542571666753393,-3.1999422846129773
97,-1.8727007429224292,-3.3321637250075495,-4.493119143361095,-3.1978347512686334
98,-1.8727007091800205,-3.3321637028845164,-4.442912971462047,-3.195915975508583
99,-1.8727005567241133,-3.3321636537201056,-4.343478477336753,-3.1924350908610193
100,-1.8997139698582002,-3.3430031225561416,-4.2939151053246825,-3.1911817140640943
101,-1.9281121358251483,-3.352524610904551,-4.244107931124541,-3.189768472784916
102,-1.9560274470403358,-3.362108935375427,-4.194184637863702,-3.1890199116217497
103,-1.9841448705043396,-3.3721436961323112,-4.144569393611073,-3.1880700258990866
