row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,False,0,1,0,157,62.91330612450838,-3.0,-4.0,-2.8191724504468576,,,,,,6.423156731673056,3.1311066600750874,4.74709747246759e-14
,2,movebase,rule_based,False,1,0,0,143,-134.27283541858196,-3.0,-4.0,2.6883455991107548,,,,,,8.278649154930829,5.171124747226789,4.055780681024979e-14
,3,movebase,rule_based,False,0,1,0,196,40.656325712800026,-3.0,-4.0,2.7071905839636132,,,,,,6.961044602699958,4.8635478364387765,3.690973926503687e-14
,4,movebase,rule_based,False,0,1,0,174,46.79892245680094,-3.0,-4.0,2.7448764977571325,,,,,,7.025262055591122,4.578903488695902,4.171161314572855e-14
,5,movebase,rule_based,False,0,1,0,178,54.09447593986988,-3.0,-4.0,-2.6016373691812307,,,,,,5.902222773365968,2.9150285599566303,4.6705039028486563e-14
,6,movebase,rule_based,False,0,1,0,163,69.68324903398752,-3.0,-4.0,1.3339083239620293,,,,,,9.390799154461345,5.989417268270199,4.1286843298316865e-14
,7,movebase,rule_based,False,1,0,0,60,-121.01215624809265,-3.0,-4.0,-0.47040644124251785,,,,,,10.860115505208364,3.468741922274505,6.327592019560899e-14
,8,movebase,rule_based,False,0,1,0,153,66.43941339105368,-3.0,-4.0,-2.7852162597683767,,,,,,6.571824260388175,3.248613736318387,4.1691117031896737e-14
,9,movebase,rule_based,False,1,0,0,149,-131.68192356824875,-3.0,-4.0,2.5062136618392503,,,,,,8.912095267068095,4.9394096284883435,4.3180072014555694e-14
,10,movebase,rule_based,False,0,1,0,178,61.95048328489065,-3.0,-4.0,1.2137249809662578,,,,,,9.519097462261678,5.970168621084152,3.840255472648596e-14
,11,movebase,rule_based,False,1,0,0,181,-161.7897251546383,-3.0,-4.0,2.1279316830189785,,,,,,9.1178553007643,6.004880854006801,2.5304551507370493e-14
,12,movebase,rule_based,False,1,0,0,143,-145.96125772595406,-3.0,-4.0,2.211944044911888,,,,,,9.016585721250147,5.589993577191535,2.491372032167246e-14
summary,all,movebase,rule_based,False,,,,,,,,,,-24.34847684763372,0.5833333333333334,0.4166666666666667,0.0,8.16489233247192,4.655911408335592,4.095082933917373e-14
