step,ego_x,ego_y,adv_x,adv_y
0,-0.8751412183090802,-6.7838635933252895,-2.7000274908203994,-1.5001321196939539
1,-0.8652328488214918,-6.764923555861079,-2.700027724348335,-1.5001333298420965
2,-0.8596441490919445,-6.7445692828910655,-2.7000279019971507,-1.5001343134038463
3,-0.8639529276501043,-6.719101150583658,-2.7000280762999593,-1.5001352594928148
4,-0.8644783558956897,-6.694915716663136,-2.7000282488266416,-1.5001362010349282
5,-0.8592819761273895,-6.672293217347433,-2.7000284169766275,-1.5001370782476349
6,-0.8547748427786821,-6.6470058439488655,-2.700028545205912,-1.500137774254054
7,-0.8506114626149898,-6.620922572478569,-2.7000286766456933,-1.5001384630129448
8,-0.8460386432832039,-6.598756680480389,-2.7000288068309874,-1.500139149560144
9,-0.8438827724962588,-6.572475254162025,-2.7000289359110687,-1.5001398341577112
10,-0.8419360309763676,-6.5469464699948805,-2.7000290640138025,-1.5001405170372513
11,-0.841316941897419,-6.546480038792742,-2.700029191252251,-1.500141198403072
12,-0.8413174642784563,-6.546477259460197,-2.7000293089940395,-1.5001418352056974
13,-0.841317130295401,-6.546474629922,-2.7000294105067577,-1.5001423885228646
14,-0.8413167979918972,-6.546472070296617,-2.700029509464077,-1.5001429237568085
15,-0.8413164749491522,-6.546469569957856,-2.700029607973868,-1.5001434576795174
16,-0.8413161599230756,-6.546467120494083,-2.7000297060607004,-1.5001439904251397
17,-0.8413155495371436,-6.546462346347107,-2.7000299011414004,-1.500145052850146
18,-0.8357248096242325,-6.5182948831761465,-2.7000299982117837,-1.5001455827332815
19,-0.8368646104255747,-6.489720268090714,-2.70003009501316,-1.5001461118491275
20,-0.834759224823969,-6.46162340697274,-2.700030191574363,-1.500146640275759
21,-0.8334122407778652,-6.432505980473209,-2.7000302879211566,-1.5001471680834104
22,-0.8349537570855542,-6.403898283645283,-2.700030384076559,-1.5001476953352626
23,-0.8366198133030535,-6.375775928045682,-2.7000304800611468,-1.5001482220881521
24,-0.8369059714098973,-6.347538452354531,-2.700030575893302,-1.5001487483932097
25,-0.8380624192359274,-6.317679345715369,-2.7000306715894524,-1.5001492742964337
26,-0.8407961747402403,-6.288932156165702,-2.7000307671642783,-1.500149799839205
27,-0.8416391965988935,-6.260654845025829,-2.7000308626308955,-1.5001503250587533
28,-0.8445420587377457,-6.231687401951273,-2.700030958001027,-1.5001508499885716
29,-0.847613382852964,-6.202188691383013,-2.70003105328515,-1.500151374658793
30,-0.8488318077929828,-6.173327621105781,-2.700031148492619,-1.5001518990965281
31,-0.8508965143215093,-6.144113955201085,-2.7000312436318037,-1.5001524233261674
32,-0.8541403792681557,-6.114354577485403,-2.700031338710175,-1.5001529473696569
33,-0.8558129318953446,-6.085622225569499,-2.7000314337344165,-1.50015347124674
34,-0.85653311407328,-6.084922086414959,-2.700031528710495,-1.5001539949751828
35,-0.8565163292705983,-6.0849473022615,-2.7000316236437425,-1.5001545185709697
36,-0.8565170044126343,-6.08493854437864,-2.7000317185389267,-1.5001550420484824
37,-0.8565170886732376,-6.084938088541782,-2.7000318134003094,-1.5001555654206624
38,-0.8565167923527748,-6.084938164854981,-2.7000320030364886,-1.5001566118944314
39,-0.859006477862853,-6.057095347374443,-2.700032097817725,-1.500157135015926
40,-0.8632482807926619,-6.027673032942416,-2.700032192578122,-1.5001576580721205
