row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,1,0,0,165,-133.2116221487522,-3.0,-4.0,-2.8191724504468576,,,,,,0.4012133160180888,6.501055089897095,9.496846937801496e-05
,2,movebase,diffusion,True,1,0,0,167,-138.6784169971943,-3.0,-4.0,2.6883455991107548,,,,,,0.062207062004649566,6.049968324222422,9.980778010655181e-05
,3,movebase,diffusion,True,0,1,0,291,17.10986316204071,-3.0,-4.0,2.7071905839636132,,,,,,8.574241617857673,4.297696020866616,1.1385095007924549e-05
,4,movebase,diffusion,True,1,0,0,200,-156.92993856221437,-3.0,-4.0,2.7448764977571325,,,,,,0.4396653658874675,6.050225017341801,8.343607912699027e-05
,5,movebase,diffusion,True,1,0,0,140,-130.28051128983498,-3.0,-4.0,-2.6016373691812307,,,,,,0.21292279261210467,3.6336204469727487,8.821380951417374e-05
,6,movebase,diffusion,True,1,0,0,150,-125.67222709953785,-3.0,-4.0,1.3339083239620293,,,,,,0.6516919619553957,5.3140949536986914,0.00010036966347064653
,7,movebase,diffusion,True,1,0,0,135,-144.70498825609684,-3.0,-4.0,-0.47040644124251785,,,,,,0.9263209503431741,2.506256834282891,9.581780679492475e-05
,8,movebase,diffusion,True,1,0,0,167,-133.19257885962725,-3.0,-4.0,-2.7852162597683767,,,,,,0.39166157369025323,7.1262140315488915,9.367547498566198e-05
,9,movebase,diffusion,True,1,0,0,76,-114.52540094405413,-3.0,-4.0,2.5062136618392503,,,,,,0.9467661387356493,2.3479124620799476,0.00012629907598238303
,10,movebase,diffusion,True,1,0,0,170,-137.5476799532771,-3.0,-4.0,1.2137249809662578,,,,,,0.49039160155151307,6.696603063113052,0.00010703616405864306
,11,movebase,diffusion,True,1,0,0,236,-181.39580741524696,-3.0,-4.0,2.1279316830189785,,,,,,3.533313500990464,6.150312028354907,6.880156124469776e-05
,12,movebase,diffusion,True,1,0,0,191,-162.19828289747238,-3.0,-4.0,2.211944044911888,,,,,,11.237769750071315,5.779301201276284,0.00010848014455685103
summary,all,movebase,diffusion,True,,,,,,,,,,-128.43563260510564,0.08333333333333333,0.9166666666666666,0.0,2.322347135976479,5.2044382894712795,8.985759368562196e-05
