step,ego_x,ego_y,adv_x,adv_y
0,-4.203795914310929,-7.262885411311415,-4.3476451842242865,-0.5678275346056052
1,-4.20294391181075,-7.23948680349158,-4.34770096478676,-0.5677671357773201
2,-4.206348569416771,-7.212605560903206,-4.335675176453637,-0.5830255618357743
3,-4.211065418649923,-7.191092073831241,-4.322933014422358,-0.5985664867099157
4,-4.218034360345004,-7.168033717927942,-4.3150688557985815,-0.6169079011405925
5,-4.222681926673532,-7.144916887166278,-4.304334019500536,-0.630561397845349
6,-4.228723409398468,-7.128072169177835,-4.2927329726573324,-0.6416006216930695
7,-4.224922417319948,-7.104438870865217,-4.284313628646559,-0.6609353390487919
8,-4.219703282325213,-7.076562838483199,-4.274988579292532,-0.6732271033817777
9,-4.220111636439005,-7.057247899037432,-4.2728913798344665,-0.6817136622753791
10,-4.2203089752788046,-7.057154089835097,-4.2727354262337665,-0.6875763306810582
11,-4.220336729115674,-7.057161201529667,-4.274367037278296,-0.6920247787863555
12,-4.220335487469789,-7.057163194787394,-4.273277492432333,-0.6961058889529391
13,-4.220334007471457,-7.057164837222725,-4.275132749770093,-0.7006673034419199
14,-4.220332542411317,-7.057166458967939,-4.280028590479941,-0.7066718187814691
15,-4.220331090866968,-7.05716806384897,-4.286949740631309,-0.7143049014710183
16,-4.220328494859235,-7.057170935819575,-4.29927580513982,-0.7284596353411125
17,-4.224143582698801,-7.047392644472856,-4.308899493420327,-0.7429464403423433
18,-4.231223877618516,-7.035003865718181,-4.312794769578877,-0.7648937281704978
19,-4.238728278249703,-7.020783826089698,-4.3220625713805525,-0.7800254518089957
20,-4.236334296082026,-7.003500185011128,-4.334399286370802,-0.7996735995166263
21,-4.23966879180982,-6.997657851059651,-4.341681489741067,-0.8231151049725609
22,-4.238876395058095,-6.994593545134586,-4.353260800104453,-0.8419047195141464
23,-4.2327839585229805,-6.994779516673148,-4.3639384156759435,-0.8614613133542236
24,-4.229786151242883,-6.991274224688245,-4.3741153087250275,-0.8850522824950923
25,-4.227008110309063,-6.987344086988074,-4.3844077256733724,-0.9091954050832187
26,-4.223948700461888,-6.981383447767897,-4.394350907595469,-0.9308537176613513
27,-4.217665112840642,-6.957297235699994,-4.403555193663525,-0.9564309359843663
28,-4.21094858179692,-6.937475606113093,-4.4114173969664865,-0.9821307400793374
29,-4.21084914853019,-6.937359673575314,-4.418239485435193,-1.0079859600818653
30,-4.210848347567371,-6.937359216296889,-4.416438671828258,-1.035663710890028
31,-4.2108474206693325,-6.9373589766656885,-4.4191778173713105,-1.0643912395381108
32,-4.210846501269622,-6.9373587438823465,-4.42537444758582,-1.092257069999993
33,-4.210845590259382,-6.937358514629693,-4.430727651647653,-1.1215902565145193
34,-4.210843789229246,-6.937358064791315,-4.4355836164568085,-1.179221102982532
35,-4.198312830367994,-6.931710495731188,-4.438081335337562,-1.2088894359064881
36,-4.183555943856352,-6.922766879123946,-4.440463729894783,-1.2379356502481105
37,-4.170685827959079,-6.908333821509744,-4.442116177611673,-1.2663809363144813
38,-4.153145731495709,-6.890538115230696,-4.444049127519174,-1.296031448777542
39,-4.136095949131998,-6.877682218968238,-4.4456231716126355,-1.3254448958648584
40,-4.119254991675317,-6.866796607462675,-4.446895432030324,-1.354106085588979
41,-4.107458018342773,-6.8465301331842525,-4.448342877121366,-1.3836590248906944
42,-4.091841925745807,-6.831300352938883,-4.4496393742678375,-1.413821591548524
43,-4.074085877698799,-6.812923865041155,-4.450559819883354,-1.4426280771395323
44,-4.055954720128118,-6.794070737232549,-4.451593046151198,-1.4720997400990852
45,-4.056033014103071,-6.79355723930224,-4.4526327036772715,-1.5026466966098484
46,-4.056034749816099,-6.793558845380356,-4.453475616933254,-1.5312289013427
47,-4.056035243879116,-6.793559235872068,-4.454369154727825,-1.560597180628229
48,-4.056035677474144,-6.793559553198274,-4.4551371060726614,-1.5912976336395486
49,-4.05603605204612,-6.793559813658207,-4.455547352484879,-1.6205197870019614
50,-4.0560363764860945,-6.793560026007056,-4.456264138557775,-1.6503561970092286
51,-4.056036658430681,-6.793560197594461,-4.456764480332318,-1.6808051746478228
52,-4.056036904358314,-6.79356033465138,-4.457154466673878,-1.7110513436837684
53,-4.05603711976352,-6.793560442460323,-4.457661745276241,-1.7405337184627456
54,-4.056037476936329,-6.793560587563301,-4.458389964781654,-1.8016766895732312
55,-4.042425107792548,-6.772953718650886,-4.458726736324205,-1.8309427177752087
56,-4.027448222886834,-6.751239389496397,-4.4590061061562185,-1.8612667809808539
57,-4.0111302332410625,-6.727244361799999,-4.4593021622044,-1.8918569539767882
58,-3.9945459917814663,-6.704518933142859,-4.459516210874148,-1.9209330490113987
59,-3.978106567732791,-6.681894200827661,-4.4597345785082005,-1.9510113762975043
60,-3.961995903169575,-6.659622395062399,-4.459954715323416,-1.981955768792123
61,-3.9463849835093265,-6.634764832313841,-4.460136733805992,-2.0111479209141114
62,-3.9309194283062014,-6.611518495860568,-4.460321051858073,-2.041146656004205
63,-3.9159776269422055,-6.589489963458661,-4.4604339182517645,-2.0720622985467023
64,-3.902670832962472,-6.564605156328353,-4.460639751366837,-2.100897379083689
65,-3.8869444662233463,-6.53940368109489,-4.460778153623855,-2.1308417354955567
66,-3.8870184857431034,-6.537982969462579,-4.460875722420526,-2.1615861239332075
67,-3.8870193481879074,-6.537985015997777,-4.46104825207268,-2.190808291403932
68,-3.8870191714471583,-6.5379847292516935,-4.461179405537806,-2.220695999426699
69,-3.8870190147447112,-6.537984321343836,-4.46125537198292,-2.25114508447741
70,-3.8870186612467075,-6.537983825388151,-4.4590606832543225,-2.263112637998389
71,-3.8870182041370462,-6.537983193621556,-4.456604719515661,-2.2824058498955573
72,-3.8870177780329964,-6.537982541286373,-4.457540326173856,-2.3079108700521602
73,-3.887016934241168,-6.537981193615976,-4.458635782627433,-2.3501210882677244
74,-3.8772767570012263,-6.511451410164145,-4.45997067420779,-2.371755380541406
75,-3.8640723525213145,-6.485703755907691,-4.461272181231893,-2.3926073011600844
76,-3.8492511579993476,-6.458907827501827,-4.46387402328435,-2.41016535117261
77,-3.8350779641448276,-6.432554016597411,-4.469034668758027,-2.4284766161973406
78,-3.8214405166463052,-6.407518859136685,-4.475639435441741,-2.446047660330908
79,-3.8075368160703484,-6.38090257911703,-4.482969353307623,-2.460758960270275
80,-3.793521864109723,-6.354074535225262,-4.496514429039346,-2.4741576326808015
81,-3.7802813236411774,-6.329314879797898,-4.498361311738376,-2.491453198207476
82,-3.7672859166289583,-6.302953735370268,-4.500619577206407,-2.5280466368340666
83,-3.754054624891491,-6.275676690422182,-4.505235608777833,-2.582924544976986
84,-3.7547529559262447,-6.27610859192072,-4.52084951838696,-2.6504237693127077
85,-3.755277490239727,-6.2774127164707645,-4.534345101722323,-2.6922592854699805
86,-3.755699740193927,-6.278673680339913,-4.539406827738943,-2.7217301595179317
87,-3.7557319844801516,-6.279000081142267,-4.543119499764859,-2.7492409403636797
88,-3.7555882211627365,-6.278695305031804,-4.546325229743695,-2.7764120810499127
89,-3.755445182795297,-6.278376344457908,-4.545906100414007,-2.8048288633114056
90,-3.755435085969404,-6.278336853127131,-4.543357619040529,-2.8324156667626403
91,-3.7554348758406295,-6.278332488249405,-4.543998976566766,-2.8580219707444994
