row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,movebase,True,0,1,0,158,61.926248863339424,-3.0,-4.0,-2.8191724504468576,,,,,,4.883799711875672,6.4820419806649054,7.256234804921227e-05
,2,movebase,movebase,True,1,0,0,139,-134.59528172761202,-3.0,-4.0,2.6883455991107548,,,,,,8.083426834601285,6.0283399901596955,8.40326545141954e-05
,3,movebase,movebase,True,0,1,0,203,38.8412294536829,-3.0,-4.0,2.7071905839636132,,,,,,5.084102754385179,3.9592045086791106,8.898454311969611e-05
,4,movebase,movebase,True,0,1,0,171,48.12521630525589,-3.0,-4.0,2.7448764977571325,,,,,,3.839435644932995,6.071189856952163,8.783265281730253e-05
,5,movebase,movebase,True,0,1,0,172,57.228705391287804,-3.0,-4.0,-2.6016373691812307,,,,,,3.601768760459759,3.618200778025053,9.477152948931878e-05
,6,movebase,movebase,True,0,1,0,157,72.41520000994205,-3.0,-4.0,1.3339083239620293,,,,,,2.6837656769054528,5.3092783003741815,5.876229197298164e-05
,7,movebase,movebase,True,0,1,0,169,47.660578206181526,-3.0,-4.0,-0.47040644124251785,,,,,,1.8145274752760299,2.475055529548942,9.425803390743581e-05
,8,movebase,movebase,True,0,1,0,157,64.91917879134417,-3.0,-4.0,-2.7852162597683767,,,,,,5.51071922984943,7.155818285677609,8.377945315590912e-05
,9,movebase,movebase,True,1,0,0,136,-135.30656972527504,-3.0,-4.0,2.5062136618392503,,,,,,4.447474880987893,2.338489405092262,8.251246738658913e-05
,10,movebase,movebase,True,1,0,0,243,-193.01947005838156,-3.0,-4.0,1.2137249809662578,,,,,,7.449315308264337,6.742685046625179,6.376195706322918e-05
,11,movebase,movebase,True,0,0,0,400,-83.61957927048206,-3.0,-4.0,2.1279316830189785,,,,,,13.309756033121072,6.0976982777575515,3.1207754516057476e-05
,12,movebase,movebase,True,0,0,0,400,-97.08800901472569,-3.0,-4.0,2.211944044911888,,,,,,28.565926073364853,5.857224547055892,1.4150708531062119e-10
summary,all,movebase,movebase,True,,,,,,,,,,-21.042712731286883,0.5833333333333334,0.25,0.0,7.439501532001995,5.177935542217711,7.020548562491773e-05
