step,ego_x,ego_y,adv_x,adv_y
0,-0.46358924699069204,-5.918951844840843,0.34111286290091264,-3.723277184955012
1,-0.4654561704385083,-5.902798624157571,0.32867278625525187,-3.7393779531172395
2,-0.46540739137031023,-5.885183949780033,0.31638570457853593,-3.7576342620084664
3,-0.47332918125297035,-5.868137492064047,0.3022256607343196,-3.7695133192959536
4,-0.4772876852606843,-5.857414729819536,0.2834363666103383,-3.780505192479756
5,-0.49145823455358983,-5.841426202318178,0.26834238273933475,-3.7942512052933957
6,-0.48616432225057116,-5.82293902393601,0.2642794441687169,-3.7959610121827265
7,-0.4887707916001414,-5.79833687322607,0.26198183491256144,-3.7960634767639196
8,-0.4878393799330752,-5.77649669477261,0.2624795216471915,-3.7950391877421703
9,-0.4795256184474967,-5.760397753964952,0.2602087733147634,-3.792835480205124
10,-0.47903337393142426,-5.760250599860159,0.2476174582807325,-3.7888571640765454
11,-0.478884821583473,-5.760157977588644,0.2424319892586075,-3.790591730485117
12,-0.47876985174195896,-5.760081722083909,0.2304371470106322,-3.7885432393542207
13,-0.47871616951769125,-5.760012712661897,0.20731975135613795,-3.783605075102408
14,-0.4785728818359119,-5.75993986929623,0.19143500840269562,-3.77753902659449
15,-0.47845691065197016,-5.7598692648029814,0.17171060657550896,-3.7698075920184144
16,-0.47818247366514754,-5.759738687425248,0.13806206042244482,-3.7624208480611587
17,-0.4715774903907321,-5.743342165515441,0.11710786014767573,-3.754793646914663
18,-0.46399875907380544,-5.725982245124349,0.1049541428413079,-3.741396194061361
19,-0.46054292444691497,-5.721336554836915,0.09244708246096756,-3.7291471517821186
20,-0.4573860882837652,-5.714215886768635,0.07812329805675763,-3.717531324727283
21,-0.454193047173817,-5.707186796000025,0.060307131725657576,-3.7038106068436005
22,-0.4525523856560346,-5.701730621237361,0.04487392020254761,-3.692125117155462
23,-0.45248305369075753,-5.698375259669643,0.03316359712225176,-3.6819573624073616
24,-0.4515263318882462,-5.694148490993931,0.009964864782515286,-3.6788673589857637
25,-0.460859017567688,-5.675422787950811,-0.01224457020665199,-3.6690004020292943
26,-0.4709882588622497,-5.651791880940308,-0.03311389573395375,-3.657758490390588
27,-0.48090584403635206,-5.628662966826008,-0.056754631214743514,-3.650509766761476
28,-0.4933180552476369,-5.61708827820938,-0.08330258800563252,-3.648467555560511
29,-0.5079161154167464,-5.609870505709272,-0.10639482600760594,-3.6398619638270224
30,-0.5202040267704748,-5.591520252149224,-0.12931140856691611,-3.631642249520866
31,-0.5356082889716949,-5.582113746076436,-0.15560052513688488,-3.6242041709658754
32,-0.5509786888041738,-5.573114493003205,-0.17982061931778712,-3.6178911493154393
33,-0.5684445093109503,-5.561064339045993,-0.2034983152616101,-3.6126032922055553
34,-0.5805108610438462,-5.544427984390403,-0.22963904867488585,-3.6069796442710813
35,-0.5928502508537394,-5.519751198149392,-0.257671661756749,-3.6014083931904755
36,-0.5925786818724318,-5.518678697436995,-0.28375637046241614,-3.59715492093598
37,-0.5925803858304689,-5.5186763531480345,-0.3128132121137517,-3.597376882347774
38,-0.5925824274301866,-5.518674722189661,-0.34133646571922555,-3.593431934591982
39,-0.592584338858617,-5.518673202996364,-0.36936220679546244,-3.5906980342107055
40,-0.5925861407021138,-5.518671774894023,-0.39864102433197196,-3.5869223789868965
41,-0.5925878517043942,-5.518670422282958,-0.4581727404435256,-3.579389952067949
42,-0.5925910607534937,-5.5186678940263985,-0.4873664493365987,-3.5765845846240545
43,-0.6097555243267868,-5.502896692962544,-0.5169813751868252,-3.57320328208813
44,-0.6280064625914134,-5.484749417295317,-0.546509281851004,-3.5698602932721375
45,-0.6445780079695782,-5.465101579723075,-0.5755905126028895,-3.567964205118844
46,-0.6616469820462736,-5.447627757715214,-0.6050341384204825,-3.5650043295638536
47,-0.6745473054301346,-5.426481544574859,-0.63438582017781,-3.562240624600216
48,-0.6881158890428454,-5.403652341244069,-0.6638841557432904,-3.5605525402762526
49,-0.7060476162825208,-5.382664287878463,-0.6931380101565913,-3.5580104540323667
50,-0.7202980127483631,-5.360454381365063,-0.7222426546962963,-3.555556754193215
51,-0.7310111509724716,-5.33342078371252,-0.7517169791250046,-3.5540579121644273
52,-0.746819803305603,-5.310279506256455,-0.7813314633854852,-3.5538094166665264
53,-0.7624396292876852,-5.2867502896137335,-0.8100576136414502,-3.5518339566126915
54,-0.7739242468669099,-5.2602112118748385,-0.8395572076781239,-3.5505726047629134
55,-0.787354857174627,-5.235474081782449,-0.8687297765271835,-3.549428968491875
56,-0.8019582567641375,-5.210759610787678,-0.8972630063499718,-3.5475788137673887
57,-0.8149714831880033,-5.185181901248967,-0.9267189643173005,-3.546470016712386
58,-0.8294241465205751,-5.160224346767975,-0.9564959781074831,-3.5472055380002825
59,-0.8442231077274653,-5.134518978225399,-0.9863316182297667,-3.5460566219864735
60,-0.8584209133672662,-5.108145382238133,-1.0162619548542688,-3.5449600287800305
61,-0.8576406343078853,-5.10710503702215,-1.0463675120370528,-3.5438703005178747
62,-0.8576503971739251,-5.107107925217163,-1.0761551395750781,-3.5427200772990752
63,-0.8576459999166813,-5.107052243386234,-1.1058957673400696,-3.5416927409186947
64,-0.8576498302073693,-5.107050387826232,-1.1360032315206825,-3.5406040896460396
65,-0.8576527896779129,-5.107045126563878,-1.195158875161649,-3.5384022981161913
66,-0.8707517132482282,-5.083260087198903,-1.2252664098032604,-3.537416755405408
67,-0.8852988637870057,-5.057541853751356,-1.2549135982485067,-3.5364573688956926
68,-0.9000129492939825,-5.031283479663445,-1.2844172739176172,-3.5354155334692967
69,-0.9144578825804203,-5.005517169348511,-1.3144946901698449,-3.5344522392384885
70,-0.9289078584047374,-4.98002578836885,-1.3442165789072484,-3.5336334267180423
71,-0.9433938993252775,-4.953657815124646,-1.3733450852885962,-3.532642789576295
72,-0.957632765763557,-4.927711877250807,-1.4033351831776304,-3.531893553379347
73,-0.971716558910683,-4.902791725266551,-1.4331664116814742,-3.5312140447316187
74,-0.9855219160823274,-4.87639921333124,-1.462280998693332,-3.530461671718329
75,-0.9986719133213121,-4.850512401178145,-1.492247336122067,-3.5298557626801292
76,-1.0123751230283309,-4.825890347750233,-1.522117780434391,-3.5294292475608704
77,-1.0258721548549747,-4.799570972145164,-1.5508852772104087,-3.5290080153894174
78,-1.0388208648038002,-4.7735995864017156,-1.5808860087110765,-3.5287732711983195
79,-1.0521431849437133,-4.748676156257253,-1.6108515753850452,-3.5285377724961426
80,-1.0534003663983358,-4.747181907406584,-1.6395533167870262,-3.5283903094603355
81,-1.0534412388532257,-4.747120089432152,-1.6694703992333462,-3.5285256436056462
82,-1.05347673186957,-4.747062209545601,-1.699390372022735,-3.5286166048840677
83,-1.0535035979832448,-4.747017172816307,-1.7281047731364072,-3.528872471270275
84,-1.0535245134773126,-4.74698344430777,-1.758006924303851,-3.5296532188329945
85,-1.0535505909295253,-4.746939632047147,-1.8167258199820862,-3.5310907862182876
86,-1.0634406570386936,-4.721306032817927,-1.846119366131944,-3.533199370927632
87,-1.0747096646037018,-4.69657471629639,-1.8761477944163254,-3.5341777448133964
88,-1.085018941446499,-4.672612021974986,-1.905618239729715,-3.535251131103952
89,-1.087331885871954,-4.644505746825608,-1.9349318458874454,-3.5372575168863993
90,-1.0922904465615118,-4.618713183374262,-1.9649246627543386,-3.538858140074395
91,-1.100778299724868,-4.591080445551198,-1.9950566347765837,-3.5403166253996643
92,-1.1091073398207474,-4.563155077451472,-2.0244374956118234,-3.54226381657484
93,-1.1177464837085862,-4.535001661203946,-2.0543857144389404,-3.544541422038036
94,-1.1270884259174694,-4.506290000372956,-2.0843698699369764,-3.5464279698585446
95,-1.1359460495086193,-4.478002661482603,-2.1138256169438425,-3.5487797094116145
96,-1.1450672241368693,-4.449530950718135,-2.1433608921240714,-3.5510671380036314
97,-1.1541550862720624,-4.4212098189256555,-2.17337409532246,-3.553410038445918
98,-1.1631296109630413,-4.3929093208805625,-2.2031432292550273,-3.5560269504673268
99,-1.1722558594414338,-4.364340607106616,-2.2325324094007173,-3.5588387057476374
100,-1.1814413180722991,-4.335838030266186,-2.2623109071949514,-3.5616062840371754
101,-1.190477928793768,-4.307550057196857,-2.291919160357715,-3.5644957255572507
102,-1.1903876035310827,-4.30729059941667,-2.320825915502441,-3.5681137196504107
103,-1.1903878945810102,-4.307290054270354,-2.3499584168638425,-3.571240277433014
104,-1.190388117095156,-4.307289417185878,-2.3787915312998487,-3.574723857485879
105,-1.1903883482165443,-4.307288746761294,-2.406996147065223,-3.5806258020317623
106,-1.1903885872478706,-4.30728804766438,-2.4348835730563523,-3.5846480114804833
107,-1.190389084956632,-4.307286578324609,-2.4894648980950733,-3.5959796981768783
108,-1.1967155985758213,-4.278564433092729,-2.5150017334851897,-3.602773758884443
109,-1.205546527244582,-4.250536442081973,-2.5387904765534106,-3.6088890688383315
110,-1.2144741015979323,-4.222048174103138,-2.5642151961634245,-3.6167845930778495
111,-1.2234231235629855,-4.193209455554634,-2.588681310517169,-3.6259547818338653
112,-1.2324513290363441,-4.1648643876577145,-2.609911068472253,-3.6341821837618613
113,-1.2414697612053271,-4.136483431483969,-2.6308957154849884,-3.652705176821952
114,-1.2505783806150395,-4.1079325086274965,-2.653239573622063,-3.662657480348457
115,-1.2599704052007001,-4.079617875954375,-2.6783595848534807,-3.674631911774732
116,-1.2702593534544386,-4.051773212845887,-2.698016496641438,-3.692673123872109
117,-1.27982866606528,-4.023801364002499,-2.7163720450299786,-3.7146860533233186
118,-1.2897604806064358,-3.995539610100394,-2.7378755966972204,-3.7288918797857398
119,-1.302336097156201,-3.9694121321896674,-2.760575527298763,-3.7452245521654266
120,-1.3129684509652875,-3.942419671083826,-2.782070666790775,-3.763530771185792
121,-1.3254292947684785,-3.9176948260992424,-2.805432610624749,-3.7788041350355694
122,-1.3405535419683068,-3.893907846844413,-2.828956596950942,-3.7957986956727527
123,-1.353667202981439,-3.8703675451003305,-2.851902881853164,-3.8142821775801212
124,-1.3660714076278382,-3.846866795106405,-2.874849565119667,-3.83028106484483
125,-1.38211960073041,-3.8244584503273837,-2.8970841685205713,-3.8478109624125563
126,-1.3953930653694582,-3.801887753782111,-2.9209226012068976,-3.8656875274457927
127,-1.3962816367522901,-3.802009932191384,-2.9442987525594324,-3.8830010693112738
128,-1.396282450308132,-3.80200880851486,-2.967446298334144,-3.900544551340223
129,-1.3962829878207241,-3.802007739689981,-2.9911331460916504,-3.918455884136974
130,-1.3962835474941984,-3.8020064262452387,-3.014140822908309,-3.935717962517119
131,-1.3962841096283647,-3.8020054042487237,-3.036722940638102,-3.9532369159741516
132,-1.3962846267336213,-3.802004399821967,-3.083230716547524,-3.9892875316937313
133,-1.3962999447426578,-3.801975655204951,-3.1041262967557888,-4.007120971406156
134,-1.4088321249352311,-3.7826215868257784,-3.125637262034407,-4.0273098265568255
135,-1.4250991360352958,-3.761914982345527,-3.148861098848956,-4.0458993233206675
