sample_id,step,x,y
0,0,-2.72269868850708,-1.5943835973739624
0,1,-2.739555835723877,-1.694166898727417
0,2,-2.7567527294158936,-1.793541669845581
0,3,-2.7882838249206543,-1.8871649503707886
0,4,-2.8086416721343994,-1.9873214960098267
0,5,-2.8348186016082764,-2.075793981552124
0,6,-2.8555946350097656,-2.1590828895568848
0,7,-2.861555814743042,-2.2397782802581787
0,8,-2.884187698364258,-2.3035402297973633
0,9,-2.9008383750915527,-2.3765008449554443
0,10,-2.92610502243042,-2.454025983810425
0,11,-2.958230972290039,-2.5158984661102295
0,12,-2.9924097061157227,-2.57592511177063
0,13,-3.0202693939208984,-2.629781723022461
0,14,-3.0332930088043213,-2.6937263011932373
0,15,-3.0595345497131348,-2.754465103149414
1,0,-2.7231671810150146,-1.598183035850525
1,1,-2.7395083904266357,-1.684425711631775
1,2,-2.7627434730529785,-1.776646614074707
1,3,-2.785839080810547,-1.8653960227966309
1,4,-2.813265562057495,-1.9575623273849487
1,5,-2.8261096477508545,-2.0452966690063477
1,6,-2.8408002853393555,-2.1220450401306152
1,7,-2.846160650253296,-2.1967527866363525
1,8,-2.8498294353485107,-2.270500898361206
1,9,-2.862215042114258,-2.3393282890319824
1,10,-2.8902549743652344,-2.414090633392334
1,11,-2.9036264419555664,-2.481736183166504
1,12,-2.921417236328125,-2.554511308670044
1,13,-2.934340476989746,-2.618602752685547
1,14,-2.942671537399292,-2.6826012134552
1,15,-2.969240665435791,-2.7502405643463135
2,0,-2.7140963077545166,-1.5960757732391357
2,1,-2.7345962524414062,-1.6908077001571655
2,2,-2.757392406463623,-1.7851613759994507
2,3,-2.77046537399292,-1.8818377256393433
2,4,-2.8003485202789307,-1.9743403196334839
2,5,-2.8200979232788086,-2.0667662620544434
2,6,-2.83512544631958,-2.175994396209717
2,7,-2.855386972427368,-2.2688965797424316
2,8,-2.871347427368164,-2.3553171157836914
2,9,-2.883230209350586,-2.4352800846099854
2,10,-2.908623456954956,-2.5103862285614014
2,11,-2.9194440841674805,-2.587401866912842
2,12,-2.9171886444091797,-2.6416280269622803
2,13,-2.919989824295044,-2.718592882156372
2,14,-2.925445556640625,-2.779815196990967
2,15,-2.932737112045288,-2.8441615104675293
3,0,-2.7236533164978027,-1.5961320400238037
3,1,-2.7512247562408447,-1.6819710731506348
3,2,-2.7678308486938477,-1.7744423151016235
3,3,-2.798802137374878,-1.8650544881820679
3,4,-2.8332011699676514,-1.9493027925491333
3,5,-2.8603053092956543,-2.038910388946533
3,6,-2.8967881202697754,-2.1281306743621826
3,7,-2.9228086471557617,-2.2039661407470703
3,8,-2.9449424743652344,-2.2979044914245605
3,9,-2.9708356857299805,-2.384479522705078
3,10,-3.0008163452148438,-2.4648942947387695
3,11,-3.0159952640533447,-2.5468506813049316
3,12,-3.031928300857544,-2.6235973834991455
3,13,-3.0603220462799072,-2.6965548992156982
3,14,-3.077279806137085,-2.7624666690826416
3,15,-3.0932974815368652,-2.827286720275879
4,0,-2.7206637859344482,-1.5951744318008423
4,1,-2.7506656646728516,-1.6936571598052979
4,2,-2.775048017501831,-1.787872552871704
4,3,-2.800304412841797,-1.8881442546844482
4,4,-2.8350298404693604,-1.9903552532196045
4,5,-2.8595075607299805,-2.089364528656006
4,6,-2.887307643890381,-2.1879727840423584
4,7,-2.8919148445129395,-2.2746129035949707
4,8,-2.9393057823181152,-2.3439221382141113
4,9,-2.971393346786499,-2.4339702129364014
4,10,-2.998861074447632,-2.512915849685669
4,11,-3.0209202766418457,-2.5968375205993652
4,12,-3.0453057289123535,-2.6784684658050537
4,13,-3.0655272006988525,-2.7576394081115723
4,14,-3.0880661010742188,-2.8304333686828613
4,15,-3.1154987812042236,-2.9079527854919434
5,0,-2.7225470542907715,-1.5924363136291504
5,1,-2.736855983734131,-1.6887202262878418
5,2,-2.758481502532959,-1.7809605598449707
5,3,-2.7782647609710693,-1.8676445484161377
5,4,-2.802969217300415,-1.97013521194458
5,5,-2.8213860988616943,-2.0641417503356934
5,6,-2.848487138748169,-2.155802011489868
5,7,-2.871150016784668,-2.235769271850586
5,8,-2.8944973945617676,-2.3134214878082275
5,9,-2.9141790866851807,-2.39462947845459
5,10,-2.9378654956817627,-2.457061290740967
5,11,-2.961010694503784,-2.5222463607788086
5,12,-2.986647367477417,-2.59633469581604
5,13,-3.0087921619415283,-2.6663670539855957
5,14,-3.0256130695343018,-2.7325375080108643
5,15,-3.039591073989868,-2.804879665374756
6,0,-2.7242774963378906,-1.5910758972167969
6,1,-2.7438580989837646,-1.681726336479187
6,2,-2.765878200531006,-1.7813096046447754
6,3,-2.78855299949646,-1.8695199489593506
6,4,-2.816336154937744,-1.9629111289978027
6,5,-2.8460891246795654,-2.0487260818481445
6,6,-2.873847007751465,-2.146113634109497
6,7,-2.894102096557617,-2.234225034713745
6,8,-2.9232125282287598,-2.3173463344573975
6,9,-2.9408087730407715,-2.4018218517303467
6,10,-2.9657320976257324,-2.4847028255462646
6,11,-2.990514039993286,-2.557832956314087
6,12,-3.0125834941864014,-2.6256866455078125
6,13,-3.014616012573242,-2.698981523513794
6,14,-3.032946825027466,-2.7666940689086914
6,15,-3.0562703609466553,-2.8203978538513184
7,0,-2.7243707180023193,-1.5942213535308838
7,1,-2.7515146732330322,-1.6918559074401855
7,2,-2.7738780975341797,-1.781348705291748
7,3,-2.793008327484131,-1.8732596635818481
7,4,-2.818887948989868,-1.9541136026382446
7,5,-2.85292387008667,-2.0359394550323486
7,6,-2.884289264678955,-2.1125876903533936
7,7,-2.908294916152954,-2.1926136016845703
7,8,-2.9389607906341553,-2.285581350326538
7,9,-2.9665956497192383,-2.3765664100646973
7,10,-3.009514331817627,-2.458545684814453
7,11,-3.0389833450317383,-2.5423152446746826
7,12,-3.0673434734344482,-2.6145730018615723
7,13,-3.100883960723877,-2.6841561794281006
7,14,-3.120021343231201,-2.7465996742248535
7,15,-3.1298625469207764,-2.811751127243042
8,0,-2.722491502761841,-1.6046961545944214
8,1,-2.740492105484009,-1.7013732194900513
8,2,-2.750990867614746,-1.7928798198699951
8,3,-2.7697641849517822,-1.8839404582977295
8,4,-2.775315046310425,-1.9809441566467285
8,5,-2.805906295776367,-2.067767858505249
8,6,-2.825042963027954,-2.1516356468200684
8,7,-2.841623544692993,-2.227888345718384
8,8,-2.8711252212524414,-2.311384916305542
8,9,-2.881425380706787,-2.3966262340545654
8,10,-2.9138219356536865,-2.480393409729004
8,11,-2.9454498291015625,-2.5487167835235596
8,12,-2.9990551471710205,-2.6251988410949707
8,13,-3.0342395305633545,-2.677762985229492
8,14,-3.0528857707977295,-2.747612953186035
8,15,-3.0751609802246094,-2.805255889892578
9,0,-2.753371000289917,-1.6046080589294434
9,1,-2.7676024436950684,-1.6880474090576172
9,2,-2.7956860065460205,-1.776752233505249
9,3,-2.8024823665618896,-1.8680802583694458
9,4,-2.8301141262054443,-1.9570808410644531
9,5,-2.84598970413208,-2.0430305004119873
9,6,-2.867919683456421,-2.1246724128723145
9,7,-2.885396718978882,-2.2061028480529785
9,8,-2.9075376987457275,-2.2913286685943604
9,9,-2.927241325378418,-2.3757236003875732
9,10,-2.956850290298462,-2.461656332015991
9,11,-2.9886057376861572,-2.544116258621216
9,12,-3.013723373413086,-2.631788730621338
9,13,-3.048391342163086,-2.716038942337036
9,14,-3.065988063812256,-2.790276527404785
9,15,-3.0893609523773193,-2.854790687561035
10,0,-2.713129997253418,-1.5945621728897095
10,1,-2.7492804527282715,-1.684167742729187
10,2,-2.776888847351074,-1.778568148612976
10,3,-2.8281002044677734,-1.8721977472305298
10,4,-2.8601632118225098,-1.9583708047866821
10,5,-2.9038267135620117,-2.0277469158172607
10,6,-2.9426934719085693,-2.1076700687408447
10,7,-2.9735500812530518,-2.1932501792907715
10,8,-2.996903419494629,-2.2781169414520264
10,9,-3.0372109413146973,-2.3592405319213867
10,10,-3.059288740158081,-2.44449782371521
10,11,-3.0977563858032227,-2.5357236862182617
10,12,-3.1254172325134277,-2.6268372535705566
10,13,-3.165170192718506,-2.7213621139526367
10,14,-3.185527801513672,-2.7922468185424805
10,15,-3.2037367820739746,-2.861185312271118
11,0,-2.7223398685455322,-1.5871237516403198
11,1,-2.735914468765259,-1.6721553802490234
11,2,-2.759300470352173,-1.7696969509124756
11,3,-2.776409149169922,-1.861863374710083
11,4,-2.794830560684204,-1.9612047672271729
11,5,-2.826045274734497,-2.053020477294922
11,6,-2.8567795753479004,-2.1329867839813232
11,7,-2.876502513885498,-2.224940538406372
11,8,-2.892066478729248,-2.3153016567230225
11,9,-2.9146313667297363,-2.4051103591918945
11,10,-2.936652183532715,-2.4800198078155518
11,11,-2.9472525119781494,-2.5554473400115967
11,12,-2.956216812133789,-2.632704496383667
11,13,-2.9816839694976807,-2.7095701694488525
11,14,-3.0041961669921875,-2.777836561203003
11,15,-3.018975019454956,-2.840996026992798
12,0,-2.713001251220703,-1.5979374647140503
12,1,-2.7396092414855957,-1.690987229347229
12,2,-2.7596752643585205,-1.7869203090667725
12,3,-2.7568893432617188,-1.8814680576324463
12,4,-2.7827250957489014,-1.9883754253387451
12,5,-2.8043882846832275,-2.076408863067627
12,6,-2.832026481628418,-2.1722309589385986
12,7,-2.8507745265960693,-2.250335693359375
12,8,-2.8814966678619385,-2.325273275375366
12,9,-2.8993282318115234,-2.4139459133148193
12,10,-2.9251391887664795,-2.493922710418701
12,11,-2.9432106018066406,-2.573202133178711
12,12,-2.963286876678467,-2.645888566970825
12,13,-2.9813225269317627,-2.713827133178711
12,14,-2.998032808303833,-2.7798380851745605
12,15,-3.0063583850860596,-2.850501298904419
13,0,-2.7219600677490234,-1.602737307548523
13,1,-2.7538681030273438,-1.6926515102386475
13,2,-2.779195785522461,-1.788610816001892
13,3,-2.802624225616455,-1.8873223066329956
13,4,-2.819791793823242,-1.9770344495773315
13,5,-2.8476004600524902,-2.0734686851501465
13,6,-2.858642339706421,-2.1502230167388916
13,7,-2.8912439346313477,-2.234318256378174
13,8,-2.8832075595855713,-2.326944589614868
13,9,-2.8992886543273926,-2.4087188243865967
13,10,-2.929018974304199,-2.4852828979492188
13,11,-2.932094097137451,-2.5735766887664795
13,12,-2.93503475189209,-2.6557719707489014
13,13,-2.9701592922210693,-2.7315328121185303
13,14,-2.9853217601776123,-2.8141212463378906
13,15,-3.0025079250335693,-2.8807334899902344
14,0,-2.7138636112213135,-1.591862440109253
14,1,-2.7354819774627686,-1.6845210790634155
14,2,-2.765904664993286,-1.7835127115249634
14,3,-2.785247564315796,-1.8770556449890137
14,4,-2.8006060123443604,-1.9681440591812134
14,5,-2.8196487426757812,-2.0591256618499756
14,6,-2.847533941268921,-2.1448845863342285
14,7,-2.863619089126587,-2.223843574523926
14,8,-2.8894832134246826,-2.297886371612549
14,9,-2.9167110919952393,-2.3853354454040527
14,10,-2.9246671199798584,-2.4672765731811523
14,11,-2.9378175735473633,-2.5349040031433105
14,12,-2.956169366836548,-2.6254165172576904
14,13,-2.9759819507598877,-2.6956140995025635
14,14,-2.9955332279205322,-2.762385845184326
14,15,-3.027703046798706,-2.830040216445923
15,0,-2.724915027618408,-1.6001542806625366
15,1,-2.749553918838501,-1.7031279802322388
15,2,-2.773005723953247,-1.8092416524887085
15,3,-2.7933223247528076,-1.9218482971191406
15,4,-2.8103549480438232,-2.0130560398101807
15,5,-2.8580191135406494,-2.1128032207489014
15,6,-2.883427858352661,-2.1944475173950195
15,7,-2.901526927947998,-2.2819056510925293
15,8,-2.9406256675720215,-2.3688178062438965
15,9,-2.9671247005462646,-2.4353106021881104
15,10,-2.9910905361175537,-2.5155434608459473
15,11,-3.0196280479431152,-2.5837550163269043
15,12,-3.0414326190948486,-2.648200511932373
15,13,-3.056715965270996,-2.729058265686035
15,14,-3.0882458686828613,-2.7998738288879395
15,15,-3.123115301132202,-2.8592934608459473
16,0,-2.722158908843994,-1.595405101776123
16,1,-2.7510313987731934,-1.6885219812393188
16,2,-2.781942129135132,-1.792719841003418
16,3,-2.8084423542022705,-1.8816537857055664
16,4,-2.8386948108673096,-1.9701344966888428
16,5,-2.8713138103485107,-2.059363842010498
16,6,-2.905435800552368,-2.1385958194732666
16,7,-2.936627149581909,-2.2209789752960205
16,8,-2.965414524078369,-2.303546667098999
16,9,-2.994994640350342,-2.3822579383850098
16,10,-3.0221290588378906,-2.4567043781280518
16,11,-3.044170379638672,-2.5343410968780518
16,12,-3.047011375427246,-2.6023528575897217
16,13,-3.0605905055999756,-2.6585545539855957
16,14,-3.081554889678955,-2.718254327774048
16,15,-3.077402114868164,-2.7895114421844482
17,0,-2.7010483741760254,-1.5921046733856201
17,1,-2.716594696044922,-1.6774696111679077
17,2,-2.731173038482666,-1.771578073501587
