step,ego_x,ego_y,adv_x,adv_y
0,0.1472997579252202,-2.113598901795918,-3.2647404783643745,-0.9282108630447949
1,0.12409909697573548,-2.125024727445081,-3.2647405231149467,-0.9282116764864069
2,0.10033353031221048,-2.1379731190223743,-3.2647405479131644,-0.9282123738870302
3,0.08430351756694221,-2.1539355065219046,-3.2647405777526264,-0.9282130383718533
4,0.06157254962327195,-2.1635008953769312,-3.264740606847493,-0.9282137007980921
5,0.04289454095145183,-2.1841562256364795,-3.2647406328298585,-0.928214329492954
6,0.032858182252191975,-2.198752126033058,-3.2647406565278447,-0.9282148506901933
7,0.017987063978900313,-2.220567562493063,-3.2647406831777803,-0.9282153626415072
8,1.8412614821730622e-05,-2.2421934603905704,-3.264740709124795,-0.928215873934949
9,-0.013464904066838052,-2.254848421212114,-3.264740734442813,-0.9282163846408181
10,-0.024439357255103503,-2.268281238900157,-3.2647407591991064,-0.9282168948222507
11,-0.04122917605589955,-2.287521062743054,-3.2647407834537625,-0.9282174045357121
12,-0.06081097362377753,-2.307126609050075,-3.264740807260447,-0.9282179138317002
13,-0.074617628748813,-2.3272176389200014,-3.2647408306670864,-0.9282184227553781
14,-0.08144670739469066,-2.34523043173591,-3.2647408537164893,-0.9282189313471375
15,-0.08301477076224158,-2.3449916675959472,-3.2647408764468877,-0.9282194396431029
16,-0.0830356798997595,-2.3449439552967632,-3.2647408988924247,-0.9282199476755838
17,-0.08303531237183433,-2.3449424444617595,-3.264740921083595,-0.9282204554734768
18,-0.08303503096311829,-2.3449405171773727,-3.264740943047637,-0.9282209630626264
19,-0.08303448852773807,-2.3449367914570503,-3.264740986389037,-0.9282219777047166
20,-0.10667415519621853,-2.3593034292391417,-3.264741007807518,-0.9282224847968239
21,-0.12322122361033921,-2.374231983640259,-3.264741029081653,-0.9282229917590097
22,-0.12585928016049186,-2.3817710134204315,-3.264741050226918,-0.9282234986060676
23,-0.14196654283209764,-2.393057001017206,-3.264741071257132,-0.9282240053512292
24,-0.1471178929884741,-2.405345773198287,-3.253676965286822,-0.9496594987776782
25,-0.16523532065213137,-2.4226588371561326,-3.2459304284045865,-0.9703893554624483
26,-0.17965036119255284,-2.4325965519783876,-3.24052018561253,-0.9924402986373864
27,-0.18480147135543598,-2.426463600948934,-3.2300502739631156,-1.0148421012817395
28,-0.19358508579604045,-2.4197501466657654,-3.2223732147113444,-1.036784479612786
29,-0.20266410061926335,-2.416650566589493,-3.216395937087379,-1.056848717715632
30,-0.20840146938611848,-2.4122686243400593,-3.206595971768001,-1.0804420500446275
31,-0.21245705061400735,-2.41430333497128,-3.19607421313297,-1.1074274279352523
32,-0.21012722400936976,-2.4208114364883873,-3.1882496711454706,-1.1270046802269096
33,-0.20869808860440497,-2.4238278141542975,-3.176774644017134,-1.146435760674795
34,-0.2142395649143155,-2.4262099435530784,-3.161901797732917,-1.1670300797274855
35,-0.21478613852000314,-2.4265973312663816,-3.14826446361551,-1.1895954763067877
36,-0.21478600913978477,-2.4265969115565915,-3.1318491880306496,-1.2112761321523
37,-0.21478621160506747,-2.426596760546083,-3.1142640904189873,-1.2314497171405574
38,-0.21478644683926768,-2.426596578376966,-3.0983993782668624,-1.2542035168277987
39,-0.21478670908828032,-2.4265963677351667,-3.081309674804244,-1.2777766911921877
40,-0.2147873007077636,-2.4265958756626924,-3.0476957399331295,-1.3229219285976046
41,-0.232447297781001,-2.4337786770323646,-3.0305427760277763,-1.3450270053407405
42,-0.24538833150439848,-2.434960462933529,-3.013149273794565,-1.3692259700746183
43,-0.2616970922469204,-2.436686171765717,-2.995872417402607,-1.3934225522454968
44,-0.27311953832469227,-2.4343123560142677,-2.979422458861332,-1.4180934300667685
45,-0.29207789078891344,-2.4318865504833074,-2.962146908799741,-1.4424290898227923
46,-0.31400307824805673,-2.4296495895406696,-2.9447386355060834,-1.4669513763601536
47,-0.33840084294552886,-2.4259063249049353,-2.9279013073093663,-1.4910524670065164
48,-0.3585846814702752,-2.4318393213528826,-2.9107715631687343,-1.515181328866115
49,-0.38053940164702993,-2.44827886933006,-2.893487145967897,-1.5395766974818734
50,-0.40291408283272745,-2.4586819659737347,-2.8764077065767424,-1.5640031927826883
51,-0.4257457091457528,-2.462474022488887,-2.859283401928448,-1.5882396728480175
52,-0.45277303646663747,-2.467712965968012,-2.8420358280298097,-1.6124938918975102
53,-0.47993436002021866,-2.472622545920064,-2.824754796049338,-1.6371784036133448
54,-0.5035950934801322,-2.4758744572517752,-2.807617607538912,-1.6614826734818635
55,-0.5034655424367075,-2.4758165071801477,-2.7904284140064863,-1.6856725289647685
56,-0.5034282749572209,-2.475806630547377,-2.773057073577556,-1.7104402065517605
57,-0.5034282719147365,-2.4758067059948603,-2.756516442378272,-1.735064314064991
