step,ego_x,ego_y,adv_x,adv_y
0,0.14729525856675044,-2.1136035364948444,-3.2647394643846126,-0.928204162626165
1,0.14729582046942802,-2.113602923855796,-3.253985471842614,-0.9506197549446352
2,0.1472963868899468,-2.113602316131547,-3.248441071920256,-0.9725632853868076
3,0.14729752076895583,-2.113601103266595,-3.2326024076626587,-1.018886421747969
4,0.12475226987724958,-2.1255828983193354,-3.2260413571561575,-1.041613491471182
5,0.1032542126176918,-2.1462524157893834,-3.2278325895722793,-1.0698430955562044
6,0.08992333864364956,-2.1609668133449316,-3.2298446594322683,-1.095448916960381
7,0.07561792619118994,-2.173239916918148,-3.226823470949278,-1.1203537827131544
8,0.05359552228873335,-2.192045164561714,-3.225416655045791,-1.1497007616485837
9,0.03649085863234362,-2.2118428033966553,-3.2220419885685367,-1.1753608136171365
10,0.022289725295913762,-2.230694638725599,-3.219448538581309,-1.2011207436341382
11,0.001081943029010204,-2.241634740270733,-3.2182585466273173,-1.230062045179503
12,-0.013724242317121637,-2.2612305994556468,-3.217190573122929,-1.259927951812693
13,-0.02749228251808055,-2.279650846748658,-3.216859273308626,-1.284638902897034
14,-0.04177523348836999,-2.3008739562798595,-3.220609311588728,-1.3119702413501415
15,-0.053821854622255284,-2.3238345518514305,-3.223764090847659,-1.340937208266399
16,-0.06286604759810065,-2.3389083866336438,-3.225017140238209,-1.3690961678201947
17,-0.07764959022322981,-2.3556882925773324,-3.230251278954643,-1.3974616276847154
18,-0.07888836607439006,-2.355990998342318,-3.2346525908590205,-1.426136889279753
19,-0.0788883422522768,-2.355991244894709,-3.2361589611649735,-1.4552986450665837
20,-0.07888843866425739,-2.3559913238867725,-3.2406705193450906,-1.4842361588356068
21,-0.07888849424859946,-2.3559913136349415,-3.244654008944585,-1.51307239118529
22,-0.07888851361875057,-2.3559912264037726,-3.24679142188233,-1.5420055821681475
23,-0.07888850161836249,-2.3559910725020274,-3.2508935659650247,-1.5715421642431582
24,-0.07888846244753876,-2.3559908608564366,-3.255961166643409,-1.600289708775292
25,-0.07888831665842948,-2.3559902942235706,-3.2614742644145744,-1.6597671852606513
26,-0.10038999164424246,-2.37471725054009,-3.2642422932897994,-1.6891265639849624
27,-0.1160293140177427,-2.3945036588625315,-3.266846959297589,-1.7181278805170779
28,-0.12297255074992827,-2.416289214934742,-3.2698583711469857,-1.7485371354762143
29,-0.1319585833498791,-2.4327649568568335,-3.2727371721968304,-1.7773471447365208
30,-0.15029472016794274,-2.4469761797745395,-3.275269851469394,-1.8052744944453758
31,-0.15346442942459532,-2.4540548167217366,-3.2794644567881255,-1.835052897325159
32,-0.16907310825245572,-2.462563196793922,-3.2833054939059227,-1.8639359424783326
33,-0.18669020212665569,-2.4737083586770026,-3.28612345996141,-1.891547062898175
34,-0.1895382225520911,-2.4873200120040035,-3.2898204508261903,-1.921337565171888
35,-0.1918127268789473,-2.4929474705757917,-3.2934862242737784,-1.9512178351766951
36,-0.19821116821811424,-2.4948262272732604,-3.2965719574098857,-1.9795859866788732
37,-0.21551599396778268,-2.5043587499162747,-3.3006265932051484,-2.0089218251686427
38,-0.23398715481173407,-2.517271980080229,-3.30483702325212,-2.0393107793232157
39,-0.23528729969890425,-2.5180125269920657,-3.3093710628322817,-2.067783874729469
40,-0.23528774573006808,-2.5180112225248306,-3.3133488342028072,-2.0973080973551084
41,-0.23528843959007334,-2.5180100991398477,-3.317404313215671,-2.1279418850341054
42,-0.23528913042723057,-2.5180089841387443,-3.321147821537318,-2.1567445568231465
43,-0.23528981634971152,-2.5180078749673993,-3.325225563205981,-2.1859999284289526
44,-0.23529049796814352,-2.5180067708741753,-3.3296244817750535,-2.216320204631481
45,-0.2352911758353295,-2.5180056712149548,-3.3335900997795385,-2.245163644922919
46,-0.2352918504336885,-2.5180045754266027,-3.338063117073796,-2.2736998780621813
47,-0.23529319145357258,-2.5180023935546596,-3.3474256400710467,-2.3324541049964758
48,-0.24676653973874596,-2.5232107896160594,-3.3518865003855964,-2.3613322059751045
49,-0.25114428134168126,-2.5246006179813176,-3.3564497295865836,-2.3911837260294857
50,-0.2708371129343157,-2.5389365264532664,-3.361267146041113,-2.4216673172265626
51,-0.2822427273592587,-2.5479320918509845,-3.3658234495262565,-2.4502203685996657
52,-0.28832143124330006,-2.547359919673522,-3.3704808512059805,-2.4796739242862476
53,-0.3067372287192644,-2.551482784932287,-3.375344834346739,-2.5099821426153133
54,-0.3273980452402007,-2.554203511491425,-3.380352143179988,-2.538400247516186
55,-0.3462076831913736,-2.5514295482748315,-3.385805284995454,-2.567692341705102
56,-0.36424357376864236,-2.5498166662846335,-3.391300296423158,-2.5975772206780827
57,-0.3891563048690867,-2.5483597196050978,-3.3969039038691404,-2.626282685729661
58,-0.409928477170269,-2.5449172078961118,-3.4021631184296757,-2.6555920114882157
