step,ego_x,ego_y,adv_x,adv_y
0,0.1704219097109717,-2.096371450078049,-3.269417692120449,-0.9569772332374915
1,0.16774226851211696,-2.0985510250828305,-3.270656335434818,-0.9858980775235819
2,0.1480476301358117,-2.108403314547355,-3.268114959435359,-1.0029188589123923
3,0.1222601902286051,-2.120392024731985,-3.2530801925806636,-1.0208246942561026
4,0.10204431602089625,-2.1365938518402143,-3.244464137825465,-1.0394546394609558
5,0.0850288999340763,-2.154850219536112,-3.2418510531253486,-1.0687854796199425
6,0.06607833565618564,-2.167622974085035,-3.239173835834513,-1.0945906782002168
7,0.05196294150526448,-2.18472277409452,-3.2374182397051534,-1.1195735265763038
8,0.03548249152265169,-2.206163786205889,-3.2369420530727906,-1.1488900837019385
9,0.037853437872970574,-2.210495118928334,-3.2354275631711054,-1.1755860765854498
10,0.037810368215253215,-2.210653353093017,-3.233639135527258,-1.2024742194528735
11,0.03780212061070315,-2.2106492683523724,-3.233550845923726,-1.2321051994110106
12,0.03780193698128554,-2.210649422903658,-3.2332392632151756,-1.262883709763824
13,0.03780187139475388,-2.210649557017254,-3.2335090078550723,-1.2893130439928633
14,0.03780181954424595,-2.2106496691162505,-3.236913812485758,-1.3177607831129146
15,0.0378018450983948,-2.210649703899738,-3.239626500250657,-1.3768992580926664
16,0.020296592405339146,-2.23326726995602,-3.2429623041807965,-1.4058534182537006
17,0.004250523863501717,-2.252097932829361,-3.245366766331316,-1.4356565092303402
18,-0.010652974311310988,-2.2668237910294966,-3.247169157316783,-1.4649816934330648
19,-0.02612787477800352,-2.289720331554464,-3.2498607581292185,-1.4945068500492469
20,-0.03954511438470979,-2.3136597581925935,-3.2517079433626117,-1.5245303406726525
21,-0.048079021869245106,-2.327951352426688,-3.253562996549671,-1.5544246059763385
22,-0.06294844550725137,-2.3462041189231506,-3.255755318999394,-1.5835243380141757
23,-0.08631843011107493,-2.363711033281583,-3.2577825024484577,-1.6130539098365608
24,-0.10124921667464415,-2.380772323653964,-3.2599271354127,-1.6422201008296506
25,-0.1101214974940943,-2.403753579615932,-3.2648832417669267,-1.6711903419211538
26,-0.1186869374102707,-2.420324266561639,-3.2714401105704387,-1.699372879313748
27,-0.14419321281327996,-2.4320159260065912,-3.274679892607027,-1.7273083705244676
28,-0.1444454094345382,-2.4320101555478235,-3.2787978719017414,-1.757158352374022
29,-0.1444534470402929,-2.431834704753166,-3.2822319059232172,-1.7863776826914168
30,-0.14445576433086366,-2.4313323244755582,-3.285406108268222,-1.8153577773679523
31,-0.1444146057229232,-2.4307398544323453,-3.2890587170075305,-1.8455968049955305
32,-0.1443818791500873,-2.43015109590739,-3.292761207174189,-1.8746160086924477
33,-0.14441836004513794,-2.4299245804728615,-3.2959058376171333,-1.90317938926131
34,-0.14444237562508982,-2.429608143430462,-3.2994257644590532,-1.933180637825811
35,-0.14447075380678523,-2.429316180737012,-3.3033488003063463,-1.9628031408928588
36,-0.14451502878877565,-2.4289498186796927,-3.3067664117933506,-1.9917564817087412
37,-0.14452354818189062,-2.428768605094096,-3.3104422370689006,-2.0215255172346955
38,-0.14455603414472806,-2.428487694828703,-3.317439035051554,-2.079877795495812
