step,ego_x,ego_y,adv_x,adv_y
0,0.1703381880465413,-2.0958350061897906,-3.2647397431260248,-0.9282105630909079
1,0.1683180210220243,-2.096979346463986,-3.2647397881829066,-0.9282113765657953
2,0.14885383103158709,-2.1061612523161353,-3.264739822493813,-0.9282121499603431
3,0.12204385361009096,-2.1169160445562425,-3.2647398499712303,-0.9282128153705531
4,0.10186426533386812,-2.1327926923787244,-3.2647398780831556,-0.9282134789410256
5,0.0862482114838556,-2.151137188538463,-3.2647399056376556,-0.928214140567085
6,0.07284264498231284,-2.1687739793583964,-3.26473993112335,-0.9282147132531693
7,0.07010837587644682,-2.168977770474433,-3.2647399581499097,-0.9282152255044939
8,0.07001561921109271,-2.169064068999811,-3.264739984471221,-0.9282157371384342
9,0.0699879624343344,-2.1690928751891034,-3.2647400101234596,-0.9282162481499465
10,0.06998593921099579,-2.1690953810248454,-3.264740059699052,-0.9282172685659649
11,0.05396003945684508,-2.1885957560929423,-3.2647400837434115,-0.9282177780837033
12,0.03661324263027349,-2.2101252869321373,-3.2647401073621594,-0.9282182872068874
13,0.020510488637984894,-2.2320323519118537,-3.2647401306008326,-0.928218795978272
14,0.004237883725879135,-2.2448407198231473,-3.264740153500101,-0.9282193044360937
15,-0.007727984921014758,-2.259716364181685,-3.2647401760962906,-0.9282198126145496
16,-0.025458029227694225,-2.2791305093209377,-3.2647401984218414,-0.9282203205442229
17,-0.0390560840122215,-2.3044336619201444,-3.264740220505726,-0.9282208282524663
18,-0.04750872880946829,-2.3234849480594555,-3.2647402423738217,-0.928221335763743
19,-0.05576899721156309,-2.3407599450666523,-3.253938230755195,-0.9493038415787584
20,-0.07188324224698586,-2.360248499326294,-3.2464485728648005,-0.9693439220404866
21,-0.08723788334279385,-2.3775034450318686,-3.2412052882004203,-0.9917661651938879
22,-0.09450879748672202,-2.393153227324174,-3.2318343332025927,-1.0144531211209284
23,-0.09964355301862793,-2.4109179430915963,-3.2254410894620467,-1.0359676379267972
24,-0.10114342799960456,-2.4330426415930035,-3.2201578676169604,-1.0543649976790261
25,-0.10072738473298902,-2.452823893475171,-3.210932091169655,-1.075861262912387
26,-0.0998089927313622,-2.45158870054013,-3.200776789847187,-1.1016098850932012
27,-0.09936301243436405,-2.4513355354348505,-3.190513885503318,-1.1242968576681025
28,-0.09928425918124256,-2.451160297587454,-3.177751521236234,-1.1445925546150224
29,-0.0985815325873409,-2.450803440571432,-3.144405862255684,-1.187409449248031
30,-0.09972024667137182,-2.4616469649415755,-3.1296160406083287,-1.2104328017976707
31,-0.10209190950381689,-2.4759466273512416,-3.1130079282412657,-1.2327514075323611
32,-0.10335674347494574,-2.488487337059872,-3.0980936737681883,-1.256003823053662
33,-0.10878458115142729,-2.4951928739154385,-3.0820556136005988,-1.279864340731903
34,-0.11610052610514031,-2.493631856564426,-3.0638897763014263,-1.3027202126467319
35,-0.11999291625087566,-2.4865020966657103,-3.0467780506133617,-1.3250716093262191
36,-0.12387932827669487,-2.4855537752261667,-3.030022988181785,-1.3482598050510017
37,-0.1234177727469305,-2.4921442984339066,-3.0115951455999994,-1.3720521088754687
38,-0.12125682871832145,-2.497405826842266,-2.995778243394248,-1.395008476242219
39,-0.12712225514488276,-2.5004446388171635,-2.979321806841112,-1.4197780842807481
40,-0.13611707225060002,-2.5022122965190787,-2.9622166919436825,-1.444526531199733
41,-0.147009484964359,-2.5033097613530475,-2.945283637183393,-1.4687946838281938
42,-0.16316575330604668,-2.5060997715647,-2.928314177633491,-1.4934748402201254
43,-0.17494995953822876,-2.5058872981834233,-2.9111382786962308,-1.5184084977614
44,-0.18383318877776433,-2.504473494410413,-2.89410171326829,-1.5427953183419367
45,-0.18380059191977974,-2.5044842332389163,-2.8775588605315385,-1.5676389918924074
46,-0.18380074914538266,-2.504484256868038,-2.8605180205066763,-1.5924301270909917
47,-0.18380097017182273,-2.5044841792027905,-2.843682849132084,-1.6167775058158487
48,-0.18380165398236403,-2.5044839330859334,-2.8100821108453413,-1.666294415422512
49,-0.2019737896832305,-2.5018414412941725,-2.793149285401662,-1.6907869573590697
50,-0.2222239648870941,-2.4999181836044695,-2.776764587354329,-1.7158985919497942
51,-0.24323738372414686,-2.4990680747676737,-2.760692171078448,-1.741018280873387
52,-0.2673747038247455,-2.5032583353170925,-2.744503087946979,-1.7655047504305432
53,-0.2929149316699826,-2.515475414883963,-2.728005487915233,-1.7908138932402047
54,-0.3185356982211041,-2.5221598546766386,-2.712949161871411,-1.816389045424297
55,-0.3441008905864136,-2.524582712644758,-2.697353510257653,-1.8410198552459964
56,-0.3723529053085667,-2.5286602764187984,-2.6815158816949425,-1.8666643782639496
57,-0.3982742201130314,-2.5305053528082153,-2.66703708951404,-1.8912552104039009
58,-0.42234276226340023,-2.5326641563650454,-2.6522614810413874,-1.9152053846548236
59,-0.44931499065649805,-2.539866963393778,-2.6380511810515683,-1.9405711744175373
60,-0.4759088967792981,-2.547259566107505,-2.6243156532826286,-1.9661474613448144
61,-0.4985580940964143,-2.550737140435741,-2.6107986412343562,-1.9891310024905793
62,-0.5264129424285235,-2.558391206705108,-2.600459595376977,-2.013964560510234
63,-0.5289584968655562,-2.55905963539276,-2.596317748958138,-2.0435453735279627
64,-0.5291281481494865,-2.559111283328321,-2.592241098244228,-2.0720866696698925
65,-0.5291336271648193,-2.5591126088078195,-2.584889100388878,-2.1306491629934787
66,-0.5571626065347774,-2.5672578823442067,-2.581451581276328,-2.1610486082106983
67,-0.583244342544979,-2.5751666286032253,-2.57808371586417,-2.190753341237033
68,-0.6080967831324785,-2.589305870522534,-2.5748313718724978,-2.2239340848619644
69,-0.6334587145703493,-2.601261394654553,-2.5718244641135124,-2.256774977214702
70,-0.6613128179659147,-2.610184613118623,-2.5696263374577453,-2.2811086928142488
71,-0.6867900946994211,-2.623064374158774,-2.5673592960845197,-2.31054818597393
72,-0.712679904704941,-2.63637964515604,-2.564332535034243,-2.339596606280983
73,-0.7391742503489882,-2.6473099313100006,-2.5614264006050558,-2.3598170568227737
74,-0.7662418292608684,-2.6592180015171873,-2.5569691469662232,-2.383947129656436
75,-0.7926391604431675,-2.6704136537164196,-2.55259684306221,-2.407179440702816
76,-0.8195595205357331,-2.681385456195321,-2.548895785318901,-2.4244525251762656
77,-0.8473957004734747,-2.693258338894733,-2.5491339706023903,-2.428529690351511
78,-0.8741926952827952,-2.7046167858638586,-2.5453831227577464,-2.4435630433856836
79,-0.9007555885211137,-2.7154904052118085,-2.5420930608091767,-2.460332190186558
80,-0.9280688378906422,-2.7279668969489492,-2.539343004841205,-2.477300310462914
81,-0.9557029739515617,-2.740007098086997,-2.5367714473251213,-2.4908342864437243
82,-0.9826252547497251,-2.7512658140205706,-2.5354044346386613,-2.495981103663118
83,-0.9828966231617552,-2.7513564325638384,-2.5349982881036,-2.495118899767577
84,-0.9828886502948512,-2.751342405330447,-2.5321538788272253,-2.5069882245906423
85,-0.9828848925645773,-2.7513412399439177,-2.5253187981942684,-2.5300688288442323
86,-1.0096953854821598,-2.7623681522004,-2.52262658346988,-2.549455841171064
87,-1.0363832555317642,-2.776089175045559,-2.5189744877194102,-2.5592448099793117
88,-1.0625335381449152,-2.787292285978506,-2.517861495250223,-2.5603513160493003
89,-1.0889769923599595,-2.800004143284102,-2.512014812410256,-2.5701847481588027
90,-1.1166814175712059,-2.8125626042999365,-2.5065588025982954,-2.584017222434963
91,-1.1436957513656403,-2.824638110752476,-2.5012004092235345,-2.5989983110013317
92,-1.1706199598353608,-2.8369338964099384,-2.4925374116131285,-2.6134727546148246
93,-1.1983879843263423,-2.849674196448448,-2.489445826285081,-2.6194883956314134
94,-1.225300067612699,-2.8618627289203706,-2.487571273568507,-2.6241342688468987
95,-1.2520282748934792,-2.8740421687213646,-2.479054189630262,-2.6242084537948096
96,-1.2796449626684105,-2.8868012361173623,-2.4668153949667513,-2.6385570660485667
97,-1.3068246723394719,-2.8992396529723585,-2.4410671197613754,-2.640372589566648
98,-1.3333415766251466,-2.9114192208708363,-2.424488337120744,-2.6477959850617663
99,-1.3606802570284955,-2.9244472996582807,-2.41149978186004,-2.6582184358120537
100,-1.387740709848663,-2.9370662597050954,-2.3950655253761486,-2.6680612266789736
101,-1.3865656477840702,-2.939492133500548,-2.378049672373737,-2.6799411708926044
102,-1.3864179164389556,-2.939406992166534,-2.359686633534933,-2.691910266195892
103,-1.3864212173941972,-2.93941454672183,-2.3424092877806832,-2.701226982318094
104,-1.386419150047685,-2.9394142556858642,-2.3161725621565785,-2.7043860808105697
105,-1.3864180345743822,-2.939413592184679,-2.2666796242065472,-2.7258390706296356
106,-1.4069950260689417,-2.9484720572294707,-2.2399365750411966,-2.7335756162490386
107,-1.4341538524014577,-2.961566888365669,-2.2129701157411805,-2.7407838075320226
108,-1.4615995825599584,-2.9748110506141345,-2.187508438092654,-2.7505569562145107
109,-1.4871732210839672,-2.987162557205821,-2.160331159071583,-2.7592477870043393
110,-1.5135560958298353,-3.0011423489320452,-2.1331359640085275,-2.7679582966771905
111,-1.5408815414450934,-3.015040045278116,-2.1067385278249513,-2.778180506301696
112,-1.5660619068196224,-3.027807966625636,-2.0788522800501723,-2.788152113766647
113,-1.592091175025138,-3.0418908566770284,-2.051439439265004,-2.7977461512829613
114,-1.6189387019250188,-3.055572297632557,-2.0246978753276643,-2.80773206353812
115,-1.6445668178598805,-3.0691177755343686,-1.9965687421832912,-2.818179838304672
116,-1.670990671945233,-3.083059725458161,-1.9688028273281322,-2.828338257585693
117,-1.6976751013365101,-3.0969984611574266,-1.941036057859206,-2.83858461263057
118,-1.7241464931849861,-3.110853014557512,-1.9136191155925983,-2.84872378855542
119,-1.7507077105064448,-3.124768813551051,-1.8861975653479186,-2.858831660854607
120,-1.7773566813339914,-3.1387399631985042,-1.8624580489319384,-2.8688814117115475
