row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,rule_based,True,1,0,0,92,-116.41059327870607,-3.0,-4.0,-2.8191724504468576,,,,,,1.0438911807901834,6.499795189977814,0.00023473266139059626
,2,movebase,rule_based,True,1,0,0,85,-116.92190381884575,-3.0,-4.0,2.6883455991107548,,,,,,1.5683060926943462,6.000507874699509,0.00023708907917218468
,3,movebase,rule_based,True,0,1,0,172,48.85795843601227,-3.0,-4.0,2.7071905839636132,,,,,,5.094173392979654,4.045167062789767,2.157881805027293e-05
,4,movebase,rule_based,True,1,0,0,79,-115.88942722976208,-3.0,-4.0,2.7448764977571325,,,,,,0.4663745839530862,6.013512571912908,0.00019674649977656947
,5,movebase,rule_based,True,0,1,0,155,61.86794073879719,-3.0,-4.0,-2.6016373691812307,,,,,,3.406018416682889,3.596981669196633,4.12556626052296e-05
,6,movebase,rule_based,True,0,1,0,129,76.35282196104527,-3.0,-4.0,1.3339083239620293,,,,,,3.202339653470791,5.333607914420524,0.00016667564635859916
,7,movebase,rule_based,True,1,0,0,25,-107.73536249995232,-3.0,-4.0,-0.47040644124251785,,,,,,3.376670794294489,3.3893726519823213,0.00014903531530501926
,8,movebase,rule_based,True,0,1,0,132,70.8973090723157,-3.0,-4.0,-2.7852162597683767,,,,,,12.917698876759824,7.234146966571187,0.00014082608507535565
,9,movebase,rule_based,True,1,0,0,101,-123.00032462179661,-3.0,-4.0,2.5062136618392503,,,,,,2.2806581312336744,2.335670609015234,0.00013829242869593634
,10,movebase,rule_based,True,0,1,0,142,69.01730819791555,-3.0,-4.0,1.2137249809662578,,,,,,4.37430751729273,6.7281422591515065,0.0002652696618270577
,11,movebase,rule_based,True,0,1,0,214,22.51960887759924,-3.0,-4.0,2.1279316830189785,,,,,,9.897502051453856,7.403688012097748,0.00023754031025859532
,12,movebase,rule_based,True,1,0,0,127,-140.74125039577484,-3.0,-4.0,2.211944044911888,,,,,,11.726204805158734,6.070590703944709,0.000250101253760457
summary,all,movebase,rule_based,True,,,,,,,,,,-30.932159546762705,0.5,0.5,0.0,4.9461787913970205,5.3875986238133216,0.00017326195185632276
