step,ego_x,ego_y,adv_x,adv_y
0,0.1539792199966854,-5.451301637631859,-2.9635243655073484,-7.839314925962429
1,0.134244926762833,-5.447639782607285,-2.9208025051213244,-7.823996951183851
2,0.11599886103086618,-5.444945481958234,-2.8726614142474154,-7.814318624023722
3,0.09296598438296592,-5.434926289273735,-2.8262765984763214,-7.805811336060298
4,0.07065117080699036,-5.427219812935164,-2.779048159706362,-7.7922573940271285
5,0.05547709269668999,-5.427730985198445,-2.7353187244080104,-7.768811837337956
6,0.04366966655296743,-5.412888691515414,-2.6926526679107163,-7.749300971243568
7,0.04345668487647037,-5.411827124594509,-2.649397227266085,-7.724731325063351
8,0.04345839610409122,-5.411826355433076,-2.606956833539704,-7.702776981335565
9,0.04346009600517006,-5.411825668581191,-2.572778483212969,-7.673559628251463
10,0.043463358109458665,-5.411824339965061,-2.515395357942044,-7.623699231815121
11,0.024969279308044337,-5.391082976198201,-2.4892541863251116,-7.6020958568042225
12,0.0022783122252649605,-5.371486347146867,-2.4823223611391376,-7.586531562846408
13,-0.011208570556788203,-5.360999110730744,-2.4794497733486853,-7.580413565380164
14,-0.013972744484508826,-5.3572197888617215,-2.4794567577097313,-7.580358293175097
15,-0.014212922842458064,-5.354319547301442,-2.479487216056182,-7.580325759516738
16,-0.01222108328326866,-5.345237343388463,-2.479501083318817,-7.580289356917071
17,-0.010184807419708434,-5.334132123407271,-2.479516128876247,-7.580253010402828
18,-0.00782894071201105,-5.319499255015223,-2.479523229871649,-7.580213549785884
19,-0.012827965218582206,-5.300684082363027,-2.4795401820183063,-7.580182206135798
20,-0.01385588352430546,-5.288217505852067,-2.479556204193791,-7.580146888206053
21,-0.021082099364260858,-5.272718896612063,-2.4795684619281984,-7.580109336436384
22,-0.019712912103464875,-5.258597083470711,-2.4795857969052486,-7.580060905552947
23,-0.024162302386848647,-5.2435617966900665,-2.479602853618886,-7.580027498848727
24,-0.03540318996887844,-5.228970389494383,-2.4796182209778896,-7.579984321472259
25,-0.04429546129892059,-5.210018620439845,-2.4796358514793595,-7.579937172251002
26,-0.04854847590507774,-5.186980389771616,-2.479654276868072,-7.5798906860608035
27,-0.05084392417726147,-5.16653225597973,-2.4796722666087248,-7.579843234120263
28,-0.06084429913435517,-5.148050004935057,-2.479672732855092,-7.579796037626065
29,-0.07527739121832842,-5.129385169114783,-2.4797033614305417,-7.5797616254297795
30,-0.08982895412042505,-5.10940946419761,-2.4797169972980058,-7.57972570069838
31,-0.10254584533608148,-5.087721399965547,-2.4797326106348923,-7.57967739634718
32,-0.11285383908319056,-5.063845797857012,-2.4797502327080756,-7.579629939688799
33,-0.12706163682398022,-5.04145937463841,-2.4797732040807046,-7.579573581192537
34,-0.12749777747079066,-5.041540261644102,-2.479787887024998,-7.579534937353705
35,-0.12780413194574064,-5.0416644571435745,-2.479804964788039,-7.579486994890493
36,-0.12828257253150302,-5.041917321741792,-2.4798200244127586,-7.579447249632455
37,-0.12914106599971115,-5.042347896358663,-2.479853742267233,-7.579358076550434
38,-0.14453415793301794,-5.021094384939967,-2.479869211084223,-7.579309985145565
39,-0.15907296990467426,-4.995447398460729,-2.4798867938083133,-7.5792711920250495
40,-0.1734730012656684,-4.969523929594153,-2.4799016708274144,-7.579231003709195
41,-0.18650247726872274,-4.9456271738350965,-2.4799033526611023,-7.57918169383488
42,-0.20195878321753116,-4.921413997972723,-2.47993392157438,-7.57914976185409
43,-0.21754386055090238,-4.895815020214716,-2.4799460962408975,-7.579100415737534
44,-0.2314160442637695,-4.871848408354606,-2.4799526082569665,-7.57905140462461
45,-0.24714726069646792,-4.847880904357639,-2.4799861270430616,-7.579008822351903
46,-0.26318293976693236,-4.82272207770183,-2.4800042732743357,-7.5789598022168825
