row_type,episode,robot1_mode,opponent_mode,opponent_enabled,collided,reached_goal,timed_out,steps,episode_reward,goal_x,goal_y,goal_yaw,model_path,avg_reward,success_rate,collision_rate,timeout_rate,min_ttc,frechet_distance,smoothness
,1,movebase,diffusion,True,1,0,0,148,-132.3378283828497,-3.0,-4.0,-2.8191724504468576,,,,,,2.8193401918748475,6.499303611214803,7.410358729869558e-05
,2,movebase,diffusion,True,1,0,0,132,-128.78351983428,-3.0,-4.0,2.6883455991107548,,,,,,1.1153430377829834,6.019888235340602,0.00010495952939310129
,3,movebase,diffusion,True,0,1,0,198,41.78896323591471,-3.0,-4.0,2.7071905839636132,,,,,,7.474172004214507,4.330281528133953,1.5665067144039508e-05
,4,movebase,diffusion,True,1,0,0,115,-127.08938637375832,-3.0,-4.0,2.7448764977571325,,,,,,1.8990857890378192,6.081637028947901,0.00012074926434138147
,5,movebase,diffusion,True,1,0,0,111,-117.58934427052736,-3.0,-4.0,-2.6016373691812307,,,,,,1.4559471122555758,3.6247980347292077,0.00011534440045065843
,6,movebase,diffusion,True,1,0,0,131,-122.85471448302269,-3.0,-4.0,1.3339083239620293,,,,,,1.1436821967799837,5.326598905325749,0.00011889796943459308
,7,movebase,diffusion,True,1,0,0,168,-144.65127483010292,-3.0,-4.0,-0.47040644124251785,,,,,,0.9824865681397807,2.5271971982048234,8.912231573152096e-05
,8,movebase,diffusion,True,0,1,0,153,65.39547803252935,-3.0,-4.0,-2.7852162597683767,,,,,,3.08721642394091,7.170388461145678,8.350318870048631e-05
,9,movebase,diffusion,True,1,0,0,77,-115.59384299814701,-3.0,-4.0,2.5062136618392503,,,,,,2.855753842183324,2.3342956479254844,0.00012120739954899315
,10,movebase,diffusion,True,0,0,0,400,-157.4427231028676,-3.0,-4.0,1.2137249809662578,,,,,,9.777822392116615,6.734268782100614,3.8405747341566374e-05
,11,movebase,diffusion,True,0,0,0,400,-90.76230116188526,-3.0,-4.0,2.1279316830189785,,,,,,12.084259246425002,6.083106024815214,3.996993443437527e-05
,12,movebase,diffusion,True,0,0,0,400,-91.51072246581316,-3.0,-4.0,2.211944044911888,,,,,,14.782698524647959,5.758226845285428,2.2673775696305506e-05
summary,all,movebase,diffusion,True,,,,,,,,,,-93.45260138623416,0.16666666666666666,0.5833333333333334,0.0,4.956483944116609,5.207499191930788,7.871684829297643e-05
