step,ego_x,ego_y,adv_x,adv_y
0,-0.8926873336178147,-6.815376498973892,-6.5064031581203805,-5.533436155785
1,-0.8926851993368706,-6.815373869541802,-6.5060035118686095,-5.536466042833738
2,-0.892683079352415,-6.815371374995347,-6.504967349541071,-5.539173247458236
3,-0.8926789942471615,-6.815366575739959,-6.50212965928747,-5.54353432952952
4,-0.8922550588647168,-6.814940139079583,-6.487874355820712,-5.542482687780762
5,-0.8917108133116515,-6.814406012120462,-6.4747467456873835,-5.550131857629292
6,-0.8911807470938014,-6.813879226616338,-6.473815433575781,-5.552510040556432
7,-0.8906492735214692,-6.813338315766808,-6.460454437677282,-5.565385729668238
8,-0.8901196637249961,-6.812818325342786,-6.444018015575983,-5.577284072151274
9,-0.889604575187202,-6.812305658504916,-6.437927663212932,-5.582173627317122
10,-0.8890867578582458,-6.8117771139189855,-6.436332735362303,-5.587079147200994
11,-0.8885701900450849,-6.811269069232979,-6.4347902021006265,-5.593766395477694
12,-0.8880680794282817,-6.810767267203666,-6.432818728692148,-5.5968754021818805
13,-0.88756337363495,-6.8102486622034455,-6.427427243513968,-5.607147483235546
14,-0.8870874193616473,-6.809739045810656,-6.41206339526854,-5.623644208449078
15,-0.8867224407269936,-6.809339844202375,-6.407798293660827,-5.63524353374562
16,-0.8863569696996143,-6.808921569254463,-6.4041089720157975,-5.648502742952167
17,-0.886297649393753,-6.808845250269337,-6.401631356459504,-5.6601084422873775
18,-0.88629525637265,-6.808842807624859,-6.395751661272606,-5.679672501706686
19,-0.8862930535120271,-6.808840395459441,-6.389033710971895,-5.700567801753354
20,-0.8862909340203984,-6.808838069490832,-6.380973604750329,-5.721766192797658
21,-0.8862868972375689,-6.808833628363744,-6.337281132541754,-5.754115281920846
22,-0.8862852267414533,-6.808831720259741,-6.323243315839974,-5.7743540589767255
23,-0.8862839544524916,-6.808830321330865,-6.309995290061206,-5.796847126599106
24,-0.886282711098092,-6.8088289427553255,-6.292399862707637,-5.820218491783636
25,-0.8862814890641243,-6.808827585463538,-6.274842489742632,-5.839820489016497
26,-0.8862802852833476,-6.80882624642906,-6.260503606321723,-5.861317989188732
27,-0.8862790971488185,-6.808824923041004,-6.243404124813508,-5.885458721668629
28,-0.8862779224250908,-6.808823613060597,-6.227275344153362,-5.909710695845617
29,-0.8862767591949905,-6.808822314568034,-6.211087614847581,-5.932564609797698
30,-0.886275605814157,-6.808821025916914,-6.19326761279941,-5.956573616868695
31,-0.8862744608720924,-6.8088197456951445,-6.175643951477457,-5.980601737113829
32,-0.8862733231587736,-6.808818472691487,-6.157070621805211,-6.001339927191352
