repeat,file,num_points
repeat_01,combined_overlay_paths.csv,117
repeat_01,ego_movebase_global_plan.csv,2
repeat_01,movebase_opponent_plan.csv,3
repeat_01,diffusion_opponent_plan.csv,17
repeat_01,unconditional_diffusion_opponent_plan.csv,17
repeat_01,rule_based_opponent_odom.csv,78
repeat_02,combined_overlay_paths.csv,115
repeat_02,ego_movebase_global_plan.csv,2
repeat_02,movebase_opponent_plan.csv,3
repeat_02,diffusion_opponent_plan.csv,17
repeat_02,unconditional_diffusion_opponent_plan.csv,17
repeat_02,rule_based_opponent_odom.csv,76
repeat_03,combined_overlay_paths.csv,289
repeat_03,ego_movebase_global_plan.csv,2
repeat_03,movebase_opponent_plan.csv,3
repeat_03,diffusion_opponent_plan.csv,17
repeat_03,unconditional_diffusion_opponent_plan.csv,17
repeat_03,rule_based_opponent_odom.csv,250
