step,ego_x,ego_y,adv_x,adv_y
0,-4.999986853132008,-2.9999946086850477,-2.700000090188877,-1.5000089805714238
1,-4.999986001441788,-2.999994601464653,-2.722270690038547,-1.5474251072996394
2,-4.999984298546715,-2.999994606319272,-2.761544265615317,-1.63727990688025
3,-4.971554665494451,-3.0040677767090456,-2.7906049946248475,-1.6791033809453186
4,-4.9426531778422005,-3.0062019879234025,-2.819612581515437,-1.7185291995580525
5,-4.9173612911617,-3.0089307077979,-2.8534462451853337,-1.7574258455558756
6,-4.890095742253548,-3.01295544473517,-2.881497013386248,-1.7968917478366346
7,-4.862953598526949,-3.0173737631770288,-2.9126648532689217,-1.8342696029078531
8,-4.835038020465954,-3.0222929587717253,-2.9454786478170334,-1.8699639684712723
9,-4.8089405509087575,-3.0291361865555193,-2.9797411330969603,-1.9047827646205515
10,-4.783369745583216,-3.034435735039729,-3.015868127759271,-1.9390823663014602
11,-4.757443253069464,-3.040830899558361,-3.0516300201835445,-1.9734839212367057
12,-4.729204413450981,-3.048523595098148,-3.0878432007889414,-2.0072958830763117
13,-4.704129765855049,-3.0541824797819372,-3.1257507575445254,-2.0400774269255897
14,-4.680084143135465,-3.06058619453454,-3.164343413205954,-2.070572890688939
15,-4.650825216627751,-3.0687492819471354,-3.203311922379637,-2.1029082097861123
16,-4.6227092157907705,-3.0759903326450684,-3.241463439033999,-2.133887761958521
17,-4.596718947745157,-3.083315057744494,-3.279788336001024,-2.166445687954894
18,-4.568766891312173,-3.0924805168621794,-3.317026261244743,-2.1985684753636394
19,-4.540348151104266,-3.101564587871857,-3.355243926965433,-2.2310828174117217
20,-4.514754385313458,-3.1099351336606538,-3.392753871736256,-2.263331317465779
21,-4.4873369757548325,-3.120493993922224,-3.4310917875682474,-2.295959674608474
22,-4.458684489357833,-3.1304038665651404,-3.4687847289596734,-2.328303190836233
23,-4.432559599168486,-3.1409355377347934,-3.5068797518629844,-2.360852493395794
24,-4.432620001017527,-3.1409869943662394,-3.5448258419138092,-2.3934298938574425
25,-4.432887525265599,-3.1409440974041827,-3.5827686013261846,-2.425955929445068
26,-4.4329155558413635,-3.140937053716263,-3.620847661376163,-2.4587728009379486
27,-4.432916212951825,-3.14093674161463,-3.658641606183865,-2.491043716046518
28,-4.432916795365168,-3.140936542145104,-3.6967613853175094,-2.523830760666641
