method,agent,source_type,point_idx,x,y
ego_movebase,robot1,plan,0,-4.974999895319343,-2.9749998655170202
ego_movebase,robot1,plan,1,-3.0249998662620783,-4.0249998811632395
movebase,robot2,plan,0,-2.72499986179173,-1.5249998439103365
movebase,robot2,plan,1,-2.774999862536788,-1.5749998446553946
movebase,robot2,plan,2,-3.0249998662620783,-4.0249998811632395
diffusion,robot2,plan,0,-2.7000275172998025,-1.500167070506534
diffusion,robot2,plan,1,-2.729657012752981,-1.529459873730348
diffusion,robot2,plan,2,-2.8383507543397153,-1.649545524923676
diffusion,robot2,plan,3,-2.9419438205793442,-1.7605022914406903
diffusion,robot2,plan,4,-3.0461651214042287,-1.8730943394309085
diffusion,robot2,plan,5,-3.148851100168946,-1.9841014778780777
diffusion,robot2,plan,6,-3.2550634310383195,-2.09280604876926
diffusion,robot2,plan,7,-3.357869556640527,-2.2035326582558716
diffusion,robot2,plan,8,-3.462737048501433,-2.3166609361023274
diffusion,robot2,plan,9,-3.565122433041277,-2.4268444361155126
diffusion,robot2,plan,10,-3.665656411499546,-2.536431161499303
diffusion,robot2,plan,11,-3.766338621398881,-2.647168127697323
diffusion,robot2,plan,12,-3.8674469766199646,-2.758301961815431
diffusion,robot2,plan,13,-3.967446250004074,-2.8672483639399315
diffusion,robot2,plan,14,-4.068260247464792,-2.9749018756553762
diffusion,robot2,plan,15,-4.17251934478034,-3.0801071609022785
diffusion,robot2,plan,16,-4.295735695528871,-3.1315692950787892
unconditional_diffusion,robot2,plan,0,-2.70002687147388,-1.500162979719025
unconditional_diffusion,robot2,plan,1,-2.7198710485932303,-1.5252913487370956
unconditional_diffusion,robot2,plan,2,-2.808717712975342,-1.6211600320929567
unconditional_diffusion,robot2,plan,3,-2.9004887038911273,-1.722651225903317
unconditional_diffusion,robot2,plan,4,-2.992261222129008,-1.826007507129949
unconditional_diffusion,robot2,plan,5,-3.0866578124320787,-1.9372428930556176
unconditional_diffusion,robot2,plan,6,-3.1824876889932203,-2.049207922764301
unconditional_diffusion,robot2,plan,7,-3.278328173469834,-2.166838620533491
unconditional_diffusion,robot2,plan,8,-3.376306207984726,-2.2868989550774357
unconditional_diffusion,robot2,plan,9,-3.475407591214909,-2.4121148681988096
unconditional_diffusion,robot2,plan,10,-3.574040560834524,-2.540212402263112
unconditional_diffusion,robot2,plan,11,-3.677656181406884,-2.6715825230586407
unconditional_diffusion,robot2,plan,12,-3.7795492989546364,-2.807995300746814
unconditional_diffusion,robot2,plan,13,-3.9052703949347864,-2.9013547311821353
unconditional_diffusion,robot2,plan,14,-4.025431443402758,-3.0078464479651204
unconditional_diffusion,robot2,plan,15,-4.145510232686837,-3.1219706253867985
unconditional_diffusion,robot2,plan,16,-4.270693994656213,-3.2212403376959835
rule_based,robot2,odom,0,-2.6999998271000827,-1.5000094844297474
rule_based,robot2,odom,1,-2.6986639409311954,-1.552251496650442
rule_based,robot2,odom,2,-2.697669890583918,-1.6010754279567478
rule_based,robot2,odom,3,-2.6957630145077154,-1.651253297600168
rule_based,robot2,odom,4,-2.687800446979796,-1.7008172270782815
rule_based,robot2,odom,5,-2.6814239605965744,-1.748105466800726
rule_based,robot2,odom,6,-2.6740738764879013,-1.7979691634907944
rule_based,robot2,odom,7,-2.6668670264257863,-1.8450272132651075
rule_based,robot2,odom,8,-2.6470250495043515,-1.9417950941514042
rule_based,robot2,odom,9,-2.634651015764625,-1.9900392968614338
rule_based,robot2,odom,10,-2.619119123879352,-2.0379452603968105
rule_based,robot2,odom,11,-2.604276659410022,-2.085155783741144
rule_based,robot2,odom,12,-2.5892463741938503,-2.1329960241661805
rule_based,robot2,odom,13,-2.577295615438764,-2.1830130474343235
rule_based,robot2,odom,14,-2.5726487200553003,-2.2374108226713703
rule_based,robot2,odom,15,-2.5682602299714135,-2.289166884554383
rule_based,robot2,odom,16,-2.5633065954762206,-2.3418503256254213
rule_based,robot2,odom,17,-2.5542338432227747,-2.3922246777581484
rule_based,robot2,odom,18,-2.5456012929970244,-2.442134678364741
rule_based,robot2,odom,19,-2.536527417046222,-2.4928568465466983
rule_based,robot2,odom,20,-2.5274908870926796,-2.542056591882137
rule_based,robot2,odom,21,-2.5179100491916766,-2.5923679362490546
rule_based,robot2,odom,22,-2.508186750194037,-2.641283964116053
rule_based,robot2,odom,23,-2.4986816836289494,-2.690281909320283
rule_based,robot2,odom,24,-2.489292947877543,-2.7392642829843843
rule_based,robot2,odom,25,-2.479804291651185,-2.78823398123519
rule_based,robot2,odom,26,-2.4703199857103275,-2.8374841713794035
rule_based,robot2,odom,27,-2.4608025590335427,-2.886329805800883
rule_based,robot2,odom,28,-2.451273961336748,-2.935603492984166
rule_based,robot2,odom,29,-2.4418680992710877,-2.9844883120506895
rule_based,robot2,odom,30,-2.4323540374765438,-3.033596659382226
rule_based,robot2,odom,31,-2.413876184243642,-3.131504247340888
rule_based,robot2,odom,32,-2.4051133000916844,-3.1806923248163557
rule_based,robot2,odom,33,-2.396740889232405,-3.2297536820206187
rule_based,robot2,odom,34,-2.390268759596904,-3.279469715307889
rule_based,robot2,odom,35,-2.383108841084287,-3.3280700865673367
rule_based,robot2,odom,36,-2.3759454184405944,-3.3775757636647747
rule_based,robot2,odom,37,-2.3687587094656055,-3.426391862617719
rule_based,robot2,odom,38,-2.362331090467098,-3.4758069075225797
rule_based,robot2,odom,39,-2.356378970909926,-3.524755709717754
rule_based,robot2,odom,40,-2.350697121847145,-3.573711179034343
rule_based,robot2,odom,41,-2.3457742710548257,-3.623348212498611
rule_based,robot2,odom,42,-2.34079318510171,-3.671672329289858
rule_based,robot2,odom,43,-2.33801176934163,-3.7217969170091525
rule_based,robot2,odom,44,-2.334530843212176,-3.7697191049305707
rule_based,robot2,odom,45,-2.3423444691041118,-3.8156571480700867
rule_based,robot2,odom,46,-2.3503636616081804,-3.8533952188474987
rule_based,robot2,odom,47,-2.3600508310976536,-3.8888013141495796
rule_based,robot2,odom,48,-2.3619455864286647,-3.915263230182618
rule_based,robot2,odom,49,-2.3678088014447813,-3.9235632845912156
rule_based,robot2,odom,50,-2.3685036146457534,-3.927286192204329
rule_based,robot2,odom,51,-2.367700327066312,-3.9276045978840943
rule_based,robot2,odom,52,-2.3669010626348648,-3.927930928550303
rule_based,robot2,odom,53,-2.3660598337616054,-3.9282561293272886
rule_based,robot2,odom,54,-2.3643597935897054,-3.928922576349093
rule_based,robot2,odom,55,-2.3635000471567644,-3.929262347215166
rule_based,robot2,odom,56,-2.362607730831852,-3.9295977339286647
rule_based,robot2,odom,57,-2.361718762210058,-3.929940736500098
rule_based,robot2,odom,58,-2.3608044476492824,-3.930282624504878
rule_based,robot2,odom,59,-2.359888851062001,-3.9306314936649733
rule_based,robot2,odom,60,-2.3577021979029524,-3.931963302676773
rule_based,robot2,odom,61,-2.356112959891262,-3.93318669908508
rule_based,robot2,odom,62,-2.3560935070279263,-3.93321314024806
rule_based,robot2,odom,63,-2.3561008321730212,-3.9332417561013124
rule_based,robot2,odom,64,-2.3560930042450745,-3.933270574000538
rule_based,robot2,odom,65,-2.35610068069798,-3.9332992576206394
rule_based,robot2,odom,66,-2.356093295229725,-3.9333279100959424
rule_based,robot2,odom,67,-2.356100382309106,-3.93335656407606
