method,agent,source_type,point_idx,x,y
diffusion,robot2,plan,0,-2.7000275172998025,-1.500167070506534
diffusion,robot2,plan,1,-2.729657012752981,-1.529459873730348
diffusion,robot2,plan,2,-2.8383507543397153,-1.649545524923676
diffusion,robot2,plan,3,-2.9419438205793442,-1.7605022914406903
diffusion,robot2,plan,4,-3.0461651214042287,-1.8730943394309085
diffusion,robot2,plan,5,-3.148851100168946,-1.9841014778780777
diffusion,robot2,plan,6,-3.2550634310383195,-2.09280604876926
diffusion,robot2,plan,7,-3.357869556640527,-2.2035326582558716
diffusion,robot2,plan,8,-3.462737048501433,-2.3166609361023274
diffusion,robot2,plan,9,-3.565122433041277,-2.4268444361155126
diffusion,robot2,plan,10,-3.665656411499546,-2.536431161499303
diffusion,robot2,plan,11,-3.766338621398881,-2.647168127697323
diffusion,robot2,plan,12,-3.8674469766199646,-2.758301961815431
diffusion,robot2,plan,13,-3.967446250004074,-2.8672483639399315
diffusion,robot2,plan,14,-4.068260247464792,-2.9749018756553762
diffusion,robot2,plan,15,-4.17251934478034,-3.0801071609022785
diffusion,robot2,plan,16,-4.295735695528871,-3.1315692950787892
