method,agent,source_type,point_idx,x,y
unconditional_diffusion,robot2,plan,0,-2.70002687147388,-1.500162979719025
unconditional_diffusion,robot2,plan,1,-2.7198710485932303,-1.5252913487370956
unconditional_diffusion,robot2,plan,2,-2.808717712975342,-1.6211600320929567
unconditional_diffusion,robot2,plan,3,-2.9004887038911273,-1.722651225903317
unconditional_diffusion,robot2,plan,4,-2.992261222129008,-1.826007507129949
unconditional_diffusion,robot2,plan,5,-3.0866578124320787,-1.9372428930556176
unconditional_diffusion,robot2,plan,6,-3.1824876889932203,-2.049207922764301
unconditional_diffusion,robot2,plan,7,-3.278328173469834,-2.166838620533491
unconditional_diffusion,robot2,plan,8,-3.376306207984726,-2.2868989550774357
unconditional_diffusion,robot2,plan,9,-3.475407591214909,-2.4121148681988096
unconditional_diffusion,robot2,plan,10,-3.574040560834524,-2.540212402263112
unconditional_diffusion,robot2,plan,11,-3.677656181406884,-2.6715825230586407
unconditional_diffusion,robot2,plan,12,-3.7795492989546364,-2.807995300746814
unconditional_diffusion,robot2,plan,13,-3.9052703949347864,-2.9013547311821353
unconditional_diffusion,robot2,plan,14,-4.025431443402758,-3.0078464479651204
unconditional_diffusion,robot2,plan,15,-4.145510232686837,-3.1219706253867985
unconditional_diffusion,robot2,plan,16,-4.270693994656213,-3.2212403376959835
