step,ego_x,ego_y,adv_x,adv_y
0,-4.999979405684057,-2.999998307863161,-2.700001975074737,-1.5000192202224574
1,-4.971452964166294,-3.0040826929414988,-2.700002133625771,-1.500020024124356
2,-4.941670758313627,-3.006016257463676,-2.7000022614834798,-1.500020737285367
3,-4.9159007542169135,-3.0092134021133634,-2.7000023827967463,-1.5000213952178034
4,-4.888858908822106,-3.013910684310624,-2.7000025033036334,-1.5000220511177478
5,-4.862679238191455,-3.0183501869549048,-2.7000026218622297,-1.5000226857065282
6,-4.834482593197474,-3.0231443411693997,-2.700002720818673,-1.5000232183240714
7,-4.8099343217485755,-3.034842358131603,-2.7000028189880036,-1.500023723945876
8,-4.786813056775703,-3.050174410215414,-2.700002916346762,-1.5000242289987626
9,-4.761817589854747,-3.058374566789771,-2.7000030129783767,-1.500024733542715
10,-4.732908121830447,-3.0675253448602238,-2.7000031089606136,-1.5000252376324763
11,-4.706925453454187,-3.0781646229280377,-2.700003204362949,-1.500025741317013
12,-4.680071278918382,-3.0870285063063787,-2.700003299247449,-1.5000262446401265
13,-4.651055475304871,-3.0967318781165263,-2.7000033936695575,-1.5000267476409954
14,-4.623842670196187,-3.1051697143175008,-2.700003487678803,-1.500027250354666
15,-4.596876855182467,-3.1141001289251213,-2.70000358131943,-1.5000277528124881
16,-4.56835292408402,-3.1240962720617222,-2.7000036746309632,-1.5000282550425055
17,-4.558925545792541,-3.1269262841121073,-2.7000037676487114,-1.5000287570698025
18,-4.5572460185359365,-3.1274145623360625,-2.70000395292565,-1.5000297606036328
19,-4.529559809029513,-3.138888343103806,-2.7000040452381904,-1.5000302621481962
20,-4.503740721515997,-3.1484578908464083,-2.7000041373643184,-1.5000307635665755
21,-4.476376702197222,-3.159766667432693,-2.7000042293241204,-1.5000312648731413
22,-4.446838304954309,-3.1704860477755785,-2.700004321135541,-1.5000317660807496
23,-4.4212015958598645,-3.1806578632138804,-2.711886207495593,-1.5238521748204557
24,-4.394359192057248,-3.191636255038805,-2.720378850765168,-1.5481637722780586
25,-4.3665550836710105,-3.2029275600443756,-2.729085371722616,-1.5714250138809425
26,-4.3402371118415495,-3.2147817848393525,-2.7386115883674766,-1.5948700735019903
27,-4.315093639315833,-3.229075250594708,-2.749178513331673,-1.6179684190376615
28,-4.2890084465535105,-3.24288468725185,-2.7602611074115346,-1.6407642890526148
29,-4.262147383086407,-3.254992687041631,-2.7730956938748963,-1.6655772319544013
30,-4.2358606696167795,-3.2684152993178412,-2.7842018500822716,-1.6894145552256057
31,-4.208873124711127,-3.2813222742531054,-2.7954038428242174,-1.7124721737976822
32,-4.181914098659641,-3.293829842339098,-2.809648056756937,-1.737847252125091
33,-4.155819380042208,-3.3074236702330744,-2.822562047335704,-1.7624329974420456
34,-4.129107640147957,-3.3207698253329054,-2.8339009667993884,-1.7841567980772446
35,-4.102476554136852,-3.33358898700211,-2.8495838871920456,-1.8067904760404383
36,-4.075558769990593,-3.346702124499309,-2.865599468339224,-1.832787839543215
37,-4.049136388236364,-3.359411726845919,-2.880631692887105,-1.8561562892456502
38,-4.045633956152829,-3.3625845661203644,-2.897563018580265,-1.879587245550469
39,-4.04543763620912,-3.3627490337901302,-2.930496702981761,-1.9282486962921466
40,-4.017986048663993,-3.370026560700893,-2.949968760775463,-1.9494571996169876
41,-3.9909317575327434,-3.3832904628828904,-2.968563825711504,-1.9723483580621555
42,-3.9643445815662663,-3.3963153301494704,-2.985934111186893,-1.9959867798375481
43,-3.9382731625919063,-3.408971210887676,-3.006431944204096,-2.0165532758626785
44,-3.9113158941891033,-3.4229170104242126,-3.0259595034215496,-2.038134096971296
45,-3.8861303783765164,-3.4382685221347806,-3.0438129713508912,-2.0609554223574893
46,-3.8607393365902265,-3.4512036527627123,-3.062364748301469,-2.0843511509841264
47,-3.833725498238879,-3.465221950756282,-3.0803991789777085,-2.1070629732431203
48,-3.807131316630516,-3.4788973529565697,-3.0983200612128896,-2.1294834748908738
49,-3.7810082337378605,-3.4921087334057574,-3.1177054142968874,-2.1527348668768913
50,-3.75412991893457,-3.5059392386889874,-3.135344153066437,-2.1760200442850453
51,-3.727691321036435,-3.520495974888513,-3.1524865080224482,-2.1996894127721998
52,-3.7020186224248874,-3.5337208997447545,-3.1700432668375393,-2.2223876431991827
53,-3.6760349185690924,-3.5480143276016523,-3.187536444877401,-2.2453327871265225
54,-3.6493581968977216,-3.5629948581167343,-3.205688141452219,-2.269532208520799
55,-3.624516383689135,-3.5767562613078066,-3.223415244133817,-2.29258352078238
56,-3.5991355093622155,-3.5911382556382274,-3.241031502853568,-2.315575339375818
57,-3.5719056970389196,-3.606323392291618,-3.259224881247158,-2.3400662503684306
58,-3.5465570309032763,-3.620055539398925,-3.2768932142088074,-2.364021228083955
59,-3.5210074930139807,-3.6344675699901785,-3.294411537800624,-2.387172029559688
60,-3.518870383142004,-3.6353248341021573,-3.3125935505261004,-2.4115911394851737
61,-3.518869202354398,-3.6353254868397764,-3.330554928000447,-2.4356101214900185
62,-3.518867088601324,-3.635326687771674,-3.3664084140268233,-2.483180917661681
63,-3.4923486784439186,-3.6504828333436463,-3.3791650927328134,-2.5082147500059944
64,-3.4665691375028826,-3.664449586569747,-3.3920281578617484,-2.5259911875819068
65,-3.441072397638987,-3.6785909450519036,-3.404227289747112,-2.5491772357508435
66,-3.414645037275176,-3.6936228594864886,-3.4176685102397273,-2.5741615814477514
67,-3.3889846884392547,-3.708435599614219,-3.4300218252691947,-2.5983833374599543
68,-3.3641048204236714,-3.72273478983066,-3.437509053130722,-2.625691542684964
69,-3.338213552101148,-3.738132425616173,-3.44068167656221,-2.649237503533088
70,-3.31107747441323,-3.7536720411537874,-3.446494949163038,-2.6706831332185943
71,-3.2868098394195027,-3.76793239125943,-3.452190273547216,-2.6949113185083315
72,-3.2623275247440486,-3.783926042494541,-3.4526484420391728,-2.7212464102640257
73,-3.2369973155891487,-3.8000054804177794,-3.4522885373010954,-2.7477918264637715
74,-3.2132624916769967,-3.8155517628566966,-3.45695584040528,-2.7754410049907383
75,-3.1890696294868497,-3.8325850941858346,-3.4610289791515703,-2.8054891595327534
76,-3.1653995414124037,-3.8482426323841623,-3.4653385566626063,-2.8341952286572925
77,-3.1443969658044177,-3.861810676261281,-3.470035986507896,-2.862028206224922
