step,ego_x,ego_y,adv_x,adv_y
0,-4.9999870502906205,-2.999994605434765,-2.700000052299583,-1.5000087435477647
1,-4.999986204241145,-2.9999946166923057,-2.7067240410602467,-1.529451533343487
2,-4.999985350228937,-2.9999946093731076,-2.7125276456790224,-1.5594569997643617
3,-4.999984494988867,-2.9999946030457942,-2.7183892359862627,-1.5877464331709639
4,-4.99998364427133,-2.9999946160971565,-2.7245502537680997,-1.617329327984176
5,-4.999982786108731,-2.9999946104651087,-2.7306231455461383,-1.6476585103588843
6,-4.999981998363871,-2.9999946321350897,-2.7364844393123025,-1.6762500696690985
7,-4.999981230869897,-2.9999946708891483,-2.7423151368927368,-1.7054912489302012
8,-4.999980484595695,-2.999994679774305,-2.75440735226953,-1.76405331246118
9,-4.999978990930303,-2.999994697695365,-2.760386576623033,-1.793506911670313
10,-4.971572950933448,-3.0040251440122,-2.7665669118379888,-1.8240927072856963
11,-4.9426274042500715,-3.006190312799249,-2.772368298393473,-1.8523648944323312
12,-4.916912732124934,-3.009486738544132,-2.778122311653822,-1.8816466877669227
13,-4.889610496290318,-3.0143840375574396,-2.7842184188131127,-1.9121211549695796
14,-4.8622818393852425,-3.0188546563501695,-2.789698739283939,-1.9406000515110002
15,-4.8345599489163975,-3.0240886366781443,-2.795213244348905,-1.9695027554180353
16,-4.809570473779958,-3.032293273776963,-2.8009352409187067,-1.999668030865254
17,-4.784844070945085,-3.0380489315511308,-2.8063753794000723,-2.0286529142070484
18,-4.759991104610264,-3.0447347549832093,-2.81140192864162,-2.0574029559996823
19,-4.7318921542484285,-3.052801041262907,-2.8166180081800998,-2.0873271523609196
20,-4.704792652651029,-3.0595084742532377,-2.822150989453358,-2.1178282319550816
21,-4.677954865733182,-3.067057636779865,-2.8273509176552385,-2.146887045212896
22,-4.649674887312462,-3.0773085695406825,-2.8327445505314315,-2.1766913183423258
23,-4.6224778186650655,-3.085264808986117,-2.8382208954849424,-2.207305900625294
24,-4.596551166921272,-3.092986673104673,-2.8431215371314087,-2.2359806894230347
25,-4.568240702738125,-3.10283154069824,-2.8478948669921533,-2.2656853345317756
26,-4.539340839377005,-3.1121374943731364,-2.8531818510615095,-2.2958820763236645
27,-4.541088195596805,-3.1168075618743054,-2.8577865532299374,-2.3244180062007023
28,-4.5434689979029175,-3.115776246431439,-2.862682827468785,-2.353631099986852
29,-4.546157986558167,-3.1147293777489446,-2.8676519208583113,-2.3835768012341814
30,-4.548880094108055,-3.1137617785112197,-2.872248458870845,-2.4125018266078873
31,-4.551390098515406,-3.1128136434873377,-2.8770455404189024,-2.442074909390548
32,-4.554056576509319,-3.1118837541339617,-2.881947716205136,-2.4722804948183046
33,-4.5569886123742736,-3.1108518183608864,-2.8866923874853208,-2.5016166935196953
